Interval,GMTIntervalEnd,MOA,Cleared Demand Bid,Cleared Virtual Bid,Cleared Virtual Offer
01/15/2026 01:00:00,01/15/2026 07:00:00,CSWS,,214.197,177.492
01/15/2026 01:00:00,01/15/2026 07:00:00,EDE,,316.231,61.293
01/15/2026 01:00:00,01/15/2026 07:00:00,GRDA,,37.283,16.704
01/15/2026 01:00:00,01/15/2026 07:00:00,INDN,,8.000,54.000
01/15/2026 01:00:00,01/15/2026 07:00:00,KACY,,81.200,4.700
01/15/2026 01:00:00,01/15/2026 07:00:00,KCPL,,144.990,125.522
01/15/2026 01:00:00,01/15/2026 07:00:00,LES,,48.378,11.254
01/15/2026 01:00:00,01/15/2026 07:00:00,MPS,,110.980,27.251
01/15/2026 01:00:00,01/15/2026 07:00:00,NPPD,,259.375,350.668
01/15/2026 01:00:00,01/15/2026 07:00:00,OKGE,,351.925,393.121
01/15/2026 01:00:00,01/15/2026 07:00:00,OPPD,,650.951,40.459
01/15/2026 01:00:00,01/15/2026 07:00:00,SECI,,21.589,175.823
01/15/2026 01:00:00,01/15/2026 07:00:00,SPRM,,276.600,17.300
01/15/2026 01:00:00,01/15/2026 07:00:00,SPS,,496.728,38.570
01/15/2026 01:00:00,01/15/2026 07:00:00,WAUE,,885.748,1175.116
01/15/2026 01:00:00,01/15/2026 07:00:00,WFEC,,98.405,89.457
01/15/2026 01:00:00,01/15/2026 07:00:00,WR,,162.648,235.957
01/15/2026 02:00:00,01/15/2026 08:00:00,CSWS,,174.626,206.092
01/15/2026 02:00:00,01/15/2026 08:00:00,EDE,,353.367,95.446
01/15/2026 02:00:00,01/15/2026 08:00:00,GRDA,,34.409,15.072
01/15/2026 02:00:00,01/15/2026 08:00:00,INDN,,19.000,18.100
01/15/2026 02:00:00,01/15/2026 08:00:00,KACY,,81.100,178.500
01/15/2026 02:00:00,01/15/2026 08:00:00,KCPL,,192.880,128.031
01/15/2026 02:00:00,01/15/2026 08:00:00,LES,,51.720,4.238
01/15/2026 02:00:00,01/15/2026 08:00:00,MPS,,149.750,63.108
01/15/2026 02:00:00,01/15/2026 08:00:00,NPPD,,190.433,434.793
01/15/2026 02:00:00,01/15/2026 08:00:00,OKGE,,304.962,401.255
01/15/2026 02:00:00,01/15/2026 08:00:00,OPPD,,681.602,61.192
01/15/2026 02:00:00,01/15/2026 08:00:00,SECI,,41.567,241.968
01/15/2026 02:00:00,01/15/2026 08:00:00,SPRM,,348.600,17.000
01/15/2026 02:00:00,01/15/2026 08:00:00,SPS,,328.430,65.208
01/15/2026 02:00:00,01/15/2026 08:00:00,WAUE,,603.569,1289.262
01/15/2026 02:00:00,01/15/2026 08:00:00,WFEC,,84.658,113.304
01/15/2026 02:00:00,01/15/2026 08:00:00,WR,,172.241,305.599
01/15/2026 03:00:00,01/15/2026 09:00:00,CSWS,,300.090,159.222
01/15/2026 03:00:00,01/15/2026 09:00:00,EDE,,409.933,46.970
01/15/2026 03:00:00,01/15/2026 09:00:00,GRDA,,60.006,18.586
01/15/2026 03:00:00,01/15/2026 09:00:00,INDN,,15.700,20.200
01/15/2026 03:00:00,01/15/2026 09:00:00,KACY,,79.700,33.800
01/15/2026 03:00:00,01/15/2026 09:00:00,KCPL,,214.131,178.971
01/15/2026 03:00:00,01/15/2026 09:00:00,LES,,75.992,66.866
01/15/2026 03:00:00,01/15/2026 09:00:00,MPS,,136.866,66.851
01/15/2026 03:00:00,01/15/2026 09:00:00,NPPD,,253.751,425.660
01/15/2026 03:00:00,01/15/2026 09:00:00,OKGE,,336.024,494.433
01/15/2026 03:00:00,01/15/2026 09:00:00,OPPD,,670.477,135.415
01/15/2026 03:00:00,01/15/2026 09:00:00,SECI,,54.467,428.230
01/15/2026 03:00:00,01/15/2026 09:00:00,SPRM,,404.200,13.400
01/15/2026 03:00:00,01/15/2026 09:00:00,SPS,,260.160,104.981
01/15/2026 03:00:00,01/15/2026 09:00:00,WAUE,,620.190,1502.981
01/15/2026 03:00:00,01/15/2026 09:00:00,WFEC,,106.073,92.605
01/15/2026 03:00:00,01/15/2026 09:00:00,WR,,224.916,417.227
01/15/2026 04:00:00,01/15/2026 10:00:00,CSWS,,445.385,203.901
01/15/2026 04:00:00,01/15/2026 10:00:00,EDE,,429.522,34.786
01/15/2026 04:00:00,01/15/2026 10:00:00,GRDA,,77.142,29.215
01/15/2026 04:00:00,01/15/2026 10:00:00,INDN,,4.748,29.400
01/15/2026 04:00:00,01/15/2026 10:00:00,KACY,,89.913,4.900
01/15/2026 04:00:00,01/15/2026 10:00:00,KCPL,,224.966,289.038
01/15/2026 04:00:00,01/15/2026 10:00:00,LES,,80.098,14.069
01/15/2026 04:00:00,01/15/2026 10:00:00,MPS,,145.420,86.601
01/15/2026 04:00:00,01/15/2026 10:00:00,NPPD,,283.825,421.884
01/15/2026 04:00:00,01/15/2026 10:00:00,OKGE,,432.852,439.345
01/15/2026 04:00:00,01/15/2026 10:00:00,OPPD,,710.178,77.660
01/15/2026 04:00:00,01/15/2026 10:00:00,SECI,,101.831,779.466
01/15/2026 04:00:00,01/15/2026 10:00:00,SPRM,,491.604,7.500
01/15/2026 04:00:00,01/15/2026 10:00:00,SPS,,216.057,463.412
01/15/2026 04:00:00,01/15/2026 10:00:00,WAUE,,842.128,1518.366
01/15/2026 04:00:00,01/15/2026 10:00:00,WFEC,,156.461,100.023
01/15/2026 04:00:00,01/15/2026 10:00:00,WR,,354.049,543.155
01/15/2026 05:00:00,01/15/2026 11:00:00,CSWS,,509.198,242.259
