Interval,GMTIntervalEnd,MOA,Cleared Demand Bid,Cleared Virtual Bid,Cleared Virtual Offer
01/17/2026 01:00:00,01/17/2026 07:00:00,CSWS,,524.057,929.587
01/17/2026 01:00:00,01/17/2026 07:00:00,EDE,,355.929,391.417
01/17/2026 01:00:00,01/17/2026 07:00:00,GRDA,,45.178,126.932
01/17/2026 01:00:00,01/17/2026 07:00:00,INDN,,0.600,73.800
01/17/2026 01:00:00,01/17/2026 07:00:00,KACY,,158.196,48.600
01/17/2026 01:00:00,01/17/2026 07:00:00,KCPL,,284.687,725.391
01/17/2026 01:00:00,01/17/2026 07:00:00,LES,,15.593,85.233
01/17/2026 01:00:00,01/17/2026 07:00:00,MPS,,152.200,711.688
01/17/2026 01:00:00,01/17/2026 07:00:00,NPPD,,182.937,884.855
01/17/2026 01:00:00,01/17/2026 07:00:00,OKGE,,486.142,2129.465
01/17/2026 01:00:00,01/17/2026 07:00:00,OPPD,,212.265,302.176
01/17/2026 01:00:00,01/17/2026 07:00:00,SECI,,41.733,1029.812
01/17/2026 01:00:00,01/17/2026 07:00:00,SPRM,,234.544,22.527
01/17/2026 01:00:00,01/17/2026 07:00:00,SPS,,213.367,300.750
01/17/2026 01:00:00,01/17/2026 07:00:00,WAUE,,1062.628,2015.576
01/17/2026 01:00:00,01/17/2026 07:00:00,WFEC,,132.661,470.562
01/17/2026 01:00:00,01/17/2026 07:00:00,WR,,942.752,1334.218
01/17/2026 02:00:00,01/17/2026 08:00:00,CSWS,,494.299,995.536
01/17/2026 02:00:00,01/17/2026 08:00:00,EDE,,451.543,425.673
01/17/2026 02:00:00,01/17/2026 08:00:00,GRDA,,40.241,194.182
01/17/2026 02:00:00,01/17/2026 08:00:00,INDN,,0.600,74.600
01/17/2026 02:00:00,01/17/2026 08:00:00,KACY,,140.209,33.100
01/17/2026 02:00:00,01/17/2026 08:00:00,KCPL,,280.861,683.277
01/17/2026 02:00:00,01/17/2026 08:00:00,LES,,22.577,70.544
01/17/2026 02:00:00,01/17/2026 08:00:00,MPS,,152.125,672.620
