Interval,GMTIntervalEnd,MOA,Cleared Demand Bid,Cleared Virtual Bid,Cleared Virtual Offer
01/11/2026 01:00:00,01/11/2026 07:00:00,CSWS,,470.208,539.653
01/11/2026 01:00:00,01/11/2026 07:00:00,EDE,,115.227,362.891
01/11/2026 01:00:00,01/11/2026 07:00:00,GRDA,,20.936,82.055
01/11/2026 01:00:00,01/11/2026 07:00:00,INDN,,35.800,29.111
01/11/2026 01:00:00,01/11/2026 07:00:00,KACY,,55.740,25.300
01/11/2026 01:00:00,01/11/2026 07:00:00,KCPL,,226.513,553.751
01/11/2026 01:00:00,01/11/2026 07:00:00,LES,,17.475,66.857
01/11/2026 01:00:00,01/11/2026 07:00:00,MPS,,146.793,504.860
01/11/2026 01:00:00,01/11/2026 07:00:00,NPPD,,203.122,405.726
01/11/2026 01:00:00,01/11/2026 07:00:00,OKGE,,427.028,1435.511
01/11/2026 01:00:00,01/11/2026 07:00:00,OPPD,,130.048,292.653
01/11/2026 01:00:00,01/11/2026 07:00:00,SECI,,56.981,747.008
01/11/2026 01:00:00,01/11/2026 07:00:00,SPRM,,181.843,6.947
01/11/2026 01:00:00,01/11/2026 07:00:00,SPS,,318.394,402.116
01/11/2026 01:00:00,01/11/2026 07:00:00,WAUE,,434.084,923.296
01/11/2026 01:00:00,01/11/2026 07:00:00,WFEC,,225.211,418.917
01/11/2026 01:00:00,01/11/2026 07:00:00,WR,,369.667,1446.087
01/11/2026 02:00:00,01/11/2026 08:00:00,CSWS,,394.008,555.366
01/11/2026 02:00:00,01/11/2026 08:00:00,EDE,,155.829,367.590
01/11/2026 02:00:00,01/11/2026 08:00:00,GRDA,,16.040,78.254
01/11/2026 02:00:00,01/11/2026 08:00:00,INDN,,1.900,43.300
01/11/2026 02:00:00,01/11/2026 08:00:00,KACY,,41.734,21.100
01/11/2026 02:00:00,01/11/2026 08:00:00,KCPL,,233.876,524.853
01/11/2026 02:00:00,01/11/2026 08:00:00,LES,,18.633,60.490
01/11/2026 02:00:00,01/11/2026 08:00:00,MPS,,133.411,548.027
01/11/2026 02:00:00,01/11/2026 08:00:00,NPPD,,195.633,364.156
01/11/2026 02:00:00,01/11/2026 08:00:00,OKGE,,359.987,1253.701
01/11/2026 02:00:00,01/11/2026 08:00:00,OPPD,,158.192,225.939
01/11/2026 02:00:00,01/11/2026 08:00:00,SECI,,61.194,612.949
01/11/2026 02:00:00,01/11/2026 08:00:00,SPRM,,137.347,3.900
01/11/2026 02:00:00,01/11/2026 08:00:00,SPS,,342.362,392.600
01/11/2026 02:00:00,01/11/2026 08:00:00,WAUE,,427.194,911.954
01/11/2026 02:00:00,01/11/2026 08:00:00,WFEC,,121.602,390.557
01/11/2026 02:00:00,01/11/2026 08:00:00,WR,,367.324,1032.531
01/11/2026 03:00:00,01/11/2026 09:00:00,CSWS,,481.173,559.029
01/11/2026 03:00:00,01/11/2026 09:00:00,EDE,,153.187,319.567
01/11/2026 03:00:00,01/11/2026 09:00:00,GRDA,,14.472,57.917
01/11/2026 03:00:00,01/11/2026 09:00:00,INDN,,0.600,35.900
01/11/2026 03:00:00,01/11/2026 09:00:00,KACY,,29.671,5.600
01/11/2026 03:00:00,01/11/2026 09:00:00,KCPL,,178.885,479.751
01/11/2026 03:00:00,01/11/2026 09:00:00,LES,,18.019,62.606
01/11/2026 03:00:00,01/11/2026 09:00:00,MPS,,67.415,428.166
01/11/2026 03:00:00,01/11/2026 09:00:00,NPPD,,175.198,328.616
01/11/2026 03:00:00,01/11/2026 09:00:00,OKGE,,320.059,1349.875
01/11/2026 03:00:00,01/11/2026 09:00:00,OPPD,,126.527,187.281
01/11/2026 03:00:00,01/11/2026 09:00:00,SECI,,36.491,452.873
01/11/2026 03:00:00,01/11/2026 09:00:00,SPRM,,78.135,3.400
01/11/2026 03:00:00,01/11/2026 09:00:00,SPS,,392.382,372.788
01/11/2026 03:00:00,01/11/2026 09:00:00,WAUE,,546.735,824.548
01/11/2026 03:00:00,01/11/2026 09:00:00,WFEC,,118.191,343.131
01/11/2026 03:00:00,01/11/2026 09:00:00,WR,,325.505,765.003
01/11/2026 04:00:00,01/11/2026 10:00:00,CSWS,,383.251,369.641
01/11/2026 04:00:00,01/11/2026 10:00:00,EDE,,232.254,185.111
01/11/2026 04:00:00,01/11/2026 10:00:00,GRDA,,10.987,20.922
01/11/2026 04:00:00,01/11/2026 10:00:00,INDN,,3.600,49.200
01/11/2026 04:00:00,01/11/2026 10:00:00,KACY,,36.565,3.500
01/11/2026 04:00:00,01/11/2026 10:00:00,KCPL,,107.718,382.219
01/11/2026 04:00:00,01/11/2026 10:00:00,LES,,27.454,37.346
01/11/2026 04:00:00,01/11/2026 10:00:00,MPS,,82.882,448.504
01/11/2026 04:00:00,01/11/2026 10:00:00,NPPD,,222.550,313.233
01/11/2026 04:00:00,01/11/2026 10:00:00,OKGE,,335.359,600.348
01/11/2026 04:00:00,01/11/2026 10:00:00,OPPD,,307.732,182.393
01/11/2026 04:00:00,01/11/2026 10:00:00,SECI,,55.734,349.945
01/11/2026 04:00:00,01/11/2026 10:00:00,SPRM,,64.722,3.400
01/11/2026 04:00:00,01/11/2026 10:00:00,SPS,,480.674,345.022
01/11/2026 04:00:00,01/11/2026 10:00:00,WAUE,,414.036,887.370
01/11/2026 04:00:00,01/11/2026 10:00:00,WFEC,,100.977,197.547
01/11/2026 04:00:00,01/11/2026 10:00:00,WR,,237.679,559.663
01/11/2026 05:00:00,01/11/2026 11:00:00,CSWS,,358.345,271.622
01/11/2026 05:00:00,01/11/2026 11:00:00,EDE,,290.099,103.867
01/11/2026 05:00:00,01/11/2026 11:00:00,GRDA,,13.191,26.258
01/11/2026 05:00:00,01/11/2026 11:00:00,INDN,,2.300,15.300
01/11/2026 05:00:00,01/11/2026 11:00:00,KACY,,31.257,7.500
01/11/2026 05:00:00,01/11/2026 11:00:00,KCPL,,156.380,170.675
01/11/2026 05:00:00,01/11/2026 11:00:00,LES,,33.281,38.490
01/11/2026 05:00:00,01/11/2026 11:00:00,MPS,,91.677,454.197
01/11/2026 05:00:00,01/11/2026 11:00:00,NPPD,,237.503,284.540
01/11/2026 05:00:00,01/11/2026 11:00:00,OKGE,,325.686,386.304
01/11/2026 05:00:00,01/11/2026 11:00:00,OPPD,,401.192,168.170
01/11/2026 05:00:00,01/11/2026 11:00:00,SECI,,70.234,212.277
01/11/2026 05:00:00,01/11/2026 11:00:00,SPRM,,120.682,3.900
01/11/2026 05:00:00,01/11/2026 11:00:00,SPS,,487.694,110.427
01/11/2026 05:00:00,01/11/2026 11:00:00,WAUE,,417.727,1013.288
01/11/2026 05:00:00,01/11/2026 11:00:00,WFEC,,118.587,129.343
01/11/2026 05:00:00,01/11/2026 11:00:00,WR,,291.071,323.410
01/11/2026 06:00:00,01/11/2026 12:00:00,CSWS,,334.703,161.522
01/11/2026 06:00:00,01/11/2026 12:00:00,EDE,,245.527,145.882
01/11/2026 06:00:00,01/11/2026 12:00:00,GRDA,,27.985,25.938
01/11/2026 06:00:00,01/11/2026 12:00:00,INDN,,3.400,12.800
01/11/2026 06:00:00,01/11/2026 12:00:00,KACY,,41.804,5.100
01/11/2026 06:00:00,01/11/2026 12:00:00,KCPL,,157.490,108.893
01/11/2026 06:00:00,01/11/2026 12:00:00,LES,,41.164,39.201
01/11/2026 06:00:00,01/11/2026 12:00:00,MPS,,96.242,407.403
01/11/2026 06:00:00,01/11/2026 12:00:00,NPPD,,214.903,272.360
01/11/2026 06:00:00,01/11/2026 12:00:00,OKGE,,275.600,336.793
01/11/2026 06:00:00,01/11/2026 12:00:00,OPPD,,411.881,211.634
01/11/2026 06:00:00,01/11/2026 12:00:00,SECI,,38.681,120.953
01/11/2026 06:00:00,01/11/2026 12:00:00,SPRM,,158.742,5.500
01/11/2026 06:00:00,01/11/2026 12:00:00,SPS,,511.825,107.513
01/11/2026 06:00:00,01/11/2026 12:00:00,WAUE,,490.646,1257.476
01/11/2026 06:00:00,01/11/2026 12:00:00,WFEC,,121.061,124.063
01/11/2026 06:00:00,01/11/2026 12:00:00,WR,,251.510,214.403
01/11/2026 07:00:00,01/11/2026 13:00:00,CSWS,,286.611,119.252
01/11/2026 07:00:00,01/11/2026 13:00:00,EDE,,301.796,69.796
01/11/2026 07:00:00,01/11/2026 13:00:00,GRDA,,18.890,25.100
01/11/2026 07:00:00,01/11/2026 13:00:00,INDN,,4.500,4.500
01/11/2026 07:00:00,01/11/2026 13:00:00,KACY,,124.700,4.500
01/11/2026 07:00:00,01/11/2026 13:00:00,KCPL,,127.124,52.807
01/11/2026 07:00:00,01/11/2026 13:00:00,LES,,66.769,27.723
01/11/2026 07:00:00,01/11/2026 13:00:00,MPS,,61.141,291.938
01/11/2026 07:00:00,01/11/2026 13:00:00,NPPD,,307.151,258.842
01/11/2026 07:00:00,01/11/2026 13:00:00,OKGE,,230.175,232.557
01/11/2026 07:00:00,01/11/2026 13:00:00,OPPD,,520.898,124.144
01/11/2026 07:00:00,01/11/2026 13:00:00,SECI,,54.035,67.487
01/11/2026 07:00:00,01/11/2026 13:00:00,SPRM,,126.886,10.400
01/11/2026 07:00:00,01/11/2026 13:00:00,SPS,,384.591,93.152
01/11/2026 07:00:00,01/11/2026 13:00:00,WAUE,,391.684,1458.267
01/11/2026 07:00:00,01/11/2026 13:00:00,WFEC,,110.616,46.292
01/11/2026 07:00:00,01/11/2026 13:00:00,WR,,283.984,227.392
01/11/2026 08:00:00,01/11/2026 14:00:00,CSWS,,290.263,126.472
01/11/2026 08:00:00,01/11/2026 14:00:00,EDE,,247.500,53.982
01/11/2026 08:00:00,01/11/2026 14:00:00,GRDA,,14.490,17.551
01/11/2026 08:00:00,01/11/2026 14:00:00,INDN,,3.900,6.154
01/11/2026 08:00:00,01/11/2026 14:00:00,KACY,,114.400,2.200
01/11/2026 08:00:00,01/11/2026 14:00:00,KCPL,,97.750,51.338
01/11/2026 08:00:00,01/11/2026 14:00:00,LES,,59.429,21.873
01/11/2026 08:00:00,01/11/2026 14:00:00,MPS,,58.414,185.100
01/11/2026 08:00:00,01/11/2026 14:00:00,NPPD,,270.892,526.259
01/11/2026 08:00:00,01/11/2026 14:00:00,OKGE,,187.026,398.471
01/11/2026 08:00:00,01/11/2026 14:00:00,OPPD,,602.780,73.445
01/11/2026 08:00:00,01/11/2026 14:00:00,SECI,,17.559,128.806
01/11/2026 08:00:00,01/11/2026 14:00:00,SPRM,,149.305,7.100
01/11/2026 08:00:00,01/11/2026 14:00:00,SPS,,278.053,88.660
01/11/2026 08:00:00,01/11/2026 14:00:00,WAUE,,1061.970,2075.362
01/11/2026 08:00:00,01/11/2026 14:00:00,WFEC,,157.460,68.456
