Interval,GMTIntervalEnd,MOA,Cleared Demand Bid,Cleared Virtual Bid,Cleared Virtual Offer
01/26/2026 01:00:00,01/26/2026 07:00:00,CSWS,,142.241,245.383
01/26/2026 01:00:00,01/26/2026 07:00:00,EDE,,65.502,115.507
01/26/2026 01:00:00,01/26/2026 07:00:00,GRDA,,2.163,92.830
01/26/2026 01:00:00,01/26/2026 07:00:00,INDN,,7.300,0.000
01/26/2026 01:00:00,01/26/2026 07:00:00,KACY,,7.200,1.600
01/26/2026 01:00:00,01/26/2026 07:00:00,KCPL,,47.199,128.369
01/26/2026 01:00:00,01/26/2026 07:00:00,LES,,3.557,27.850
01/26/2026 01:00:00,01/26/2026 07:00:00,MPS,,22.221,69.029
01/26/2026 01:00:00,01/26/2026 07:00:00,NPPD,,31.971,121.688
01/26/2026 01:00:00,01/26/2026 07:00:00,OKGE,,62.248,646.584
01/26/2026 01:00:00,01/26/2026 07:00:00,OPPD,,27.672,107.081
01/26/2026 01:00:00,01/26/2026 07:00:00,SECI,,2.084,146.746
01/26/2026 01:00:00,01/26/2026 07:00:00,SPRM,,300.599,0.000
01/26/2026 01:00:00,01/26/2026 07:00:00,SPS,,44.633,42.115
01/26/2026 01:00:00,01/26/2026 07:00:00,WAUE,,14.000,204.603
01/26/2026 01:00:00,01/26/2026 07:00:00,WFEC,,25.913,123.604
01/26/2026 01:00:00,01/26/2026 07:00:00,WR,,16.799,380.423
01/26/2026 02:00:00,01/26/2026 08:00:00,CSWS,,148.390,255.207
01/26/2026 02:00:00,01/26/2026 08:00:00,EDE,,63.984,121.370
01/26/2026 02:00:00,01/26/2026 08:00:00,GRDA,,2.112,202.800
01/26/2026 02:00:00,01/26/2026 08:00:00,INDN,,4.800,0.000
01/26/2026 02:00:00,01/26/2026 08:00:00,KACY,,7.200,0.000
01/26/2026 02:00:00,01/26/2026 08:00:00,KCPL,,47.650,115.348
01/26/2026 02:00:00,01/26/2026 08:00:00,LES,,2.532,27.862
01/26/2026 02:00:00,01/26/2026 08:00:00,MPS,,35.106,64.909
01/26/2026 02:00:00,01/26/2026 08:00:00,NPPD,,28.488,117.656
01/26/2026 02:00:00,01/26/2026 08:00:00,OKGE,,64.966,749.728
01/26/2026 02:00:00,01/26/2026 08:00:00,OPPD,,22.081,114.630
01/26/2026 02:00:00,01/26/2026 08:00:00,SECI,,2.458,171.511
01/26/2026 02:00:00,01/26/2026 08:00:00,SPRM,,295.367,0.000
01/26/2026 02:00:00,01/26/2026 08:00:00,SPS,,42.700,42.784
01/26/2026 02:00:00,01/26/2026 08:00:00,WAUE,,14.000,220.394
01/26/2026 02:00:00,01/26/2026 08:00:00,WFEC,,27.097,128.509
