Interval,GMTIntervalEnd,MOA,Cleared Demand Bid,Cleared Virtual Bid,Cleared Virtual Offer
01/13/2026 01:00:00,01/13/2026 07:00:00,CSWS,,729.173,826.307
01/13/2026 01:00:00,01/13/2026 07:00:00,EDE,,347.668,526.401
01/13/2026 01:00:00,01/13/2026 07:00:00,GRDA,,83.668,99.685
01/13/2026 01:00:00,01/13/2026 07:00:00,INDN,,15.412,29.800
01/13/2026 01:00:00,01/13/2026 07:00:00,KACY,,90.713,38.900
01/13/2026 01:00:00,01/13/2026 07:00:00,KCPL,,183.332,932.232
01/13/2026 01:00:00,01/13/2026 07:00:00,LES,,24.683,72.830
01/13/2026 01:00:00,01/13/2026 07:00:00,MPS,,246.292,734.369
01/13/2026 01:00:00,01/13/2026 07:00:00,NPPD,,217.827,689.089
01/13/2026 01:00:00,01/13/2026 07:00:00,OKGE,,539.363,1652.372
01/13/2026 01:00:00,01/13/2026 07:00:00,OPPD,,120.881,320.803
01/13/2026 01:00:00,01/13/2026 07:00:00,SECI,,71.978,797.445
01/13/2026 01:00:00,01/13/2026 07:00:00,SPRM,,441.487,3.741
01/13/2026 01:00:00,01/13/2026 07:00:00,SPS,,616.483,226.184
01/13/2026 01:00:00,01/13/2026 07:00:00,WAUE,,567.960,1636.803
01/13/2026 01:00:00,01/13/2026 07:00:00,WFEC,,108.322,435.225
01/13/2026 01:00:00,01/13/2026 07:00:00,WR,,943.824,1122.650
01/13/2026 02:00:00,01/13/2026 08:00:00,CSWS,,739.616,897.750
01/13/2026 02:00:00,01/13/2026 08:00:00,EDE,,341.548,469.740
01/13/2026 02:00:00,01/13/2026 08:00:00,GRDA,,51.142,94.446
01/13/2026 02:00:00,01/13/2026 08:00:00,INDN,,15.750,45.500
01/13/2026 02:00:00,01/13/2026 08:00:00,KACY,,91.998,83.200
01/13/2026 02:00:00,01/13/2026 08:00:00,KCPL,,219.061,849.593
01/13/2026 02:00:00,01/13/2026 08:00:00,LES,,24.087,71.090
01/13/2026 02:00:00,01/13/2026 08:00:00,MPS,,218.269,697.905
01/13/2026 02:00:00,01/13/2026 08:00:00,NPPD,,162.138,500.515
01/13/2026 02:00:00,01/13/2026 08:00:00,OKGE,,535.399,1865.343
01/13/2026 02:00:00,01/13/2026 08:00:00,OPPD,,128.657,221.654
01/13/2026 02:00:00,01/13/2026 08:00:00,SECI,,117.295,819.716
01/13/2026 02:00:00,01/13/2026 08:00:00,SPRM,,413.620,2.396
01/13/2026 02:00:00,01/13/2026 08:00:00,SPS,,640.062,213.958
01/13/2026 02:00:00,01/13/2026 08:00:00,WAUE,,513.391,1464.673
01/13/2026 02:00:00,01/13/2026 08:00:00,WFEC,,111.625,426.115
01/13/2026 02:00:00,01/13/2026 08:00:00,WR,,960.903,1110.652
01/13/2026 03:00:00,01/13/2026 09:00:00,CSWS,,705.018,861.468
01/13/2026 03:00:00,01/13/2026 09:00:00,EDE,,361.165,505.662
01/13/2026 03:00:00,01/13/2026 09:00:00,GRDA,,92.553,92.707
01/13/2026 03:00:00,01/13/2026 09:00:00,INDN,,15.550,48.800
01/13/2026 03:00:00,01/13/2026 09:00:00,KACY,,107.827,111.000
01/13/2026 03:00:00,01/13/2026 09:00:00,KCPL,,287.992,792.617
01/13/2026 03:00:00,01/13/2026 09:00:00,LES,,18.155,13.163
01/13/2026 03:00:00,01/13/2026 09:00:00,MPS,,225.717,523.118
01/13/2026 03:00:00,01/13/2026 09:00:00,NPPD,,230.290,471.977
01/13/2026 03:00:00,01/13/2026 09:00:00,OKGE,,597.129,2064.523
01/13/2026 03:00:00,01/13/2026 09:00:00,OPPD,,172.611,155.087
01/13/2026 03:00:00,01/13/2026 09:00:00,SECI,,122.728,808.078
01/13/2026 03:00:00,01/13/2026 09:00:00,SPRM,,406.142,2.638
01/13/2026 03:00:00,01/13/2026 09:00:00,SPS,,566.656,475.088
01/13/2026 03:00:00,01/13/2026 09:00:00,WAUE,,470.087,1570.631
01/13/2026 03:00:00,01/13/2026 09:00:00,WFEC,,163.448,496.972
01/13/2026 03:00:00,01/13/2026 09:00:00,WR,,920.553,1001.905
01/13/2026 04:00:00,01/13/2026 10:00:00,CSWS,,824.498,887.771
01/13/2026 04:00:00,01/13/2026 10:00:00,EDE,,318.526,470.208
01/13/2026 04:00:00,01/13/2026 10:00:00,GRDA,,95.555,90.030
01/13/2026 04:00:00,01/13/2026 10:00:00,INDN,,4.200,52.900
01/13/2026 04:00:00,01/13/2026 10:00:00,KACY,,95.346,111.400
01/13/2026 04:00:00,01/13/2026 10:00:00,KCPL,,265.548,804.431
01/13/2026 04:00:00,01/13/2026 10:00:00,LES,,17.817,19.261
01/13/2026 04:00:00,01/13/2026 10:00:00,MPS,,151.959,532.466
01/13/2026 04:00:00,01/13/2026 10:00:00,NPPD,,286.259,488.985
01/13/2026 04:00:00,01/13/2026 10:00:00,OKGE,,597.591,2049.328
01/13/2026 04:00:00,01/13/2026 10:00:00,OPPD,,174.416,221.799
01/13/2026 04:00:00,01/13/2026 10:00:00,SECI,,129.602,898.512
01/13/2026 04:00:00,01/13/2026 10:00:00,SPRM,,407.487,5.804
01/13/2026 04:00:00,01/13/2026 10:00:00,SPS,,598.301,293.054
01/13/2026 04:00:00,01/13/2026 10:00:00,WAUE,,400.039,1661.959
01/13/2026 04:00:00,01/13/2026 10:00:00,WFEC,,161.067,475.212
01/13/2026 04:00:00,01/13/2026 10:00:00,WR,,925.606,963.424
01/13/2026 05:00:00,01/13/2026 11:00:00,CSWS,,818.775,652.368
01/13/2026 05:00:00,01/13/2026 11:00:00,EDE,,364.448,518.217
01/13/2026 05:00:00,01/13/2026 11:00:00,GRDA,,77.191,111.788
01/13/2026 05:00:00,01/13/2026 11:00:00,INDN,,19.500,49.800
01/13/2026 05:00:00,01/13/2026 11:00:00,KACY,,109.368,123.745
01/13/2026 05:00:00,01/13/2026 11:00:00,KCPL,,326.075,730.282
01/13/2026 05:00:00,01/13/2026 11:00:00,LES,,35.675,74.349
01/13/2026 05:00:00,01/13/2026 11:00:00,MPS,,154.744,452.426
01/13/2026 05:00:00,01/13/2026 11:00:00,NPPD,,303.840,603.592
01/13/2026 05:00:00,01/13/2026 11:00:00,OKGE,,655.138,1944.179
01/13/2026 05:00:00,01/13/2026 11:00:00,OPPD,,258.265,187.245
01/13/2026 05:00:00,01/13/2026 11:00:00,SECI,,117.875,858.117
01/13/2026 05:00:00,01/13/2026 11:00:00,SPRM,,307.278,9.427
01/13/2026 05:00:00,01/13/2026 11:00:00,SPS,,484.024,216.450
01/13/2026 05:00:00,01/13/2026 11:00:00,WAUE,,547.242,1863.258
01/13/2026 05:00:00,01/13/2026 11:00:00,WFEC,,168.488,403.517
01/13/2026 05:00:00,01/13/2026 11:00:00,WR,,851.096,1127.224
01/13/2026 06:00:00,01/13/2026 12:00:00,CSWS,,910.676,485.164
01/13/2026 06:00:00,01/13/2026 12:00:00,EDE,,278.838,365.165
01/13/2026 06:00:00,01/13/2026 12:00:00,GRDA,,36.062,64.110
01/13/2026 06:00:00,01/13/2026 12:00:00,INDN,,17.900,47.300
01/13/2026 06:00:00,01/13/2026 12:00:00,KACY,,90.109,65.500
01/13/2026 06:00:00,01/13/2026 12:00:00,KCPL,,234.025,638.693
01/13/2026 06:00:00,01/13/2026 12:00:00,LES,,42.875,73.770
01/13/2026 06:00:00,01/13/2026 12:00:00,MPS,,144.021,460.076
01/13/2026 06:00:00,01/13/2026 12:00:00,NPPD,,303.940,538.344
01/13/2026 06:00:00,01/13/2026 12:00:00,OKGE,,408.205,1460.221
01/13/2026 06:00:00,01/13/2026 12:00:00,OPPD,,161.558,288.607
01/13/2026 06:00:00,01/13/2026 12:00:00,SECI,,114.186,766.096
01/13/2026 06:00:00,01/13/2026 12:00:00,SPRM,,220.761,4.363
01/13/2026 06:00:00,01/13/2026 12:00:00,SPS,,538.633,220.627
01/13/2026 06:00:00,01/13/2026 12:00:00,WAUE,,605.951,1797.230
01/13/2026 06:00:00,01/13/2026 12:00:00,WFEC,,290.838,306.696
01/13/2026 06:00:00,01/13/2026 12:00:00,WR,,867.415,1036.923
01/13/2026 07:00:00,01/13/2026 13:00:00,CSWS,,854.110,290.922
01/13/2026 07:00:00,01/13/2026 13:00:00,EDE,,291.197,360.511
01/13/2026 07:00:00,01/13/2026 13:00:00,GRDA,,48.928,29.062
01/13/2026 07:00:00,01/13/2026 13:00:00,INDN,,69.900,8.700
01/13/2026 07:00:00,01/13/2026 13:00:00,KACY,,122.437,81.500
01/13/2026 07:00:00,01/13/2026 13:00:00,KCPL,,184.014,482.451
01/13/2026 07:00:00,01/13/2026 13:00:00,LES,,82.778,71.699
01/13/2026 07:00:00,01/13/2026 13:00:00,MPS,,196.517,530.739
01/13/2026 07:00:00,01/13/2026 13:00:00,NPPD,,504.595,495.556
01/13/2026 07:00:00,01/13/2026 13:00:00,OKGE,,492.799,1054.709
01/13/2026 07:00:00,01/13/2026 13:00:00,OPPD,,208.374,267.384
01/13/2026 07:00:00,01/13/2026 13:00:00,SECI,,92.400,678.189
01/13/2026 07:00:00,01/13/2026 13:00:00,SPRM,,288.885,3.135
01/13/2026 07:00:00,01/13/2026 13:00:00,SPS,,703.671,264.179
01/13/2026 07:00:00,01/13/2026 13:00:00,WAUE,,607.163,1504.134
01/13/2026 07:00:00,01/13/2026 13:00:00,WFEC,,462.752,286.997
01/13/2026 07:00:00,01/13/2026 13:00:00,WR,,749.003,1081.871
01/13/2026 08:00:00,01/13/2026 14:00:00,CSWS,,571.779,315.841
01/13/2026 08:00:00,01/13/2026 14:00:00,EDE,,311.788,368.245
01/13/2026 08:00:00,01/13/2026 14:00:00,GRDA,,8.729,29.634
01/13/2026 08:00:00,01/13/2026 14:00:00,INDN,,72.900,21.228
01/13/2026 08:00:00,01/13/2026 14:00:00,KACY,,117.219,135.200
01/13/2026 08:00:00,01/13/2026 14:00:00,KCPL,,267.897,518.484
01/13/2026 08:00:00,01/13/2026 14:00:00,LES,,41.411,22.351
01/13/2026 08:00:00,01/13/2026 14:00:00,MPS,,121.146,570.641
01/13/2026 08:00:00,01/13/2026 14:00:00,NPPD,,298.638,471.951
01/13/2026 08:00:00,01/13/2026 14:00:00,OKGE,,442.470,1230.611
01/13/2026 08:00:00,01/13/2026 14:00:00,OPPD,,175.542,236.851
01/13/2026 08:00:00,01/13/2026 14:00:00,SECI,,79.172,803.609
01/13/2026 08:00:00,01/13/2026 14:00:00,SPRM,,374.730,7.682
01/13/2026 08:00:00,01/13/2026 14:00:00,SPS,,775.582,447.181
01/13/2026 08:00:00,01/13/2026 14:00:00,WAUE,,330.436,1475.963
01/13/2026 08:00:00,01/13/2026 14:00:00,WFEC,,131.020,330.405
01/13/2026 08:00:00,01/13/2026 14:00:00,WR,,840.953,1086.992
01/13/2026 09:00:00,01/13/2026 15:00:00,CSWS,,469.104,405.835
01/13/2026 09:00:00,01/13/2026 15:00:00,EDE,,311.210,160.371
01/13/2026 09:00:00,01/13/2026 15:00:00,GRDA,,11.076,45.087
01/13/2026 09:00:00,01/13/2026 15:00:00,INDN,,37.600,47.200
01/13/2026 09:00:00,01/13/2026 15:00:00,KACY,,123.185,64.600
01/13/2026 09:00:00,01/13/2026 15:00:00,KCPL,,257.617,405.469
01/13/2026 09:00:00,01/13/2026 15:00:00,LES,,14.184,37.900
01/13/2026 09:00:00,01/13/2026 15:00:00,MPS,,99.027,428.633
01/13/2026 09:00:00,01/13/2026 15:00:00,NPPD,,235.720,520.569
01/13/2026 09:00:00,01/13/2026 15:00:00,OKGE,,455.031,1019.317
01/13/2026 09:00:00,01/13/2026 15:00:00,OPPD,,90.762,276.970
01/13/2026 09:00:00,01/13/2026 15:00:00,SECI,,28.374,813.489
01/13/2026 09:00:00,01/13/2026 15:00:00,SPRM,,268.558,17.614
01/13/2026 09:00:00,01/13/2026 15:00:00,SPS,,248.562,337.016
01/13/2026 09:00:00,01/13/2026 15:00:00,WAUE,,370.804,1459.634
01/13/2026 09:00:00,01/13/2026 15:00:00,WFEC,,110.169,214.084
01/13/2026 09:00:00,01/13/2026 15:00:00,WR,,715.309,975.450
01/13/2026 10:00:00,01/13/2026 16:00:00,CSWS,,555.753,248.902
01/13/2026 10:00:00,01/13/2026 16:00:00,EDE,,309.017,224.281
01/13/2026 10:00:00,01/13/2026 16:00:00,GRDA,,43.341,33.368
01/13/2026 10:00:00,01/13/2026 16:00:00,INDN,,39.668,47.100
01/13/2026 10:00:00,01/13/2026 16:00:00,KACY,,189.691,43.300
01/13/2026 10:00:00,01/13/2026 16:00:00,KCPL,,183.319,264.106
01/13/2026 10:00:00,01/13/2026 16:00:00,LES,,36.339,8.848
01/13/2026 10:00:00,01/13/2026 16:00:00,MPS,,100.171,220.176
01/13/2026 10:00:00,01/13/2026 16:00:00,NPPD,,295.807,513.322
01/13/2026 10:00:00,01/13/2026 16:00:00,OKGE,,509.937,439.044
01/13/2026 10:00:00,01/13/2026 16:00:00,OPPD,,167.005,238.327
01/13/2026 10:00:00,01/13/2026 16:00:00,SECI,,59.225,465.093
01/13/2026 10:00:00,01/13/2026 16:00:00,SPRM,,231.500,18.450
01/13/2026 10:00:00,01/13/2026 16:00:00,SPS,,278.158,402.675
01/13/2026 10:00:00,01/13/2026 16:00:00,WAUE,,353.804,1349.829
01/13/2026 10:00:00,01/13/2026 16:00:00,WFEC,,137.089,133.869
01/13/2026 10:00:00,01/13/2026 16:00:00,WR,,691.545,520.278
01/13/2026 11:00:00,01/13/2026 17:00:00,CSWS,,380.032,153.794
01/13/2026 11:00:00,01/13/2026 17:00:00,EDE,,171.366,93.513
01/13/2026 11:00:00,01/13/2026 17:00:00,GRDA,,6.156,11.610
01/13/2026 11:00:00,01/13/2026 17:00:00,INDN,,57.000,3.600
01/13/2026 11:00:00,01/13/2026 17:00:00,KACY,,99.200,111.506
01/13/2026 11:00:00,01/13/2026 17:00:00,KCPL,,217.914,172.912
01/13/2026 11:00:00,01/13/2026 17:00:00,LES,,59.351,7.252
01/13/2026 11:00:00,01/13/2026 17:00:00,MPS,,179.196,299.564
01/13/2026 11:00:00,01/13/2026 17:00:00,NPPD,,400.283,706.742
01/13/2026 11:00:00,01/13/2026 17:00:00,OKGE,,449.260,206.310
01/13/2026 11:00:00,01/13/2026 17:00:00,OPPD,,503.920,383.201
01/13/2026 11:00:00,01/13/2026 17:00:00,SECI,,52.776,336.527
01/13/2026 11:00:00,01/13/2026 17:00:00,SPRM,,242.412,10.498
01/13/2026 11:00:00,01/13/2026 17:00:00,SPS,,645.764,303.282
01/13/2026 11:00:00,01/13/2026 17:00:00,WAUE,,444.382,1464.811
01/13/2026 11:00:00,01/13/2026 17:00:00,WFEC,,165.433,101.745
01/13/2026 11:00:00,01/13/2026 17:00:00,WR,,657.552,303.393
01/13/2026 12:00:00,01/13/2026 18:00:00,CSWS,,415.498,184.589
01/13/2026 12:00:00,01/13/2026 18:00:00,EDE,,196.047,54.917
01/13/2026 12:00:00,01/13/2026 18:00:00,GRDA,,9.862,17.732
01/13/2026 12:00:00,01/13/2026 18:00:00,INDN,,22.159,5.831
01/13/2026 12:00:00,01/13/2026 18:00:00,KACY,,44.400,16.606
01/13/2026 12:00:00,01/13/2026 18:00:00,KCPL,,97.519,309.081
01/13/2026 12:00:00,01/13/2026 18:00:00,LES,,33.657,5.520
01/13/2026 12:00:00,01/13/2026 18:00:00,MPS,,146.362,379.792
01/13/2026 12:00:00,01/13/2026 18:00:00,NPPD,,460.211,529.053
01/13/2026 12:00:00,01/13/2026 18:00:00,OKGE,,365.532,383.163
01/13/2026 12:00:00,01/13/2026 18:00:00,OPPD,,415.632,416.883
01/13/2026 12:00:00,01/13/2026 18:00:00,SECI,,39.285,310.101
01/13/2026 12:00:00,01/13/2026 18:00:00,SPRM,,269.831,11.899
01/13/2026 12:00:00,01/13/2026 18:00:00,SPS,,532.601,111.021
01/13/2026 12:00:00,01/13/2026 18:00:00,WAUE,,483.706,1657.335
01/13/2026 12:00:00,01/13/2026 18:00:00,WFEC,,118.440,150.088
01/13/2026 12:00:00,01/13/2026 18:00:00,WR,,760.665,363.691
01/13/2026 13:00:00,01/13/2026 19:00:00,CSWS,,395.064,211.039
01/13/2026 13:00:00,01/13/2026 19:00:00,EDE,,69.500,43.355
01/13/2026 13:00:00,01/13/2026 19:00:00,GRDA,,9.207,28.953
01/13/2026 13:00:00,01/13/2026 19:00:00,INDN,,14.000,25.900
01/13/2026 13:00:00,01/13/2026 19:00:00,KACY,,68.542,3.806
01/13/2026 13:00:00,01/13/2026 19:00:00,KCPL,,124.002,263.343
01/13/2026 13:00:00,01/13/2026 19:00:00,LES,,27.090,5.806
01/13/2026 13:00:00,01/13/2026 19:00:00,MPS,,242.807,374.504
01/13/2026 13:00:00,01/13/2026 19:00:00,NPPD,,334.610,607.746
01/13/2026 13:00:00,01/13/2026 19:00:00,OKGE,,382.931,634.453
01/13/2026 13:00:00,01/13/2026 19:00:00,OPPD,,363.624,413.326
01/13/2026 13:00:00,01/13/2026 19:00:00,SECI,,48.116,306.733
01/13/2026 13:00:00,01/13/2026 19:00:00,SPRM,,178.200,4.966
01/13/2026 13:00:00,01/13/2026 19:00:00,SPS,,363.222,76.711
01/13/2026 13:00:00,01/13/2026 19:00:00,WAUE,,568.098,1861.500
01/13/2026 13:00:00,01/13/2026 19:00:00,WFEC,,124.776,160.712
01/13/2026 13:00:00,01/13/2026 19:00:00,WR,,556.590,460.941
01/13/2026 14:00:00,01/13/2026 20:00:00,CSWS,,346.351,217.316
01/13/2026 14:00:00,01/13/2026 20:00:00,EDE,,67.700,38.519
01/13/2026 14:00:00,01/13/2026 20:00:00,GRDA,,6.195,50.629
01/13/2026 14:00:00,01/13/2026 20:00:00,INDN,,13.200,37.731
01/13/2026 14:00:00,01/13/2026 20:00:00,KACY,,85.800,34.906
01/13/2026 14:00:00,01/13/2026 20:00:00,KCPL,,140.631,297.799
01/13/2026 14:00:00,01/13/2026 20:00:00,LES,,21.319,27.872
01/13/2026 14:00:00,01/13/2026 20:00:00,MPS,,265.225,373.419
01/13/2026 14:00:00,01/13/2026 20:00:00,NPPD,,316.918,539.458
01/13/2026 14:00:00,01/13/2026 20:00:00,OKGE,,378.812,541.224
01/13/2026 14:00:00,01/13/2026 20:00:00,OPPD,,388.543,525.227
01/13/2026 14:00:00,01/13/2026 20:00:00,SECI,,30.175,280.065
01/13/2026 14:00:00,01/13/2026 20:00:00,SPRM,,107.900,21.415
01/13/2026 14:00:00,01/13/2026 20:00:00,SPS,,415.498,84.786
01/13/2026 14:00:00,01/13/2026 20:00:00,WAUE,,378.686,2029.095
01/13/2026 14:00:00,01/13/2026 20:00:00,WFEC,,113.773,150.144
01/13/2026 14:00:00,01/13/2026 20:00:00,WR,,547.390,548.365
01/13/2026 15:00:00,01/13/2026 21:00:00,CSWS,,407.649,215.571
01/13/2026 15:00:00,01/13/2026 21:00:00,EDE,,74.900,40.058
01/13/2026 15:00:00,01/13/2026 21:00:00,GRDA,,7.379,45.111
01/13/2026 15:00:00,01/13/2026 21:00:00,INDN,,8.350,33.500
01/13/2026 15:00:00,01/13/2026 21:00:00,KACY,,115.000,26.506
01/13/2026 15:00:00,01/13/2026 21:00:00,KCPL,,117.430,191.910
01/13/2026 15:00:00,01/13/2026 21:00:00,LES,,26.818,20.854
01/13/2026 15:00:00,01/13/2026 21:00:00,MPS,,273.875,401.557
01/13/2026 15:00:00,01/13/2026 21:00:00,NPPD,,352.457,640.333
01/13/2026 15:00:00,01/13/2026 21:00:00,OKGE,,342.077,475.236
01/13/2026 15:00:00,01/13/2026 21:00:00,OPPD,,373.121,551.203
01/13/2026 15:00:00,01/13/2026 21:00:00,SECI,,49.223,240.254
01/13/2026 15:00:00,01/13/2026 21:00:00,SPRM,,100.500,17.899
01/13/2026 15:00:00,01/13/2026 21:00:00,SPS,,407.978,85.164
01/13/2026 15:00:00,01/13/2026 21:00:00,WAUE,,376.986,2056.933
01/13/2026 15:00:00,01/13/2026 21:00:00,WFEC,,102.610,154.996
01/13/2026 15:00:00,01/13/2026 21:00:00,WR,,587.206,604.116
01/13/2026 16:00:00,01/13/2026 22:00:00,CSWS,,446.427,176.271
01/13/2026 16:00:00,01/13/2026 22:00:00,EDE,,69.500,49.428
01/13/2026 16:00:00,01/13/2026 22:00:00,GRDA,,4.512,35.955
01/13/2026 16:00:00,01/13/2026 22:00:00,INDN,,5.300,26.500
01/13/2026 16:00:00,01/13/2026 22:00:00,KACY,,100.300,40.500
01/13/2026 16:00:00,01/13/2026 22:00:00,KCPL,,105.931,224.495
01/13/2026 16:00:00,01/13/2026 22:00:00,LES,,16.524,13.477
01/13/2026 16:00:00,01/13/2026 22:00:00,MPS,,275.189,342.089
01/13/2026 16:00:00,01/13/2026 22:00:00,NPPD,,283.374,763.710
01/13/2026 16:00:00,01/13/2026 22:00:00,OKGE,,370.032,491.186
01/13/2026 16:00:00,01/13/2026 22:00:00,OPPD,,372.100,509.153
01/13/2026 16:00:00,01/13/2026 22:00:00,SECI,,33.631,214.617
01/13/2026 16:00:00,01/13/2026 22:00:00,SPRM,,109.200,0.400
01/13/2026 16:00:00,01/13/2026 22:00:00,SPS,,447.226,72.019
01/13/2026 16:00:00,01/13/2026 22:00:00,WAUE,,344.690,2095.673
01/13/2026 16:00:00,01/13/2026 22:00:00,WFEC,,121.235,203.996
01/13/2026 16:00:00,01/13/2026 22:00:00,WR,,656.397,505.477
01/13/2026 17:00:00,01/13/2026 23:00:00,CSWS,,501.610,124.207
01/13/2026 17:00:00,01/13/2026 23:00:00,EDE,,154.600,37.589
01/13/2026 17:00:00,01/13/2026 23:00:00,GRDA,,59.587,19.243
01/13/2026 17:00:00,01/13/2026 23:00:00,INDN,,48.945,3.100
01/13/2026 17:00:00,01/13/2026 23:00:00,KACY,,258.700,0.000
01/13/2026 17:00:00,01/13/2026 23:00:00,KCPL,,134.794,214.584
01/13/2026 17:00:00,01/13/2026 23:00:00,LES,,114.357,36.916
01/13/2026 17:00:00,01/13/2026 23:00:00,MPS,,321.526,319.264
01/13/2026 17:00:00,01/13/2026 23:00:00,NPPD,,237.476,769.301
01/13/2026 17:00:00,01/13/2026 23:00:00,OKGE,,360.801,259.003
01/13/2026 17:00:00,01/13/2026 23:00:00,OPPD,,275.639,504.792
01/13/2026 17:00:00,01/13/2026 23:00:00,SECI,,80.454,124.310
01/13/2026 17:00:00,01/13/2026 23:00:00,SPRM,,196.800,3.250
01/13/2026 17:00:00,01/13/2026 23:00:00,SPS,,607.860,71.123
01/13/2026 17:00:00,01/13/2026 23:00:00,WAUE,,233.125,2007.637
01/13/2026 17:00:00,01/13/2026 23:00:00,WFEC,,114.989,135.805
01/13/2026 17:00:00,01/13/2026 23:00:00,WR,,599.445,383.456
01/13/2026 18:00:00,01/14/2026 00:00:00,CSWS,,548.233,216.706
01/13/2026 18:00:00,01/14/2026 00:00:00,EDE,,125.250,45.775
01/13/2026 18:00:00,01/14/2026 00:00:00,GRDA,,57.028,50.313
01/13/2026 18:00:00,01/14/2026 00:00:00,INDN,,57.900,2.700
01/13/2026 18:00:00,01/14/2026 00:00:00,KACY,,336.300,9.200
01/13/2026 18:00:00,01/14/2026 00:00:00,KCPL,,217.249,358.182
01/13/2026 18:00:00,01/14/2026 00:00:00,LES,,90.566,16.978
01/13/2026 18:00:00,01/14/2026 00:00:00,MPS,,399.208,452.556
01/13/2026 18:00:00,01/14/2026 00:00:00,NPPD,,279.158,747.959
01/13/2026 18:00:00,01/14/2026 00:00:00,OKGE,,432.534,416.836
01/13/2026 18:00:00,01/14/2026 00:00:00,OPPD,,257.413,442.389
01/13/2026 18:00:00,01/14/2026 00:00:00,SECI,,42.655,172.348
01/13/2026 18:00:00,01/14/2026 00:00:00,SPRM,,415.156,6.431
01/13/2026 18:00:00,01/14/2026 00:00:00,SPS,,761.440,63.540
01/13/2026 18:00:00,01/14/2026 00:00:00,WAUE,,336.503,1996.233
01/13/2026 18:00:00,01/14/2026 00:00:00,WFEC,,131.561,172.370
01/13/2026 18:00:00,01/14/2026 00:00:00,WR,,751.100,435.129
01/13/2026 19:00:00,01/14/2026 01:00:00,CSWS,,573.707,275.407
