Interval,GMTIntervalEnd,MOA,Cleared Demand Bid,Cleared Virtual Bid,Cleared Virtual Offer
01/08/2026 01:00:00,01/08/2026 07:00:00,CSWS,,481.866,1049.177
01/08/2026 01:00:00,01/08/2026 07:00:00,EDE,,398.891,332.016
01/08/2026 01:00:00,01/08/2026 07:00:00,GRDA,,174.575,204.334
01/08/2026 01:00:00,01/08/2026 07:00:00,INDN,,10.500,38.998
01/08/2026 01:00:00,01/08/2026 07:00:00,KACY,,78.500,23.813
01/08/2026 01:00:00,01/08/2026 07:00:00,KCPL,,196.247,899.791
01/08/2026 01:00:00,01/08/2026 07:00:00,LES,,22.520,42.300
01/08/2026 01:00:00,01/08/2026 07:00:00,MPS,,99.196,789.993
01/08/2026 01:00:00,01/08/2026 07:00:00,NPPD,,466.732,355.207
01/08/2026 01:00:00,01/08/2026 07:00:00,OKGE,,946.294,2303.645
01/08/2026 01:00:00,01/08/2026 07:00:00,OPPD,,258.178,94.394
01/08/2026 01:00:00,01/08/2026 07:00:00,SECI,,59.924,773.054
01/08/2026 01:00:00,01/08/2026 07:00:00,SPRM,,155.723,140.700
01/08/2026 01:00:00,01/08/2026 07:00:00,SPS,,104.195,338.730
01/08/2026 01:00:00,01/08/2026 07:00:00,WAUE,,621.051,763.345
01/08/2026 01:00:00,01/08/2026 07:00:00,WFEC,,70.665,462.271
01/08/2026 01:00:00,01/08/2026 07:00:00,WR,,350.583,1268.616
01/08/2026 02:00:00,01/08/2026 08:00:00,CSWS,,468.322,1212.249
01/08/2026 02:00:00,01/08/2026 08:00:00,EDE,,268.628,428.439
01/08/2026 02:00:00,01/08/2026 08:00:00,GRDA,,198.991,199.794
01/08/2026 02:00:00,01/08/2026 08:00:00,INDN,,12.100,67.543
01/08/2026 02:00:00,01/08/2026 08:00:00,KACY,,72.400,36.331
01/08/2026 02:00:00,01/08/2026 08:00:00,KCPL,,217.270,910.200
01/08/2026 02:00:00,01/08/2026 08:00:00,LES,,22.100,57.041
01/08/2026 02:00:00,01/08/2026 08:00:00,MPS,,106.734,770.843
01/08/2026 02:00:00,01/08/2026 08:00:00,NPPD,,458.827,437.614
01/08/2026 02:00:00,01/08/2026 08:00:00,OKGE,,941.299,2158.233
01/08/2026 02:00:00,01/08/2026 08:00:00,OPPD,,301.469,96.623
01/08/2026 02:00:00,01/08/2026 08:00:00,SECI,,65.088,723.724
01/08/2026 02:00:00,01/08/2026 08:00:00,SPRM,,179.027,14.800
01/08/2026 02:00:00,01/08/2026 08:00:00,SPS,,95.173,289.965
01/08/2026 02:00:00,01/08/2026 08:00:00,WAUE,,647.647,648.713
01/08/2026 02:00:00,01/08/2026 08:00:00,WFEC,,68.000,390.795
01/08/2026 02:00:00,01/08/2026 08:00:00,WR,,337.928,1146.637
01/08/2026 03:00:00,01/08/2026 09:00:00,CSWS,,454.151,1042.258
01/08/2026 03:00:00,01/08/2026 09:00:00,EDE,,230.246,232.227
01/08/2026 03:00:00,01/08/2026 09:00:00,GRDA,,178.183,192.304
01/08/2026 03:00:00,01/08/2026 09:00:00,INDN,,8.798,68.115
01/08/2026 03:00:00,01/08/2026 09:00:00,KACY,,92.600,33.963
01/08/2026 03:00:00,01/08/2026 09:00:00,KCPL,,198.383,1015.377
01/08/2026 03:00:00,01/08/2026 09:00:00,LES,,30.668,53.209
01/08/2026 03:00:00,01/08/2026 09:00:00,MPS,,104.841,832.925
01/08/2026 03:00:00,01/08/2026 09:00:00,NPPD,,546.250,447.525
01/08/2026 03:00:00,01/08/2026 09:00:00,OKGE,,759.979,1781.399
01/08/2026 03:00:00,01/08/2026 09:00:00,OPPD,,270.137,98.864
01/08/2026 03:00:00,01/08/2026 09:00:00,SECI,,76.724,714.119
01/08/2026 03:00:00,01/08/2026 09:00:00,SPRM,,162.300,25.100
01/08/2026 03:00:00,01/08/2026 09:00:00,SPS,,103.433,297.934
01/08/2026 03:00:00,01/08/2026 09:00:00,WAUE,,617.420,868.514
01/08/2026 03:00:00,01/08/2026 09:00:00,WFEC,,62.700,506.693
01/08/2026 03:00:00,01/08/2026 09:00:00,WR,,377.355,1223.943
01/08/2026 04:00:00,01/08/2026 10:00:00,CSWS,,422.630,936.195
01/08/2026 04:00:00,01/08/2026 10:00:00,EDE,,236.247,322.145
01/08/2026 04:00:00,01/08/2026 10:00:00,GRDA,,89.652,172.150
01/08/2026 04:00:00,01/08/2026 10:00:00,INDN,,10.498,78.327
01/08/2026 04:00:00,01/08/2026 10:00:00,KACY,,86.300,56.795
01/08/2026 04:00:00,01/08/2026 10:00:00,KCPL,,174.150,1083.071
01/08/2026 04:00:00,01/08/2026 10:00:00,LES,,53.317,51.641
01/08/2026 04:00:00,01/08/2026 10:00:00,MPS,,97.177,771.107
01/08/2026 04:00:00,01/08/2026 10:00:00,NPPD,,552.551,541.666
01/08/2026 04:00:00,01/08/2026 10:00:00,OKGE,,658.726,1822.897
01/08/2026 04:00:00,01/08/2026 10:00:00,OPPD,,338.153,135.534
01/08/2026 04:00:00,01/08/2026 10:00:00,SECI,,92.384,676.857
01/08/2026 04:00:00,01/08/2026 10:00:00,SPRM,,150.493,148.380
01/08/2026 04:00:00,01/08/2026 10:00:00,SPS,,109.298,302.116
01/08/2026 04:00:00,01/08/2026 10:00:00,WAUE,,658.054,893.692
01/08/2026 04:00:00,01/08/2026 10:00:00,WFEC,,66.384,460.452
01/08/2026 04:00:00,01/08/2026 10:00:00,WR,,480.370,1135.475
01/08/2026 05:00:00,01/08/2026 11:00:00,CSWS,,296.179,860.374
01/08/2026 05:00:00,01/08/2026 11:00:00,EDE,,180.193,307.090
01/08/2026 05:00:00,01/08/2026 11:00:00,GRDA,,65.233,132.157
01/08/2026 05:00:00,01/08/2026 11:00:00,INDN,,11.098,31.800
01/08/2026 05:00:00,01/08/2026 11:00:00,KACY,,94.200,37.200
01/08/2026 05:00:00,01/08/2026 11:00:00,KCPL,,179.031,886.648
01/08/2026 05:00:00,01/08/2026 11:00:00,LES,,101.143,35.622
01/08/2026 05:00:00,01/08/2026 11:00:00,MPS,,134.824,802.353
01/08/2026 05:00:00,01/08/2026 11:00:00,NPPD,,540.096,461.668
01/08/2026 05:00:00,01/08/2026 11:00:00,OKGE,,527.209,2089.294
01/08/2026 05:00:00,01/08/2026 11:00:00,OPPD,,663.470,69.060
01/08/2026 05:00:00,01/08/2026 11:00:00,SECI,,85.293,630.308
01/08/2026 05:00:00,01/08/2026 11:00:00,SPRM,,177.400,141.300
