Interval,GMTIntervalEnd,MOA,Cleared Demand Bid,Cleared Virtual Bid,Cleared Virtual Offer
01/28/2026 01:00:00,01/28/2026 07:00:00,CSWS,,141.407,247.490
01/28/2026 01:00:00,01/28/2026 07:00:00,EDE,,33.700,140.516
01/28/2026 01:00:00,01/28/2026 07:00:00,GRDA,,9.294,69.635
01/28/2026 01:00:00,01/28/2026 07:00:00,INDN,,3.500,12.500
01/28/2026 01:00:00,01/28/2026 07:00:00,KACY,,0.900,32.900
01/28/2026 01:00:00,01/28/2026 07:00:00,KCPL,,14.006,252.133
01/28/2026 01:00:00,01/28/2026 07:00:00,LES,,0.000,105.503
01/28/2026 01:00:00,01/28/2026 07:00:00,MPS,,16.994,202.425
01/28/2026 01:00:00,01/28/2026 07:00:00,NPPD,,104.465,296.872
01/28/2026 01:00:00,01/28/2026 07:00:00,OKGE,,168.480,642.138
01/28/2026 01:00:00,01/28/2026 07:00:00,OPPD,,12.000,372.525
01/28/2026 01:00:00,01/28/2026 07:00:00,SECI,,7.701,156.685
01/28/2026 01:00:00,01/28/2026 07:00:00,SPRM,,221.052,10.500
01/28/2026 01:00:00,01/28/2026 07:00:00,SPS,,8.498,161.848
01/28/2026 01:00:00,01/28/2026 07:00:00,WAUE,,66.600,464.694
01/28/2026 01:00:00,01/28/2026 07:00:00,WFEC,,26.522,246.323
01/28/2026 01:00:00,01/28/2026 07:00:00,WR,,152.062,316.025
01/28/2026 02:00:00,01/28/2026 08:00:00,CSWS,,145.739,236.757
01/28/2026 02:00:00,01/28/2026 08:00:00,EDE,,43.300,133.064
01/28/2026 02:00:00,01/28/2026 08:00:00,GRDA,,9.001,54.732
01/28/2026 02:00:00,01/28/2026 08:00:00,INDN,,4.700,9.000
01/28/2026 02:00:00,01/28/2026 08:00:00,KACY,,1.300,23.400
01/28/2026 02:00:00,01/28/2026 08:00:00,KCPL,,80.708,224.647
01/28/2026 02:00:00,01/28/2026 08:00:00,LES,,0.000,65.232
01/28/2026 02:00:00,01/28/2026 08:00:00,MPS,,16.696,222.824
01/28/2026 02:00:00,01/28/2026 08:00:00,NPPD,,105.045,281.037
01/28/2026 02:00:00,01/28/2026 08:00:00,OKGE,,152.669,635.356
01/28/2026 02:00:00,01/28/2026 08:00:00,OPPD,,12.000,342.356
01/28/2026 02:00:00,01/28/2026 08:00:00,SECI,,7.916,184.674
01/28/2026 02:00:00,01/28/2026 08:00:00,SPRM,,218.979,10.700
01/28/2026 02:00:00,01/28/2026 08:00:00,SPS,,6.098,122.401
01/28/2026 02:00:00,01/28/2026 08:00:00,WAUE,,76.700,507.140
01/28/2026 02:00:00,01/28/2026 08:00:00,WFEC,,29.616,251.257
01/28/2026 02:00:00,01/28/2026 08:00:00,WR,,170.412,257.309
01/28/2026 03:00:00,01/28/2026 09:00:00,CSWS,,158.975,212.519
