Interval,GMTIntervalEnd,MOA,Cleared Demand Bid,Cleared Virtual Bid,Cleared Virtual Offer
01/24/2026 01:00:00,01/24/2026 07:00:00,CSWS,,170.885,128.103
01/24/2026 01:00:00,01/24/2026 07:00:00,EDE,,141.876,25.184
01/24/2026 01:00:00,01/24/2026 07:00:00,GRDA,,11.639,12.748
01/24/2026 01:00:00,01/24/2026 07:00:00,INDN,,1.200,7.672
01/24/2026 01:00:00,01/24/2026 07:00:00,KACY,,54.500,5.100
01/24/2026 01:00:00,01/24/2026 07:00:00,KCPL,,116.633,104.554
01/24/2026 01:00:00,01/24/2026 07:00:00,LES,,26.660,47.830
01/24/2026 01:00:00,01/24/2026 07:00:00,MPS,,46.405,110.344
01/24/2026 01:00:00,01/24/2026 07:00:00,NPPD,,82.492,67.879
01/24/2026 01:00:00,01/24/2026 07:00:00,OKGE,,353.644,315.400
01/24/2026 01:00:00,01/24/2026 07:00:00,OPPD,,244.694,81.208
01/24/2026 01:00:00,01/24/2026 07:00:00,SECI,,0.111,63.493
01/24/2026 01:00:00,01/24/2026 07:00:00,SPRM,,397.957,12.800
01/24/2026 01:00:00,01/24/2026 07:00:00,SPS,,236.718,50.678
01/24/2026 01:00:00,01/24/2026 07:00:00,WAUE,,255.560,106.200
01/24/2026 01:00:00,01/24/2026 07:00:00,WFEC,,97.726,46.514
01/24/2026 01:00:00,01/24/2026 07:00:00,WR,,99.703,179.398
01/24/2026 02:00:00,01/24/2026 08:00:00,CSWS,,170.420,125.535
01/24/2026 02:00:00,01/24/2026 08:00:00,EDE,,247.932,19.866
01/24/2026 02:00:00,01/24/2026 08:00:00,GRDA,,16.643,90.206
01/24/2026 02:00:00,01/24/2026 08:00:00,INDN,,1.000,4.572
01/24/2026 02:00:00,01/24/2026 08:00:00,KACY,,95.400,1.900
01/24/2026 02:00:00,01/24/2026 08:00:00,KCPL,,111.560,105.117
01/24/2026 02:00:00,01/24/2026 08:00:00,LES,,28.058,4.156
01/24/2026 02:00:00,01/24/2026 08:00:00,MPS,,64.270,119.880
01/24/2026 02:00:00,01/24/2026 08:00:00,NPPD,,80.418,47.270
01/24/2026 02:00:00,01/24/2026 08:00:00,OKGE,,353.291,421.396
01/24/2026 02:00:00,01/24/2026 08:00:00,OPPD,,235.198,17.186
01/24/2026 02:00:00,01/24/2026 08:00:00,SECI,,0.088,76.019
01/24/2026 02:00:00,01/24/2026 08:00:00,SPRM,,427.544,13.100
01/24/2026 02:00:00,01/24/2026 08:00:00,SPS,,252.697,50.775
01/24/2026 02:00:00,01/24/2026 08:00:00,WAUE,,257.319,30.870
01/24/2026 02:00:00,01/24/2026 08:00:00,WFEC,,99.137,44.045
01/24/2026 02:00:00,01/24/2026 08:00:00,WR,,60.968,301.605
01/24/2026 03:00:00,01/24/2026 09:00:00,CSWS,,182.066,124.972
01/24/2026 03:00:00,01/24/2026 09:00:00,EDE,,260.047,18.309
01/24/2026 03:00:00,01/24/2026 09:00:00,GRDA,,11.832,13.281
01/24/2026 03:00:00,01/24/2026 09:00:00,INDN,,0.500,8.872
01/24/2026 03:00:00,01/24/2026 09:00:00,KACY,,48.200,1.200
01/24/2026 03:00:00,01/24/2026 09:00:00,KCPL,,127.237,96.548
01/24/2026 03:00:00,01/24/2026 09:00:00,LES,,25.108,1.994
01/24/2026 03:00:00,01/24/2026 09:00:00,MPS,,58.669,116.885
01/24/2026 03:00:00,01/24/2026 09:00:00,NPPD,,74.792,44.241
01/24/2026 03:00:00,01/24/2026 09:00:00,OKGE,,349.904,357.689
01/24/2026 03:00:00,01/24/2026 09:00:00,OPPD,,211.043,17.188
01/24/2026 03:00:00,01/24/2026 09:00:00,SECI,,0.219,38.176
01/24/2026 03:00:00,01/24/2026 09:00:00,SPRM,,430.798,13.500
01/24/2026 03:00:00,01/24/2026 09:00:00,SPS,,228.094,45.382
01/24/2026 03:00:00,01/24/2026 09:00:00,WAUE,,243.340,28.620
01/24/2026 03:00:00,01/24/2026 09:00:00,WFEC,,111.781,37.459
01/24/2026 03:00:00,01/24/2026 09:00:00,WR,,82.212,280.169
01/24/2026 04:00:00,01/24/2026 10:00:00,CSWS,,186.239,122.410
01/24/2026 04:00:00,01/24/2026 10:00:00,EDE,,276.599,22.424
01/24/2026 04:00:00,01/24/2026 10:00:00,GRDA,,21.563,11.865
01/24/2026 04:00:00,01/24/2026 10:00:00,INDN,,20.800,13.172
01/24/2026 04:00:00,01/24/2026 10:00:00,KACY,,47.600,1.300
01/24/2026 04:00:00,01/24/2026 10:00:00,KCPL,,133.164,94.205
01/24/2026 04:00:00,01/24/2026 10:00:00,LES,,27.972,5.940
01/24/2026 04:00:00,01/24/2026 10:00:00,MPS,,55.482,108.706
01/24/2026 04:00:00,01/24/2026 10:00:00,NPPD,,73.655,41.920
01/24/2026 04:00:00,01/24/2026 10:00:00,OKGE,,347.972,331.030
01/24/2026 04:00:00,01/24/2026 10:00:00,OPPD,,210.459,20.260
01/24/2026 04:00:00,01/24/2026 10:00:00,SECI,,0.872,32.056
01/24/2026 04:00:00,01/24/2026 10:00:00,SPRM,,430.498,15.200
01/24/2026 04:00:00,01/24/2026 10:00:00,SPS,,227.815,47.793
01/24/2026 04:00:00,01/24/2026 10:00:00,WAUE,,478.186,32.020
01/24/2026 04:00:00,01/24/2026 10:00:00,WFEC,,95.533,36.630
01/24/2026 04:00:00,01/24/2026 10:00:00,WR,,92.092,446.146
01/24/2026 05:00:00,01/24/2026 11:00:00,CSWS,,163.091,118.921
01/24/2026 05:00:00,01/24/2026 11:00:00,EDE,,250.519,23.516
01/24/2026 05:00:00,01/24/2026 11:00:00,GRDA,,11.497,11.694
01/24/2026 05:00:00,01/24/2026 11:00:00,INDN,,7.000,7.072
01/24/2026 05:00:00,01/24/2026 11:00:00,KACY,,48.600,6.000
01/24/2026 05:00:00,01/24/2026 11:00:00,KCPL,,132.442,95.128
01/24/2026 05:00:00,01/24/2026 11:00:00,LES,,28.329,6.129
01/24/2026 05:00:00,01/24/2026 11:00:00,MPS,,66.640,108.647
01/24/2026 05:00:00,01/24/2026 11:00:00,NPPD,,72.354,33.163
01/24/2026 05:00:00,01/24/2026 11:00:00,OKGE,,300.149,351.476
01/24/2026 05:00:00,01/24/2026 11:00:00,OPPD,,253.995,16.191
01/24/2026 05:00:00,01/24/2026 11:00:00,SECI,,0.426,49.561
01/24/2026 05:00:00,01/24/2026 11:00:00,SPRM,,473.606,15.200
01/24/2026 05:00:00,01/24/2026 11:00:00,SPS,,194.800,52.220
01/24/2026 05:00:00,01/24/2026 11:00:00,WAUE,,698.347,17.758
01/24/2026 05:00:00,01/24/2026 11:00:00,WFEC,,82.863,37.914
01/24/2026 05:00:00,01/24/2026 11:00:00,WR,,66.276,256.647
01/24/2026 06:00:00,01/24/2026 12:00:00,CSWS,,223.350,107.859
01/24/2026 06:00:00,01/24/2026 12:00:00,EDE,,259.285,18.971
01/24/2026 06:00:00,01/24/2026 12:00:00,GRDA,,11.548,61.006
01/24/2026 06:00:00,01/24/2026 12:00:00,INDN,,21.800,5.372
01/24/2026 06:00:00,01/24/2026 12:00:00,KACY,,70.123,2.700
01/24/2026 06:00:00,01/24/2026 12:00:00,KCPL,,137.197,90.548
01/24/2026 06:00:00,01/24/2026 12:00:00,LES,,25.838,6.369
01/24/2026 06:00:00,01/24/2026 12:00:00,MPS,,65.806,108.113
01/24/2026 06:00:00,01/24/2026 12:00:00,NPPD,,99.539,25.179
01/24/2026 06:00:00,01/24/2026 12:00:00,OKGE,,340.899,309.477
01/24/2026 06:00:00,01/24/2026 12:00:00,OPPD,,251.783,10.152
01/24/2026 06:00:00,01/24/2026 12:00:00,SECI,,0.520,18.600
01/24/2026 06:00:00,01/24/2026 12:00:00,SPRM,,510.551,25.000
01/24/2026 06:00:00,01/24/2026 12:00:00,SPS,,213.236,42.281
01/24/2026 06:00:00,01/24/2026 12:00:00,WAUE,,422.279,13.332
01/24/2026 06:00:00,01/24/2026 12:00:00,WFEC,,91.555,29.727
01/24/2026 06:00:00,01/24/2026 12:00:00,WR,,90.080,260.779
01/24/2026 07:00:00,01/24/2026 13:00:00,CSWS,,256.402,83.976
01/24/2026 07:00:00,01/24/2026 13:00:00,EDE,,292.614,15.171
01/24/2026 07:00:00,01/24/2026 13:00:00,GRDA,,14.736,89.010
01/24/2026 07:00:00,01/24/2026 13:00:00,INDN,,11.480,2.900
01/24/2026 07:00:00,01/24/2026 13:00:00,KACY,,161.048,3.500
01/24/2026 07:00:00,01/24/2026 13:00:00,KCPL,,138.592,59.633
01/24/2026 07:00:00,01/24/2026 13:00:00,LES,,34.667,4.171
01/24/2026 07:00:00,01/24/2026 13:00:00,MPS,,114.483,109.601
01/24/2026 07:00:00,01/24/2026 13:00:00,NPPD,,153.924,25.115
