Interval,GMTIntervalEnd,MOA,Cleared Demand Bid,Cleared Virtual Bid,Cleared Virtual Offer
01/16/2026 01:00:00,01/16/2026 07:00:00,CSWS,,767.645,499.162
01/16/2026 01:00:00,01/16/2026 07:00:00,EDE,,572.227,180.887
01/16/2026 01:00:00,01/16/2026 07:00:00,GRDA,,249.023,57.351
01/16/2026 01:00:00,01/16/2026 07:00:00,INDN,,34.700,26.300
01/16/2026 01:00:00,01/16/2026 07:00:00,KACY,,164.492,48.173
01/16/2026 01:00:00,01/16/2026 07:00:00,KCPL,,427.407,675.188
01/16/2026 01:00:00,01/16/2026 07:00:00,LES,,37.280,70.473
01/16/2026 01:00:00,01/16/2026 07:00:00,MPS,,230.827,428.556
01/16/2026 01:00:00,01/16/2026 07:00:00,NPPD,,203.645,1045.322
01/16/2026 01:00:00,01/16/2026 07:00:00,OKGE,,740.257,1845.597
01/16/2026 01:00:00,01/16/2026 07:00:00,OPPD,,160.459,644.116
01/16/2026 01:00:00,01/16/2026 07:00:00,SECI,,35.393,758.396
01/16/2026 01:00:00,01/16/2026 07:00:00,SPRM,,461.420,0.400
01/16/2026 01:00:00,01/16/2026 07:00:00,SPS,,525.466,349.255
01/16/2026 01:00:00,01/16/2026 07:00:00,WAUE,,767.043,1117.390
01/16/2026 01:00:00,01/16/2026 07:00:00,WFEC,,153.409,338.222
01/16/2026 01:00:00,01/16/2026 07:00:00,WR,,1057.807,1334.621
01/16/2026 02:00:00,01/16/2026 08:00:00,CSWS,,791.123,681.219
01/16/2026 02:00:00,01/16/2026 08:00:00,EDE,,492.464,261.806
01/16/2026 02:00:00,01/16/2026 08:00:00,GRDA,,242.771,84.547
01/16/2026 02:00:00,01/16/2026 08:00:00,INDN,,9.800,29.400
01/16/2026 02:00:00,01/16/2026 08:00:00,KACY,,193.100,23.473
01/16/2026 02:00:00,01/16/2026 08:00:00,KCPL,,205.298,604.333
01/16/2026 02:00:00,01/16/2026 08:00:00,LES,,29.244,70.382
01/16/2026 02:00:00,01/16/2026 08:00:00,MPS,,228.217,374.688
01/16/2026 02:00:00,01/16/2026 08:00:00,NPPD,,144.450,861.055
01/16/2026 02:00:00,01/16/2026 08:00:00,OKGE,,535.606,1643.823
01/16/2026 02:00:00,01/16/2026 08:00:00,OPPD,,203.960,547.922
01/16/2026 02:00:00,01/16/2026 08:00:00,SECI,,15.069,980.364
01/16/2026 02:00:00,01/16/2026 08:00:00,SPRM,,457.924,0.682
01/16/2026 02:00:00,01/16/2026 08:00:00,SPS,,230.144,326.299
