Interval,GMTIntervalEnd,MOA,Cleared Demand Bid,Cleared Virtual Bid,Cleared Virtual Offer
01/12/2026 01:00:00,01/12/2026 07:00:00,CSWS,,669.791,733.948
01/12/2026 01:00:00,01/12/2026 07:00:00,EDE,,373.926,468.607
01/12/2026 01:00:00,01/12/2026 07:00:00,GRDA,,64.218,109.408
01/12/2026 01:00:00,01/12/2026 07:00:00,INDN,,9.147,43.400
01/12/2026 01:00:00,01/12/2026 07:00:00,KACY,,59.884,23.900
01/12/2026 01:00:00,01/12/2026 07:00:00,KCPL,,143.356,754.679
01/12/2026 01:00:00,01/12/2026 07:00:00,LES,,11.041,62.902
01/12/2026 01:00:00,01/12/2026 07:00:00,MPS,,38.366,675.347
01/12/2026 01:00:00,01/12/2026 07:00:00,NPPD,,120.205,523.676
01/12/2026 01:00:00,01/12/2026 07:00:00,OKGE,,731.616,2728.601
01/12/2026 01:00:00,01/12/2026 07:00:00,OPPD,,152.754,315.959
01/12/2026 01:00:00,01/12/2026 07:00:00,SECI,,36.884,1032.257
01/12/2026 01:00:00,01/12/2026 07:00:00,SPRM,,374.467,10.575
01/12/2026 01:00:00,01/12/2026 07:00:00,SPS,,396.744,794.325
01/12/2026 01:00:00,01/12/2026 07:00:00,WAUE,,289.858,1115.513
01/12/2026 01:00:00,01/12/2026 07:00:00,WFEC,,97.211,509.053
01/12/2026 01:00:00,01/12/2026 07:00:00,WR,,657.327,1605.726
01/12/2026 02:00:00,01/12/2026 08:00:00,CSWS,,656.855,734.037
01/12/2026 02:00:00,01/12/2026 08:00:00,EDE,,377.774,460.905
01/12/2026 02:00:00,01/12/2026 08:00:00,GRDA,,65.611,98.945
01/12/2026 02:00:00,01/12/2026 08:00:00,INDN,,8.847,41.200
01/12/2026 02:00:00,01/12/2026 08:00:00,KACY,,75.431,3.700
01/12/2026 02:00:00,01/12/2026 08:00:00,KCPL,,161.798,698.608
01/12/2026 02:00:00,01/12/2026 08:00:00,LES,,9.751,43.153
01/12/2026 02:00:00,01/12/2026 08:00:00,MPS,,38.977,638.519
01/12/2026 02:00:00,01/12/2026 08:00:00,NPPD,,114.814,463.411
01/12/2026 02:00:00,01/12/2026 08:00:00,OKGE,,728.327,2783.887
01/12/2026 02:00:00,01/12/2026 08:00:00,OPPD,,146.235,238.571
01/12/2026 02:00:00,01/12/2026 08:00:00,SECI,,35.140,876.349
01/12/2026 02:00:00,01/12/2026 08:00:00,SPRM,,370.691,4.992
01/12/2026 02:00:00,01/12/2026 08:00:00,SPS,,370.026,726.460
01/12/2026 02:00:00,01/12/2026 08:00:00,WAUE,,199.296,1096.710
01/12/2026 02:00:00,01/12/2026 08:00:00,WFEC,,86.038,569.929
01/12/2026 02:00:00,01/12/2026 08:00:00,WR,,634.816,1481.418
01/12/2026 03:00:00,01/12/2026 09:00:00,CSWS,,638.950,667.214
01/12/2026 03:00:00,01/12/2026 09:00:00,EDE,,412.897,485.653
01/12/2026 03:00:00,01/12/2026 09:00:00,GRDA,,66.487,111.748
01/12/2026 03:00:00,01/12/2026 09:00:00,INDN,,0.400,28.300
01/12/2026 03:00:00,01/12/2026 09:00:00,KACY,,80.309,3.300
01/12/2026 03:00:00,01/12/2026 09:00:00,KCPL,,144.167,649.429
01/12/2026 03:00:00,01/12/2026 09:00:00,LES,,9.569,35.194
01/12/2026 03:00:00,01/12/2026 09:00:00,MPS,,28.214,550.769
01/12/2026 03:00:00,01/12/2026 09:00:00,NPPD,,152.569,457.129
01/12/2026 03:00:00,01/12/2026 09:00:00,OKGE,,701.528,2589.756
01/12/2026 03:00:00,01/12/2026 09:00:00,OPPD,,150.099,163.169
01/12/2026 03:00:00,01/12/2026 09:00:00,SECI,,23.925,837.022
01/12/2026 03:00:00,01/12/2026 09:00:00,SPRM,,346.336,1.206
01/12/2026 03:00:00,01/12/2026 09:00:00,SPS,,392.431,570.556
01/12/2026 03:00:00,01/12/2026 09:00:00,WAUE,,224.403,1052.109
01/12/2026 03:00:00,01/12/2026 09:00:00,WFEC,,85.816,512.933
01/12/2026 03:00:00,01/12/2026 09:00:00,WR,,562.250,1350.661
01/12/2026 04:00:00,01/12/2026 10:00:00,CSWS,,731.903,593.248
01/12/2026 04:00:00,01/12/2026 10:00:00,EDE,,392.715,437.860
01/12/2026 04:00:00,01/12/2026 10:00:00,GRDA,,80.969,106.282
01/12/2026 04:00:00,01/12/2026 10:00:00,INDN,,3.800,35.100
01/12/2026 04:00:00,01/12/2026 10:00:00,KACY,,78.585,11.000
01/12/2026 04:00:00,01/12/2026 10:00:00,KCPL,,171.841,538.989
01/12/2026 04:00:00,01/12/2026 10:00:00,LES,,11.319,34.968
01/12/2026 04:00:00,01/12/2026 10:00:00,MPS,,32.046,489.872
01/12/2026 04:00:00,01/12/2026 10:00:00,NPPD,,104.674,337.714
01/12/2026 04:00:00,01/12/2026 10:00:00,OKGE,,669.293,2295.777
01/12/2026 04:00:00,01/12/2026 10:00:00,OPPD,,143.425,160.888
01/12/2026 04:00:00,01/12/2026 10:00:00,SECI,,23.831,647.532
01/12/2026 04:00:00,01/12/2026 10:00:00,SPRM,,281.935,8.317
01/12/2026 04:00:00,01/12/2026 10:00:00,SPS,,400.562,359.526
01/12/2026 04:00:00,01/12/2026 10:00:00,WAUE,,283.646,1313.229
01/12/2026 04:00:00,01/12/2026 10:00:00,WFEC,,59.142,464.453
01/12/2026 04:00:00,01/12/2026 10:00:00,WR,,515.082,1277.074
01/12/2026 05:00:00,01/12/2026 11:00:00,CSWS,,860.585,561.350
01/12/2026 05:00:00,01/12/2026 11:00:00,EDE,,406.325,425.253
01/12/2026 05:00:00,01/12/2026 11:00:00,GRDA,,46.274,87.786
01/12/2026 05:00:00,01/12/2026 11:00:00,INDN,,6.600,31.900
01/12/2026 05:00:00,01/12/2026 11:00:00,KACY,,100.976,5.400
01/12/2026 05:00:00,01/12/2026 11:00:00,KCPL,,113.659,587.459
01/12/2026 05:00:00,01/12/2026 11:00:00,LES,,44.241,32.156
01/12/2026 05:00:00,01/12/2026 11:00:00,MPS,,106.246,493.433
01/12/2026 05:00:00,01/12/2026 11:00:00,NPPD,,125.918,311.804
01/12/2026 05:00:00,01/12/2026 11:00:00,OKGE,,648.373,2174.733
