Interval,GMTIntervalEnd,Generation,Cleared DR, Cleared Demand Bid,Cleared Fixed Demand Bid,Cleared Virtual Bid, Cleared Virtual Offer,Total Demand,NSI,SMP,Min LMP,Max LMP,RegUP,RegDN,RampUP,RampDN,UncUP,Spin,Supp,Capacity Available, Fixed Obligation, Net Capacity, Curtailed Fixed Demand Bid
01/28/2026 01:00:00,01/28/2026 07:00:00,35634.874,334.700,11.850,37288.672,1147.081,3996.843,38447.6,217.770,247.003,-57.195,650.243,422,421,232,586,224,631,703,53320,37613,15707,0
01/28/2026 02:00:00,01/28/2026 08:00:00,36060.974,334.700,11.560,37153.313,1337.333,3863.063,38502.2,517.777,253.548,-96.018,734.085,355,411,323,416,400,703,703,53712,37756,15956,0
01/28/2026 03:00:00,01/28/2026 09:00:00,36163.275,334.700,11.960,37125.295,1513.209,3936.422,38650.5,469.829,238.962,-92.719,700.687,475,415,564,506,511,595,703,54091,37784,16307,0
01/28/2026 04:00:00,01/28/2026 10:00:00,36125.990,210.700,11.950,37324.387,1525.522,3946.496,38861.9,221.861,236.900,-95.848,701.155,482,414,532,374,1003,601,703,54528,37733,16794,0
01/28/2026 05:00:00,01/28/2026 11:00:00,36717.426,222.700,12.020,37827.771,1734.082,3960.728,39573.9,256.711,240.346,-94.802,706.871,406,408,685,265,1509,703,703,54826,38165,16661,0
01/28/2026 06:00:00,01/28/2026 12:00:00,37979.823,346.700,84.720,38966.389,1548.576,3604.899,40599.7,118.624,290.133,-115.030,857.070,444,412,958,200,2030,703,703,55119,39161,15957,0
01/28/2026 07:00:00,01/28/2026 13:00:00,39318.202,346.700,85.380,40715.198,1166.709,3624.846,41967.3,-84.078,334.313,-132.288,979.788,483,422,993,200,1931,703,703,55196,40857,14339,0
01/28/2026 08:00:00,01/28/2026 14:00:00,39666.636,346.700,10.000,41791.940,1181.810,4370.936,42983.8,-31.485,370.508,-114.549,1074.193,463,436,694,486,14,703,703,55447,41998,13449,0
01/28/2026 09:00:00,01/28/2026 15:00:00,39274.082,345.700,86.000,41295.069,1143.443,4475.265,42524.5,150.617,332.232,-124.710,972.761,418,478,314,651,0,703,703,55257,41657,13600,0
01/28/2026 10:00:00,01/28/2026 16:00:00,39928.616,342.600,114.500,40081.560,1500.615,3343.678,41696.7,645.642,254.877,-129.434,832.803,545,459,612,517,1104,601,685,55541,40710,14831,0
01/28/2026 11:00:00,01/28/2026 17:00:00,38499.499,342.700,129.500,38786.050,1246.054,3032.744,40161.6,420.224,224.435,-89.485,699.268,592,435,499,547,996,617,703,54680,39401,15279,0
01/28/2026 12:00:00,01/28/2026 18:00:00,37392.207,342.900,127.100,37519.619,1294.651,3129.319,38941.4,398.035,198.026,-78.880,601.090,595,416,412,779,150,576,703,53849,38364,15485,0
01/28/2026 13:00:00,01/28/2026 19:00:00,35773.883,342.700,71.700,36579.285,1272.725,3764.886,37923.7,519.943,171.375,-65.689,524.408,441,393,200,800,0,629,703,54028,37445,16583,0
01/28/2026 14:00:00,01/28/2026 20:00:00,34969.396,342.700,72.600,35730.295,1347.420,3916.264,37150.3,704.692,133.329,-48.146,403.684,385,460,200,828,0,668,703,55323,36654,18669,0
01/28/2026 15:00:00,01/28/2026 21:00:00,34521.617,280.183,67.050,35164.553,1586.386,4055.631,36818.0,784.943,123.879,-44.515,379.749,426,516,200,855,0,633,703,56255,36104,20151,0
01/28/2026 16:00:00,01/28/2026 22:00:00,34772.246,271.800,82.780,34640.141,1814.155,3827.337,36537.1,1157.384,107.762,-38.540,333.508,471,514,208,705,0,598,703,57472,35483,21989,0
01/28/2026 17:00:00,01/28/2026 23:00:00,35450.294,271.800,47.510,35086.825,2208.425,3970.397,37342.8,1386.651,121.606,-38.835,379.432,499,474,458,483,0,598,703,58737,35936,22801,0
01/28/2026 18:00:00,01/29/2026 00:00:00,36786.920,328.876,47.670,36368.166,2243.509,4179.842,38659.3,1645.764,156.345,-60.215,500.569,632,510,746,553,0,521,703,59211,37528,21683,0
01/28/2026 19:00:00,01/29/2026 01:00:00,37716.748,301.400,47.880,37773.415,2324.779,4840.527,40146.1,1483.236,154.801,-112.991,619.148,514,601,316,708,0,673,703,61172,38961,22211,0
01/28/2026 20:00:00,01/29/2026 02:00:00,37328.173,299.900,47.510,37948.608,2653.189,6059.294,40649.3,1726.537,136.144,-97.244,531.672,534,581,202,612,71,630,703,62705,39207,23499,0
01/28/2026 21:00:00,01/29/2026 03:00:00,37522.574,299.900,47.260,37860.407,2770.169,5848.769,40677.8,1917.551,132.259,-96.192,509.853,538,523,200,584,0,616,703,63328,39077,24250,0
01/28/2026 22:00:00,01/29/2026 04:00:00,36663.274,270.042,31.710,37387.143,2695.702,6005.632,40114.6,1788.239,123.539,-92.191,477.988,481,501,214,546,0,670,703,63629,38585,25043,0
01/28/2026 23:00:00,01/29/2026 05:00:00,36139.679,144.217,30.840,36473.702,3243.400,5826.698,39747.9,1750.345,127.583,-111.024,519.480,511,479,234,620,0,641,703,63662,37314,26348,0
01/29/2026 00:00:00,01/29/2026 06:00:00,35515.731,175.800,49.620,35770.645,3573.214,5560.318,39393.5,1695.898,103.604,-66.967,352.880,541,462,308,456,279,616,703,63057,36160,26897,0
