Interval,GMTIntervalEnd,Generation,Cleared DR, Cleared Demand Bid,Cleared Fixed Demand Bid,Cleared Virtual Bid, Cleared Virtual Offer,Total Demand,NSI,SMP,Min LMP,Max LMP,RegUP,RegDN,RampUP,RampDN,UncUP,Spin,Supp,Capacity Available, Fixed Obligation, Net Capacity, Curtailed Fixed Demand Bid
01/27/2026 01:00:00,01/27/2026 07:00:00,39857.589,311.400,49.730,39146.842,2984.482,4059.860,42181.1,1008.130,93.635,-118.323,619.053,555,506,493,440,1434,660,703,65313,39477,25835,0
01/27/2026 02:00:00,01/27/2026 08:00:00,39816.368,297.841,49.600,38966.801,2922.635,3803.748,41939.0,990.897,94.480,-111.629,458.235,620,480,582,200,1599,633,703,64403,39280,25123,0
01/27/2026 03:00:00,01/27/2026 09:00:00,39827.347,190.500,49.600,38939.263,2820.978,3765.349,41809.8,1053.153,107.855,-131.822,527.404,626,468,803,247,1644,628,703,63473,39361,24112,0
01/27/2026 04:00:00,01/27/2026 10:00:00,39801.038,198.400,50.460,39087.632,2697.066,3591.962,41835.2,897.859,114.296,-108.098,526.076,741,462,747,200,1949,507,703,62286,39308,22978,0
01/27/2026 05:00:00,01/27/2026 11:00:00,40446.623,329.500,50.900,39722.709,2646.150,3449.991,42419.8,1006.049,132.997,-117.001,598.978,775,459,897,200,1624,492,703,61437,39846,21591,0
01/27/2026 06:00:00,01/27/2026 12:00:00,41439.146,341.500,107.120,40706.226,2640.452,2888.219,43453.8,510.297,167.865,-63.927,540.472,602,460,945,200,2273,698,703,60234,40464,19770,0
01/27/2026 07:00:00,01/27/2026 13:00:00,43004.321,341.500,154.090,42576.774,1970.268,2642.414,44701.1,306.072,251.562,-104.629,815.603,656,465,887,200,2602,678,703,58957,42127,16830,0
01/27/2026 08:00:00,01/27/2026 14:00:00,43371.362,341.500,138.100,43420.032,1706.624,2861.365,45264.8,242.515,279.804,-156.779,1106.881,771,461,904,200,1922,547,703,58061,43021,15040,0
01/27/2026 09:00:00,01/27/2026 15:00:00,42389.603,341.500,137.900,42964.796,1231.657,2733.685,44334.4,-178.954,296.379,-2.544,1307.707,754,462,671,340,1538,520,703,56858,42514,14345,0
01/27/2026 10:00:00,01/27/2026 16:00:00,41799.959,341.500,137.900,41658.162,1103.725,1828.325,42899.8,-207.953,299.274,10.882,903.970,646,467,672,206,1836,633,703,55899,41256,14643,0
01/27/2026 11:00:00,01/27/2026 17:00:00,40332.178,341.900,126.632,40519.317,913.076,1957.782,41559.0,-169.202,311.674,50.899,689.084,618,438,581,452,1414,658,703,54075,40225,13850,0
01/27/2026 12:00:00,01/27/2026 18:00:00,38874.965,342.100,127.723,39484.430,918.899,2543.199,40531.1,53.421,304.657,28.949,773.611,542,414,508,645,854,658,703,52842,39376,13466,0
01/27/2026 13:00:00,01/27/2026 19:00:00,37134.612,342.100,78.600,38483.068,985.739,3242.889,39547.4,85.737,264.529,28.949,534.307,509,395,328,526,1138,623,703,51898,38334,13564,0
01/27/2026 14:00:00,01/27/2026 20:00:00,36522.102,342.100,78.400,37779.907,1045.983,3246.866,38904.3,158.301,249.200,28.949,368.684,429,373,307,500,549,662,703,51569,37690,13879,0
01/27/2026 15:00:00,01/27/2026 21:00:00,36084.367,342.100,78.300,37123.779,1208.150,3147.441,38410.2,163.450,237.452,28.949,430.358,378,365,276,527,439,683,703,51247,37034,14213,0
01/27/2026 16:00:00,01/27/2026 22:00:00,35870.877,342.100,76.360,36849.111,1290.222,3024.175,38215.7,222.227,227.473,28.949,292.244,401,351,486,402,1093,650,703,51143,36640,14503,0
01/27/2026 17:00:00,01/27/2026 23:00:00,36485.413,341.900,65.024,37125.570,1265.935,2626.302,38456.5,298.989,282.515,44.949,342.534,489,334,695,205,1218,599,703,50915,36907,14009,0
01/27/2026 18:00:00,01/28/2026 00:00:00,38061.778,342.100,33.011,38610.646,1087.132,2242.382,39730.8,206.684,334.806,89.230,391.868,456,342,700,240,1458,678,703,50743,38361,12382,0
01/27/2026 19:00:00,01/28/2026 01:00:00,39381.854,342.100,1.500,40138.380,1057.106,2344.484,41197.0,126.020,380.646,86.800,437.443,433,378,457,495,582,681,703,50892,39837,11054,0
01/27/2026 20:00:00,01/28/2026 02:00:00,39081.208,342.000,11.500,40393.993,1074.097,2803.735,41479.6,-4.635,346.235,28.949,401.269,398,393,350,421,694,681,703,51083,39949,11134,0
01/27/2026 21:00:00,01/28/2026 03:00:00,38882.931,342.100,11.390,40208.862,1079.834,2782.794,41300.1,-63.217,338.536,28.949,395.014,366,382,302,525,25,703,703,51314,39723,11591,0
01/27/2026 22:00:00,01/28/2026 04:00:00,37959.505,342.100,11.190,39839.080,955.629,3187.886,40805.9,-164.022,312.674,28.949,365.575,426,387,252,542,259,636,703,51366,39331,12035,0
01/27/2026 23:00:00,01/28/2026 05:00:00,37655.488,342.100,41.366,39118.743,613.258,2946.690,39773.4,124.670,321.654,28.949,416.678,420,396,200,667,0,636,703,51177,39095,12083,0
01/28/2026 00:00:00,01/28/2026 06:00:00,37050.019,337.000,69.380,38396.960,811.922,3088.104,39278.3,299.834,260.145,-40.060,753.848,375,411,274,565,0,678,703,51770,38386,13384,0
