Interval,GMTIntervalEnd,Generation,Cleared DR, Cleared Demand Bid,Cleared Fixed Demand Bid,Cleared Virtual Bid, Cleared Virtual Offer,Total Demand,NSI,SMP,Min LMP,Max LMP,RegUP,RegDN,RampUP,RampDN,UncUP,Spin,Supp,Capacity Available, Fixed Obligation, Net Capacity, Curtailed Fixed Demand Bid
01/06/2026 01:00:00,01/06/2026 07:00:00,27078.460,0.000,29.700,27447.959,6560.682,8694.996,34038.3,1276.583,16.069,-70.559,82.626,391,482,256,751,78,720,673,64750,28092,36659,0
01/06/2026 02:00:00,01/06/2026 08:00:00,25889.140,0.000,75.700,27053.651,6108.829,9057.284,33238.2,1137.798,12.929,-71.018,74.124,388,414,311,408,144,767,629,64665,27657,37008,0
01/06/2026 03:00:00,01/06/2026 09:00:00,25221.631,0.000,30.700,26825.011,6476.974,9834.206,33332.7,1266.059,8.296,-78.235,70.123,419,433,495,548,293,754,615,65225,27442,37783,0
01/06/2026 04:00:00,01/06/2026 10:00:00,24047.289,0.000,77.200,26956.207,6312.683,10982.603,33346.1,1379.546,5.308,-87.502,70.743,416,459,458,456,699,738,646,66072,27623,38449,0
01/06/2026 05:00:00,01/06/2026 11:00:00,24273.798,0.000,78.200,27453.414,6531.861,11455.918,34063.5,1341.642,6.296,-97.649,78.470,453,444,679,338,2161,741,628,66749,28191,38557,0
01/06/2026 06:00:00,01/06/2026 12:00:00,25738.857,0.000,87.000,28531.995,6708.689,11259.827,35327.7,1352.342,12.222,-166.083,115.526,465,417,1030,200,2544,692,703,66476,29202,37274,0
01/06/2026 07:00:00,01/06/2026 13:00:00,29237.491,0.000,166.100,30677.946,6204.945,9757.690,37049.0,1130.372,16.633,-78.518,105.032,582,418,1102,200,2792,640,703,66438,31531,34907,0
01/06/2026 08:00:00,01/06/2026 14:00:00,30644.984,0.000,110.400,31998.914,5974.197,9298.297,38083.5,985.557,20.798,-62.397,123.845,669,420,940,200,1978,591,703,65884,32862,33022,0
01/06/2026 09:00:00,01/06/2026 15:00:00,31355.633,0.000,146.300,31874.640,6352.654,8806.874,38373.6,958.479,26.879,-73.274,121.050,566,410,825,210,0,666,703,64507,32750,31758,0
01/06/2026 10:00:00,01/06/2026 16:00:00,36720.695,5.000,202.200,31390.393,8337.697,4628.641,39930.3,474.554,37.534,-37.172,160.364,601,403,1167,200,3818,686,703,62579,32217,30361,0
01/06/2026 11:00:00,01/06/2026 17:00:00,35392.691,5.000,145.000,31162.024,7201.617,4035.740,38508.6,80.324,43.173,-16.249,174.075,676,367,950,200,2574,693,703,59897,31806,28091,0
01/06/2026 12:00:00,01/06/2026 18:00:00,34126.578,5.000,200.000,30945.662,5906.734,3964.918,37052.4,312.699,38.577,14.550,292.064,550,343,802,490,1485,693,703,57995,31544,26451,0
01/06/2026 13:00:00,01/06/2026 19:00:00,32554.086,0.000,138.500,30591.154,4738.563,4092.060,35468.2,146.217,30.520,7.159,263.036,422,330,483,418,1652,693,703,57036,31144,25892,0
01/06/2026 14:00:00,01/06/2026 20:00:00,31942.603,0.000,138.600,30446.073,3738.233,3580.141,34322.9,135.922,27.748,15.122,158.608,379,319,415,409,981,693,703,56328,31032,25296,0
01/06/2026 15:00:00,01/06/2026 21:00:00,31458.532,0.000,137.670,30309.584,3859.663,4032.795,34306.9,-536.035,26.540,17.182,77.148,338,311,345,437,779,693,703,55918,30886,25032,0
01/06/2026 16:00:00,01/06/2026 22:00:00,31567.515,0.000,136.500,30174.143,3830.484,3488.318,34141.1,-418.523,27.679,18.233,56.819,330,304,498,334,1040,693,703,55712,30407,25305,0
01/06/2026 17:00:00,01/06/2026 23:00:00,33082.348,0.000,172.700,30425.486,4761.702,3032.390,35359.9,-442.224,41.871,29.694,53.770,369,300,633,210,849,693,703,55379,30591,24788,0
01/06/2026 18:00:00,01/07/2026 00:00:00,33441.826,5.000,171.800,31331.990,4542.297,3359.589,36046.1,-239.983,55.985,41.499,67.139,352,310,710,566,0,693,703,55293,31790,23503,0
01/06/2026 19:00:00,01/07/2026 01:00:00,33532.630,0.000,182.600,31850.618,4373.122,4110.348,36406.3,157.655,38.948,29.766,53.167,343,415,303,774,0,693,703,56053,32441,23612,0
01/06/2026 20:00:00,01/07/2026 02:00:00,32473.641,0.000,181.900,31438.654,3985.585,4874.768,35606.1,617.924,30.106,22.584,55.340,341,462,200,697,0,693,703,57044,32494,24551,0
01/06/2026 21:00:00,01/07/2026 03:00:00,32275.539,0.000,167.900,30995.127,3940.773,4686.240,35103.8,1137.892,26.150,19.192,53.520,351,473,200,752,0,693,703,58439,32067,26372,0
01/06/2026 22:00:00,01/07/2026 04:00:00,30789.488,0.000,156.800,30294.553,4142.825,5762.792,34594.2,1080.716,21.634,-5.308,69.614,385,486,200,760,0,666,703,59728,31271,28458,0
01/06/2026 23:00:00,01/07/2026 05:00:00,30195.451,0.000,27.700,29332.531,4559.232,5714.873,33919.5,1352.495,21.662,0.000,58.261,389,500,200,855,0,666,703,60066,30298,29769,0
01/07/2026 00:00:00,01/07/2026 06:00:00,28676.791,0.000,29.700,28504.601,3914.186,5711.001,32448.5,1172.356,16.724,-2.765,46.574,393,499,200,744,0,666,703,61254,29396,31858,0
