Interval,GMTIntervalEnd,Generation,Cleared DR, Cleared Demand Bid,Cleared Fixed Demand Bid,Cleared Virtual Bid, Cleared Virtual Offer,Total Demand,NSI,SMP,Min LMP,Max LMP,RegUP,RegDN,RampUP,RampDN,UncUP,Spin,Supp,Capacity Available, Fixed Obligation, Net Capacity, Curtailed Fixed Demand Bid
01/07/2026 01:00:00,01/07/2026 07:00:00,27606.463,0.000,27.700,28364.860,4302.173,7025.152,32694.7,1060.936,19.527,-23.179,182.549,394,467,200,627,0,676,703,60877,29239,31638,0
01/07/2026 02:00:00,01/07/2026 08:00:00,27287.019,0.000,29.700,28102.828,4364.302,7172.942,32496.8,1212.647,18.335,-86.453,95.975,400,454,246,487,0,675,703,61755,28987,32768,0
01/07/2026 03:00:00,01/07/2026 09:00:00,25647.468,0.000,29.700,27958.882,4007.582,8291.088,31996.2,1193.383,15.489,-108.697,62.918,405,455,498,584,389,676,703,62382,28882,33501,0
01/07/2026 04:00:00,01/07/2026 10:00:00,25285.987,0.000,30.200,28146.594,4282.219,9142.987,32459.0,1168.395,13.912,-95.316,95.507,427,455,432,440,569,670,703,63067,29091,33976,0
01/07/2026 05:00:00,01/07/2026 11:00:00,25856.316,0.000,30.200,28732.206,4778.960,9699.881,33541.4,1238.312,13.317,-83.151,105.979,443,457,556,364,1548,676,703,63533,29704,33829,0
01/07/2026 06:00:00,01/07/2026 12:00:00,27447.178,0.000,102.000,29859.894,5017.718,9378.874,34979.6,1291.640,15.953,-65.964,152.228,481,473,789,200,1592,676,703,64332,30734,33598,0
01/07/2026 07:00:00,01/07/2026 13:00:00,30027.746,0.000,191.100,31926.943,5559.756,9627.239,37677.8,1023.254,18.745,-63.991,151.954,527,498,819,236,1397,667,703,65459,32878,32581,0
01/07/2026 08:00:00,01/07/2026 14:00:00,30826.691,0.000,118.600,33217.092,5296.838,9697.787,38632.5,945.596,16.960,-60.566,156.699,526,508,595,365,848,665,703,66078,34148,31930,0
01/07/2026 09:00:00,01/07/2026 15:00:00,30363.243,0.000,183.443,32882.653,4707.959,9152.138,37774.1,858.722,16.136,-38.838,143.533,474,468,468,514,959,676,703,65891,33744,32148,0
01/07/2026 10:00:00,01/07/2026 16:00:00,31188.467,0.000,212.200,32092.490,4713.936,7405.672,37018.6,668.237,17.209,-22.067,119.872,512,464,833,347,2168,676,703,65855,32846,33009,0
01/07/2026 11:00:00,01/07/2026 17:00:00,31429.843,0.000,207.000,31397.348,4567.161,6048.718,36171.5,835.004,23.815,-9.697,104.679,634,442,784,316,1962,664,703,64129,32002,32126,0
01/07/2026 12:00:00,01/07/2026 18:00:00,30706.323,0.000,203.000,30924.873,4497.981,6224.250,35625.9,770.535,23.558,-5.000,104.662,578,414,644,746,106,664,703,62816,31516,31301,0
01/07/2026 13:00:00,01/07/2026 19:00:00,28887.164,0.000,132.800,30484.755,4100.485,7290.633,34718.0,723.483,17.946,-9.050,105.635,430,426,227,632,594,664,703,62395,31113,31282,0
01/07/2026 14:00:00,01/07/2026 20:00:00,28277.710,0.000,131.900,30220.727,3790.143,7418.732,34142.8,905.377,16.516,-14.259,105.749,431,442,260,562,577,664,703,62572,30910,31662,0
01/07/2026 15:00:00,01/07/2026 21:00:00,28318.329,0.000,130.900,29984.694,3918.153,7241.356,34033.7,779.076,15.125,-17.250,107.502,425,421,286,530,512,671,703,62879,30669,32210,0
01/07/2026 16:00:00,01/07/2026 22:00:00,29157.468,0.000,190.100,29885.583,4110.681,6474.898,34186.4,858.534,15.491,-16.157,107.619,420,404,409,392,931,676,703,63635,30534,33101,0
01/07/2026 17:00:00,01/07/2026 23:00:00,30793.430,0.000,174.700,30192.580,4915.588,5988.316,35282.9,901.672,23.955,-9.039,109.867,448,394,543,336,184,669,703,63808,30881,32928,0
01/07/2026 18:00:00,01/08/2026 00:00:00,32115.567,0.000,179.800,30977.333,5269.232,5921.818,36426.4,861.387,28.215,-15.612,118.845,536,474,778,699,0,611,703,64349,31737,32611,0
01/07/2026 19:00:00,01/08/2026 01:00:00,31713.805,0.000,186.200,31384.094,5366.709,7141.976,36937.0,1087.446,16.899,-32.121,136.884,469,587,200,795,0,675,703,66385,32461,33924,0
01/07/2026 20:00:00,01/08/2026 02:00:00,29532.854,0.000,186.900,31206.545,5421.556,9237.054,36815.0,1068.869,13.976,-44.967,158.025,465,576,200,699,0,676,703,67565,32382,35183,0
01/07/2026 21:00:00,01/08/2026 03:00:00,28234.395,0.000,165.900,30846.142,5097.859,9722.872,36109.9,1012.432,14.287,-47.118,158.028,523,540,200,642,0,624,703,67854,32006,35848,0
01/07/2026 22:00:00,01/08/2026 04:00:00,26405.555,0.000,100.800,30134.514,5440.491,10951.141,35675.8,641.136,10.864,-49.730,158.705,560,527,200,599,0,588,703,68670,31187,37483,0
01/07/2026 23:00:00,01/08/2026 05:00:00,25747.566,0.000,49.372,29024.659,5795.557,10772.871,34869.6,973.052,8.212,-51.567,150.050,450,502,200,694,0,692,703,68967,30046,38921,0
01/08/2026 00:00:00,01/08/2026 06:00:00,24961.083,0.000,30.700,28051.286,6201.536,10831.125,34283.5,937.592,1.355,-61.510,147.420,432,469,276,527,0,703,703,68727,28987,39741,0
