Interval,GMTIntervalEnd,Generation,Cleared DR, Cleared Demand Bid,Cleared Fixed Demand Bid,Cleared Virtual Bid, Cleared Virtual Offer,Total Demand,NSI,SMP,Min LMP,Max LMP,RegUP,RegDN,RampUP,RampDN,UncUP,Spin,Supp,Capacity Available, Fixed Obligation, Net Capacity, Curtailed Fixed Demand Bid
01/17/2026 01:00:00,01/17/2026 07:00:00,26819.127,0.000,33.100,32662.110,5505.726,12205.325,38200.9,-375.480,2.048,-164.778,411.541,502,514,402,525,1012,676,703,69720,33211,36508,0
01/17/2026 02:00:00,01/17/2026 08:00:00,26848.030,0.000,33.200,32480.796,5461.555,11897.211,37975.6,-321.931,2.489,-139.761,364.206,530,475,562,245,1452,676,703,69318,32816,36502,0
01/17/2026 03:00:00,01/17/2026 09:00:00,27859.652,0.000,33.300,32614.534,5165.748,10723.898,37813.6,-273.849,4.862,-162.909,414.744,562,465,848,267,2139,676,703,68447,32944,35503,0
01/17/2026 04:00:00,01/17/2026 10:00:00,28710.146,0.000,31.800,32800.074,4971.677,9887.756,37803.6,-535.456,8.880,-154.609,409.351,589,456,807,200,1660,676,703,67721,33114,34607,0
01/17/2026 05:00:00,01/17/2026 11:00:00,30100.394,0.000,30.800,33302.415,5531.799,9668.540,38865.0,-519.138,14.455,-107.390,319.815,613,449,836,200,2816,676,703,66728,33613,33115,0
01/17/2026 06:00:00,01/17/2026 12:00:00,31117.460,12.000,28.300,33896.322,5865.278,9544.348,39789.9,-357.605,21.484,-107.607,342.457,593,446,989,200,2014,676,703,66076,34178,31897,0
01/17/2026 07:00:00,01/17/2026 13:00:00,32233.514,70.100,107.700,35016.627,5310.744,9095.558,40435.1,-486.657,32.090,-163.632,503.382,575,452,981,200,2549,664,703,65469,35377,30092,0
01/17/2026 08:00:00,01/17/2026 14:00:00,33446.723,72.962,109.400,36068.008,5320.743,9047.101,41498.2,-655.904,33.384,-182.090,551.624,576,459,809,236,1300,663,703,65404,36475,28929,0
01/17/2026 09:00:00,01/17/2026 15:00:00,34109.294,12.000,114.000,36672.817,5302.777,8928.012,42089.6,-768.193,32.315,-157.325,495.902,541,471,563,668,0,650,703,65416,37016,28400,0
01/17/2026 10:00:00,01/17/2026 16:00:00,34102.447,12.000,205.000,36594.028,5430.404,8993.063,42229.4,-799.896,24.520,-186.945,502.487,511,566,374,742,0,665,703,66305,36891,29414,0
01/17/2026 11:00:00,01/17/2026 17:00:00,32617.856,12.000,115.900,36264.927,5552.301,10493.891,41933.1,-246.576,17.288,-204.589,529.431,512,661,200,945,0,676,703,67381,36653,30728,0
01/17/2026 12:00:00,01/17/2026 18:00:00,30500.615,12.000,115.500,35827.183,6187.883,12999.501,42130.6,-21.501,12.536,-192.734,513.789,525,663,200,1023,0,673,703,68751,36233,32518,0
01/17/2026 13:00:00,01/17/2026 19:00:00,29518.591,12.000,128.700,35281.715,5922.130,13136.902,41332.5,-55.714,10.062,-155.506,420.670,650,604,200,766,143,552,703,69217,35676,33541,0
01/17/2026 14:00:00,01/17/2026 20:00:00,28631.071,12.000,126.400,34698.430,5476.310,12992.862,40301.1,-27.438,7.834,-180.053,387.856,526,565,275,632,642,674,703,69574,35101,34472,0
01/17/2026 15:00:00,01/17/2026 21:00:00,27886.421,12.000,122.800,34115.919,5603.321,13225.411,39842.0,109.407,6.981,-162.006,406.987,608,509,398,515,1137,592,703,69380,34523,34857,0
01/17/2026 16:00:00,01/17/2026 22:00:00,27652.135,12.000,121.700,34166.545,5635.964,13538.513,39924.2,128.149,9.219,-164.972,416.270,668,490,730,281,1118,565,703,68838,34549,34289,0
01/17/2026 17:00:00,01/17/2026 23:00:00,32636.034,12.000,111.400,34821.972,5746.956,8914.483,40680.3,-178.388,23.149,-164.736,451.168,676,482,1425,200,1296,666,703,66674,35030,31644,0
01/17/2026 18:00:00,01/18/2026 00:00:00,39254.910,36.200,197.800,36369.218,7028.673,4602.374,43595.7,-672.693,48.823,-106.104,406.015,880,462,1821,200,4970,676,703,64215,36265,27950,0
01/17/2026 19:00:00,01/18/2026 01:00:00,41341.412,27.200,110.000,37528.697,6989.145,3113.946,44627.8,-726.389,63.359,-2.756,222.029,888,430,1199,200,3679,703,703,61376,37300,24077,0
01/17/2026 20:00:00,01/18/2026 02:00:00,40979.044,17.000,107.182,37902.837,6338.494,3080.894,44348.5,-1050.661,65.355,-0.700,241.153,740,401,820,200,2674,703,703,58099,37690,20409,0
01/17/2026 21:00:00,01/18/2026 03:00:00,39932.526,86.100,115.164,37917.089,5159.038,2911.882,43191.3,-1086.686,55.138,36.329,106.244,612,379,730,289,1033,699,703,56122,37619,18503,0
01/17/2026 22:00:00,01/18/2026 04:00:00,38855.634,81.100,84.215,37810.984,4489.579,3120.098,42384.8,-1386.861,51.166,15.743,153.252,453,380,488,642,0,703,703,55194,37466,17728,0
01/17/2026 23:00:00,01/18/2026 05:00:00,37446.381,69.100,32.900,37145.651,4403.256,4359.616,41581.8,-1027.329,44.237,2.980,146.475,372,476,200,1031,0,703,703,55750,37170,18580,0
01/18/2026 00:00:00,01/18/2026 06:00:00,36908.762,0.000,32.900,36484.825,4110.577,4453.833,40628.3,-447.270,34.786,-3.573,117.326,398,624,200,1090,0,692,703,57621,36536,21085,0
