Interval,GMTIntervalEnd,Generation,Cleared DR, Cleared Demand Bid,Cleared Fixed Demand Bid,Cleared Virtual Bid, Cleared Virtual Offer,Total Demand,NSI,SMP,Min LMP,Max LMP,RegUP,RegDN,RampUP,RampDN,UncUP,Spin,Supp,Capacity Available, Fixed Obligation, Net Capacity, Curtailed Fixed Demand Bid
01/16/2026 01:00:00,01/16/2026 07:00:00,28402.318,0.000,26.800,30742.336,7146.794,10474.177,37915.9,-295.472,13.946,-61.037,203.361,426,502,200,852,0,676,703,66205,31093,35112,0
01/16/2026 02:00:00,01/16/2026 08:00:00,27013.258,0.000,28.300,30397.304,6193.943,10652.978,36619.5,-125.513,6.905,-64.390,211.257,444,621,200,895,0,676,703,68236,30831,37404,0
01/16/2026 03:00:00,01/16/2026 09:00:00,25892.786,0.000,30.300,30306.124,6077.158,11991.019,36413.6,292.477,1.471,-87.639,249.601,454,734,200,1022,0,694,703,70658,31058,39600,0
01/16/2026 04:00:00,01/16/2026 10:00:00,25746.453,0.000,31.800,30440.829,6562.457,12957.234,37035.1,434.468,-3.514,-115.500,309.497,473,715,332,826,89,703,703,72307,31293,41014,0
01/16/2026 05:00:00,01/16/2026 11:00:00,26623.985,0.000,31.800,31021.296,6974.252,13223.594,38027.3,436.360,-2.270,-143.352,374.942,509,601,652,464,2000,703,703,73495,31912,41583,0
01/16/2026 06:00:00,01/16/2026 12:00:00,27853.862,0.000,116.300,32110.082,7228.907,13395.565,39455.3,332.329,5.748,-113.025,336.966,554,513,1020,200,2130,689,703,73810,32899,40911,0
01/16/2026 07:00:00,01/16/2026 13:00:00,31285.157,0.000,111.000,34006.794,7933.134,12300.858,42050.9,-33.295,15.166,-94.345,326.181,650,511,1050,200,2629,651,703,73631,34470,39161,0
01/16/2026 08:00:00,01/16/2026 14:00:00,31822.477,0.000,126.600,35365.425,7526.618,12722.744,43018.6,-294.463,14.786,-58.520,245.862,645,520,850,228,1658,665,703,73184,35801,37383,0
01/16/2026 09:00:00,01/16/2026 15:00:00,32130.844,0.000,145.900,35344.170,6880.288,12156.110,42370.4,-82.257,13.370,-90.632,309.162,591,516,572,517,882,672,703,72989,36090,36899,0
01/16/2026 10:00:00,01/16/2026 16:00:00,31196.100,0.000,223.800,34721.164,6088.810,11640.805,41033.8,-316.856,12.250,-79.742,275.795,551,530,525,575,0,676,703,72760,35389,37371,0
01/16/2026 11:00:00,01/16/2026 17:00:00,29288.194,0.000,217.700,34120.144,5829.671,12463.284,40167.5,-242.504,9.869,-62.254,195.221,608,608,284,809,0,609,703,73349,34694,38655,0
01/16/2026 12:00:00,01/16/2026 18:00:00,28066.695,0.000,210.400,33676.844,5913.360,13220.478,39800.6,-38.428,8.266,-77.630,227.340,607,629,364,905,715,614,703,73785,34254,39531,0
01/16/2026 13:00:00,01/16/2026 19:00:00,27423.154,0.000,138.900,33053.307,5494.571,12753.388,38686.8,68.661,6.922,-84.934,245.613,587,534,338,559,1274,641,703,73666,33623,40042,0
01/16/2026 14:00:00,01/16/2026 20:00:00,26918.064,0.000,130.900,32696.579,5344.018,12846.348,38171.5,195.500,6.088,-89.005,253.793,593,525,339,432,951,693,663,72984,33334,39651,0
01/16/2026 15:00:00,01/16/2026 21:00:00,26857.667,0.000,129.600,32255.735,5541.416,12701.692,37926.8,270.232,5.961,-79.292,221.975,573,513,324,451,680,658,703,72479,32894,39586,0
01/16/2026 16:00:00,01/16/2026 22:00:00,26880.114,0.000,190.500,32118.418,5751.339,12704.695,38060.3,487.590,6.955,-84.250,233.584,560,506,547,354,1479,663,703,72108,32659,39448,0
01/16/2026 17:00:00,01/16/2026 23:00:00,28385.913,0.000,182.600,32623.483,5923.444,12041.304,38729.5,231.767,9.785,-76.173,233.410,600,493,869,200,1801,676,703,71612,33358,38253,0
01/16/2026 18:00:00,01/17/2026 00:00:00,32950.894,0.000,188.300,33572.846,7488.889,10084.032,41250.0,-245.361,20.425,-61.371,240.255,675,492,1156,200,1999,664,703,71080,34272,36808,0
01/16/2026 19:00:00,01/17/2026 01:00:00,33239.298,0.000,196.500,34315.248,6986.301,9909.018,41498.0,-225.465,21.499,-42.518,182.344,646,489,754,357,1232,664,703,70364,34855,35509,0
01/16/2026 20:00:00,01/17/2026 02:00:00,33003.010,0.000,119.500,34399.618,6631.979,9992.058,41151.1,33.433,18.448,-72.440,187.122,607,484,488,323,1366,640,703,69901,35126,34775,0
01/16/2026 21:00:00,01/17/2026 03:00:00,32715.167,0.000,117.900,34197.427,6542.779,10184.280,40858.1,281.111,18.414,-68.843,201.735,545,481,400,457,372,671,703,69793,35132,34661,0
01/16/2026 22:00:00,01/17/2026 04:00:00,31290.759,0.000,103.600,33824.189,5763.392,10252.356,39691.2,289.324,14.402,-70.030,236.345,520,490,320,526,0,664,703,69929,34625,35304,0
01/16/2026 23:00:00,01/17/2026 05:00:00,30566.322,0.000,27.200,33260.108,5578.949,9963.548,38866.3,616.188,12.898,-334.439,230.556,503,520,200,645,0,676,703,70096,34036,36059,0
01/17/2026 00:00:00,01/17/2026 06:00:00,28710.759,0.000,26.900,32779.159,5569.899,11210.450,38376.0,485.756,9.024,-338.363,200.910,601,521,349,543,438,573,703,70142,33507,36635,0
