Interval,GMTIntervalEnd,Generation,Cleared DR, Cleared Demand Bid,Cleared Fixed Demand Bid,Cleared Virtual Bid, Cleared Virtual Offer,Total Demand,NSI,SMP,Min LMP,Max LMP,RegUP,RegDN,RampUP,RampDN,UncUP,Spin,Supp,Capacity Available, Fixed Obligation, Net Capacity, Curtailed Fixed Demand Bid
01/24/2026 01:00:00,01/24/2026 07:00:00,40319.006,386.700,156.600,39020.326,2509.789,1504.559,41686.7,-871.269,132.526,19.722,321.871,481,438,375,508,772,643,703,54434,39261,15173,0
01/24/2026 02:00:00,01/24/2026 08:00:00,40163.235,374.700,156.300,38785.340,2784.121,1536.935,41725.8,-830.262,130.099,16.044,279.491,484,408,489,272,1056,643,703,54394,38921,15473,0
01/24/2026 03:00:00,01/24/2026 09:00:00,40107.792,219.700,155.100,38643.791,2622.236,1305.742,41421.1,-925.865,131.963,20.669,303.386,495,400,691,340,1093,643,703,54390,38788,15603,0
01/24/2026 04:00:00,01/24/2026 10:00:00,40387.259,219.700,155.000,38720.740,2950.718,1443.374,41826.5,-872.082,133.865,15.993,315.938,491,398,593,247,978,643,703,54387,38870,15517,0
01/24/2026 05:00:00,01/24/2026 11:00:00,40787.572,374.700,155.100,38996.613,3121.112,1269.835,42272.8,-1006.421,142.868,21.775,345.415,501,398,710,203,2043,643,703,53973,38968,15005,0
01/24/2026 06:00:00,01/24/2026 12:00:00,41256.581,386.700,156.000,39560.094,3083.927,1189.619,42800.0,-1144.614,145.215,21.791,295.203,528,399,837,200,1584,643,703,53822,39406,14416,0
01/24/2026 07:00:00,01/24/2026 13:00:00,42581.185,386.700,157.300,40508.558,3533.170,1212.469,44199.0,-1133.238,146.636,22.832,530.467,540,403,937,200,2414,643,703,54239,40314,13926,0
01/24/2026 08:00:00,01/24/2026 14:00:00,43596.645,386.700,158.500,41627.273,3322.191,1189.261,45108.0,-1228.694,171.750,22.832,549.749,592,407,770,200,1614,613,703,53934,41514,12420,0
01/24/2026 09:00:00,01/24/2026 15:00:00,44142.084,386.700,230.300,42331.928,3175.222,1142.861,45737.5,-1232.405,192.557,46.983,563.357,567,407,587,410,0,616,703,53579,42096,11483,0
01/24/2026 10:00:00,01/24/2026 16:00:00,43008.886,386.700,152.097,42648.406,2022.456,1076.858,44823.0,-1570.900,274.311,234.461,517.530,597,405,632,331,872,539,703,53158,42340,10817,0
01/24/2026 11:00:00,01/24/2026 17:00:00,41938.978,386.700,92.000,42577.837,1205.900,1083.835,43875.7,-1696.454,313.096,276.070,401.679,582,410,528,545,975,541,703,52851,42212,10639,0
01/24/2026 12:00:00,01/24/2026 18:00:00,41355.901,386.700,92.000,42361.406,984.153,1383.557,43437.6,-1427.246,323.477,287.619,415.411,561,408,415,691,766,597,663,52527,42178,10349,0
01/24/2026 13:00:00,01/24/2026 19:00:00,40884.970,386.800,95.000,41934.522,940.351,1402.063,42969.9,-1408.576,306.977,274.106,394.808,567,412,282,594,887,541,703,52298,41763,10535,0
01/24/2026 14:00:00,01/24/2026 20:00:00,40443.787,386.800,144.547,41265.268,1149.330,1500.763,42559.1,-1204.607,282.036,251.967,361.138,410,411,258,524,546,686,703,52056,41162,10894,0
01/24/2026 15:00:00,01/24/2026 21:00:00,39892.048,386.800,135.614,40742.465,1121.780,1465.822,41999.9,-1345.053,284.385,253.213,361.721,546,399,283,532,572,538,703,51857,40621,11236,0
01/24/2026 16:00:00,01/24/2026 22:00:00,40034.387,386.800,150.256,40680.109,1249.272,1386.660,42079.6,-1208.779,270.055,240.301,343.487,523,387,438,395,769,558,703,51876,40516,11360,0
01/24/2026 17:00:00,01/24/2026 23:00:00,40587.528,386.800,92.000,41191.021,1209.697,1256.274,42492.7,-1271.914,313.696,277.344,394.855,552,382,690,254,1261,596,665,52024,40848,11176,0
01/24/2026 18:00:00,01/25/2026 00:00:00,41359.911,386.600,92.000,42355.122,1250.712,1628.648,43697.8,-1990.509,343.398,306.341,440.000,611,399,790,341,872,539,703,52135,41944,10191,0
01/24/2026 19:00:00,01/25/2026 01:00:00,42106.736,386.600,92.000,43159.695,1022.432,1969.037,44274.1,-1480.758,355.952,319.962,525.146,456,430,528,544,195,683,703,52400,43266,9135,0
01/24/2026 20:00:00,01/25/2026 02:00:00,42132.753,386.600,92.000,42974.109,1118.290,1919.327,44184.4,-946.919,330.825,247.428,536.597,531,433,301,460,496,585,697,52643,43336,9307,0
01/24/2026 21:00:00,01/25/2026 03:00:00,41764.659,386.600,92.000,42611.572,1087.094,1836.286,43790.7,-961.340,314.896,225.576,537.911,504,427,263,522,267,604,703,52740,42921,9819,0
01/24/2026 22:00:00,01/25/2026 04:00:00,41471.310,386.600,95.000,42258.169,974.289,1710.408,43327.5,-837.556,304.260,217.547,520.357,509,425,256,518,282,595,703,52924,42619,10305,0
01/24/2026 23:00:00,01/25/2026 05:00:00,40808.897,386.600,125.695,41504.076,924.947,1868.436,42554.7,-659.145,288.811,204.826,493.203,524,429,200,652,0,580,696,52669,42145,10524,0
01/25/2026 00:00:00,01/25/2026 06:00:00,40212.891,386.600,145.044,40768.709,973.259,2288.118,41887.0,-174.654,279.107,249.071,340.329,543,436,201,549,0,547,703,52542,41309,11233,0
