Interval,GMTIntervalEnd,Generation,Cleared DR, Cleared Demand Bid,Cleared Fixed Demand Bid,Cleared Virtual Bid, Cleared Virtual Offer,Total Demand,NSI,SMP,Min LMP,Max LMP,RegUP,RegDN,RampUP,RampDN,UncUP,Spin,Supp,Capacity Available, Fixed Obligation, Net Capacity, Curtailed Fixed Demand Bid
01/14/2026 01:00:00,01/14/2026 07:00:00,22912.132,0.000,89.700,27956.711,6297.514,12948.611,34343.9,805.598,-0.680,-222.449,262.668,430,604,200,844,0,703,703,67317,28618,38699,0
01/14/2026 02:00:00,01/14/2026 08:00:00,22736.983,0.000,87.700,27661.018,6442.747,12975.880,34191.5,646.091,-5.501,-216.273,270.949,440,553,264,562,0,764,639,68444,28343,40101,0
01/14/2026 03:00:00,01/14/2026 09:00:00,22874.834,0.000,33.200,27613.232,6473.236,12779.177,34119.7,289.779,-6.946,-339.012,248.891,450,514,559,565,675,697,703,69121,28308,40813,0
01/14/2026 04:00:00,01/14/2026 10:00:00,23636.043,0.000,88.200,27787.779,6452.851,12248.276,34328.8,498.010,-7.139,-470.031,323.055,487,505,515,379,983,689,696,69713,28501,41213,0
01/14/2026 05:00:00,01/14/2026 11:00:00,24435.007,0.000,90.200,28376.570,6787.703,12401.194,35254.5,588.314,-4.916,-411.346,317.275,504,486,668,282,1914,681,703,69858,29117,40741,0
01/14/2026 06:00:00,01/14/2026 12:00:00,26022.698,0.000,94.000,29485.092,7681.577,12706.530,37260.7,560.169,3.902,-623.331,344.858,530,488,1040,200,2874,780,614,69920,30097,39823,0
01/14/2026 07:00:00,01/14/2026 13:00:00,29008.386,0.000,176.500,31575.199,7511.727,11913.069,39263.4,685.868,13.306,-382.255,445.447,605,486,1069,200,2559,676,703,70070,32270,37800,0
01/14/2026 08:00:00,01/14/2026 14:00:00,30748.575,0.000,110.300,33037.186,7263.161,11339.086,40410.6,495.753,16.223,-520.364,386.147,629,492,862,200,1772,664,703,69823,33732,36091,0
01/14/2026 09:00:00,01/14/2026 15:00:00,30854.563,0.000,215.700,33155.908,6381.714,10575.086,39753.3,327.942,17.172,-309.249,205.909,715,489,644,456,991,543,703,69255,33887,35368,0
01/14/2026 10:00:00,01/14/2026 16:00:00,30383.743,0.000,213.300,32880.887,5601.563,9841.242,38695.8,181.540,18.734,-358.670,225.147,547,495,586,438,30,667,703,69286,33528,35759,0
01/14/2026 11:00:00,01/14/2026 17:00:00,29339.472,0.000,211.100,32601.427,5570.423,10370.232,38383.0,-66.462,15.647,-169.824,203.921,597,519,442,641,481,589,703,69502,33141,36360,0
01/14/2026 12:00:00,01/14/2026 18:00:00,28622.821,0.000,209.700,32405.432,5787.125,11107.890,38402.3,187.470,15.331,-79.235,253.649,570,509,421,716,1074,615,703,69754,32928,36826,0
01/14/2026 13:00:00,01/14/2026 19:00:00,28605.076,0.000,139.800,32168.255,5592.275,10689.180,37900.3,431.984,14.224,-65.781,218.556,539,492,398,502,1488,672,703,69479,32747,36732,0
01/14/2026 14:00:00,01/14/2026 20:00:00,28092.641,0.000,199.200,31792.828,5568.899,10847.824,37560.9,250.514,12.367,-61.104,199.122,542,478,398,372,1209,676,703,69142,32357,36785,0
01/14/2026 15:00:00,01/14/2026 21:00:00,28197.667,0.000,199.900,31568.362,5539.736,10601.014,37308.0,362.211,12.517,-49.710,187.514,603,473,454,393,576,696,623,68771,32127,36644,0
01/14/2026 16:00:00,01/14/2026 22:00:00,29089.218,0.000,205.800,31552.135,5913.107,9911.362,37671.0,281.667,15.187,-38.411,142.281,602,458,775,224,1666,631,703,67523,31993,35529,0
01/14/2026 17:00:00,01/14/2026 23:00:00,33692.029,0.000,190.300,32165.477,6434.148,6233.526,38789.9,520.169,27.349,-35.809,215.587,706,438,1302,200,465,625,703,65600,32388,33212,0
01/14/2026 18:00:00,01/15/2026 00:00:00,39067.759,55.900,189.700,33378.568,8262.664,3658.899,41830.9,1060.651,49.505,-45.601,310.268,902,419,1590,200,4060,565,703,63698,33636,30062,0
01/14/2026 19:00:00,01/15/2026 01:00:00,39641.581,14.000,118.500,34322.252,7568.139,2799.469,42008.9,654.369,52.790,10.200,196.752,726,398,1134,200,2676,703,703,61301,34170,27130,0
01/14/2026 20:00:00,01/15/2026 02:00:00,38798.169,14.000,118.800,34465.241,6572.985,2767.851,41157.0,315.345,50.582,-17.394,183.203,609,378,793,200,2330,678,703,59690,34294,25396,0
01/14/2026 21:00:00,01/15/2026 03:00:00,37641.739,14.000,105.700,34502.051,5312.298,2609.329,39920.0,-282.890,48.843,-23.195,188.362,526,364,657,217,1667,702,703,58336,34299,24037,0
01/14/2026 22:00:00,01/15/2026 04:00:00,36456.847,0.000,103.400,34040.925,4443.681,2473.897,38588.0,-335.569,44.455,-10.411,150.072,488,362,560,320,758,690,703,57350,33865,23485,0
01/14/2026 23:00:00,01/15/2026 05:00:00,35668.780,5.829,27.800,33230.271,4283.369,2427.924,37541.4,-195.933,47.139,4.958,134.560,424,362,377,482,519,703,703,56444,33457,22987,0
01/15/2026 00:00:00,01/15/2026 06:00:00,34913.618,0.000,27.300,32470.259,4341.454,2772.847,36839.0,-128.092,41.966,-15.084,162.829,386,351,373,380,725,701,703,56146,32805,23340,0
