Interval,GMTIntervalEnd,Generation,Cleared DR, Cleared Demand Bid,Cleared Fixed Demand Bid,Cleared Virtual Bid, Cleared Virtual Offer,Total Demand,NSI,SMP,Min LMP,Max LMP,RegUP,RegDN,RampUP,RampDN,UncUP,Spin,Supp,Capacity Available, Fixed Obligation, Net Capacity, Curtailed Fixed Demand Bid
01/09/2026 01:00:00,01/09/2026 07:00:00,26270.019,0.000,72.700,28336.854,5651.075,9461.809,34060.6,1922.703,13.119,-20.287,129.209,468,414,512,353,1114,732,674,65705,29420,36285,0
01/09/2026 02:00:00,01/09/2026 08:00:00,26533.391,0.000,27.700,28007.084,4939.189,8062.835,32974.0,1675.648,16.310,-11.101,116.719,495,384,570,200,1047,676,703,65061,29078,35983,0
01/09/2026 03:00:00,01/09/2026 09:00:00,27211.536,0.000,27.700,27995.052,4991.513,7388.955,33014.3,1551.664,18.522,-2.873,119.174,524,368,777,260,1780,624,703,64256,29096,35160,0
01/09/2026 04:00:00,01/09/2026 10:00:00,28058.580,0.000,28.800,28107.100,4674.757,6359.811,32810.7,1442.888,20.462,-1.612,125.532,462,362,701,200,1595,676,703,63589,29244,34344,0
01/09/2026 05:00:00,01/09/2026 11:00:00,29130.123,0.000,28.800,28655.819,4849.684,5666.100,33534.3,1408.479,23.030,1.316,127.339,454,360,858,200,973,695,703,63025,29791,33235,0
01/09/2026 06:00:00,01/09/2026 12:00:00,31393.160,0.000,77.400,29745.246,4867.551,4579.150,34690.2,883.037,26.851,7.001,123.591,485,362,1148,200,2886,702,703,62260,30726,31534,0
01/09/2026 07:00:00,01/09/2026 13:00:00,33431.069,0.000,111.900,31701.200,4733.341,4592.922,36546.4,686.754,37.478,22.202,115.415,544,371,1119,200,2418,677,703,62568,32770,29798,0
01/09/2026 08:00:00,01/09/2026 14:00:00,33068.832,0.000,113.800,33178.199,4428.066,5367.459,37720.1,-367.570,41.130,29.582,90.388,480,377,870,200,1644,701,703,61220,33722,27498,0
01/09/2026 09:00:00,01/09/2026 15:00:00,33026.485,0.000,150.900,33285.277,4879.750,5817.862,38315.9,-536.851,39.283,28.142,71.031,446,372,655,384,1653,703,703,60443,33292,27151,0
01/09/2026 10:00:00,01/09/2026 16:00:00,33022.775,0.000,202.800,32986.294,5222.316,5896.152,38411.4,-658.129,43.207,29.464,61.748,428,375,658,306,979,702,703,59615,33266,26349,0
01/09/2026 11:00:00,01/09/2026 17:00:00,32876.901,0.000,143.900,32686.170,5295.411,5769.250,38125.5,-741.566,39.757,25.980,54.760,407,374,553,560,750,703,703,59193,32856,26336,0
01/09/2026 12:00:00,01/09/2026 18:00:00,32382.697,14.000,200.900,32307.514,5163.437,5892.114,37671.9,-640.304,39.328,22.767,52.300,404,368,399,767,232,675,703,58694,32558,26136,0
01/09/2026 13:00:00,01/09/2026 19:00:00,32558.778,0.000,138.300,31843.529,4999.821,5588.433,36981.7,-192.077,33.536,19.834,51.260,345,389,206,769,0,703,703,59268,32353,26915,0
01/09/2026 14:00:00,01/09/2026 20:00:00,31820.252,0.000,137.300,31462.243,5010.723,6171.815,36610.3,172.614,27.305,10.539,54.436,373,469,200,790,0,683,703,60194,32066,28128,0
01/09/2026 15:00:00,01/09/2026 21:00:00,30979.486,0.000,137.000,31084.632,4697.504,6456.546,35919.1,470.891,22.802,3.935,61.118,416,524,200,817,0,652,703,61499,31725,29774,0
01/09/2026 16:00:00,01/09/2026 22:00:00,30962.826,0.000,187.500,30524.810,5476.230,6833.175,36188.5,401.354,20.596,-4.616,108.632,404,519,200,666,0,676,703,63374,31149,32225,0
01/09/2026 17:00:00,01/09/2026 23:00:00,32413.600,0.000,176.800,30830.930,5909.084,6290.474,36916.8,645.539,23.324,-0.999,118.541,430,512,282,552,0,676,703,64284,31529,32755,0
01/09/2026 18:00:00,01/10/2026 00:00:00,33986.335,0.000,184.300,31539.672,6633.917,6623.094,38357.9,1127.079,26.186,-10.572,188.514,471,567,570,728,0,675,703,65620,32618,33002,0
01/09/2026 19:00:00,01/10/2026 01:00:00,32485.371,0.000,187.000,32054.838,6160.645,8329.645,38402.5,1313.267,19.649,-39.000,248.340,489,620,200,792,0,669,703,67670,33167,34504,0
01/09/2026 20:00:00,01/10/2026 02:00:00,30921.114,0.000,187.300,31809.722,5464.100,8919.842,37461.1,1339.665,15.665,-51.141,280.118,474,585,200,694,20,676,703,68957,32947,36010,0
01/09/2026 21:00:00,01/10/2026 03:00:00,30177.276,0.000,174.100,31634.843,5655.181,9536.710,37464.1,1285.895,13.855,-55.221,278.577,500,519,200,576,0,655,703,70100,32766,37334,0
01/09/2026 22:00:00,01/10/2026 04:00:00,28839.049,0.000,163.800,31285.942,5234.478,9856.125,36684.2,1153.090,11.309,-49.048,225.246,483,493,251,511,135,670,703,70613,32378,38235,0
01/09/2026 23:00:00,01/10/2026 05:00:00,27290.538,0.000,85.700,30559.848,5057.261,10285.972,35702.8,1067.609,9.348,-51.721,225.500,477,472,209,606,0,673,703,70197,31635,38562,0
01/10/2026 00:00:00,01/10/2026 06:00:00,24770.931,0.000,30.700,29844.922,4834.614,11631.507,34710.2,780.942,6.694,-49.881,224.756,438,470,241,529,0,703,703,70207,30877,39330,0
