Interval,GMTIntervalEnd,Generation,Cleared DR, Cleared Demand Bid,Cleared Fixed Demand Bid,Cleared Virtual Bid, Cleared Virtual Offer,Total Demand,NSI,SMP,Min LMP,Max LMP,RegUP,RegDN,RampUP,RampDN,UncUP,Spin,Supp,Capacity Available, Fixed Obligation, Net Capacity, Curtailed Fixed Demand Bid
01/19/2026 01:00:00,01/19/2026 07:00:00,30339.543,0.000,28.000,33679.789,4067.512,8959.168,37775.3,355.576,18.507,-241.614,686.063,461,537,263,649,241,683,703,64222,34266,29956,0
01/19/2026 02:00:00,01/19/2026 08:00:00,30396.901,0.000,28.000,33647.434,4233.884,8981.461,37909.3,322.635,14.582,-222.183,635.488,462,483,448,384,804,685,703,64692,34204,30487,0
01/19/2026 03:00:00,01/19/2026 09:00:00,31568.516,0.000,27.900,33783.624,4719.885,8391.101,38531.4,203.867,15.516,-235.730,663.396,477,444,720,381,1500,683,703,64978,34265,30714,0
01/19/2026 04:00:00,01/19/2026 10:00:00,32373.645,0.000,27.900,34223.262,4666.339,7976.697,38917.5,694.807,18.018,-243.794,691.571,506,442,632,218,1353,683,703,64836,34706,30130,0
01/19/2026 05:00:00,01/19/2026 11:00:00,33084.283,0.000,27.600,34988.168,4324.163,7708.548,39339.9,523.218,24.777,-214.707,642.459,506,444,719,200,2268,693,703,64311,35497,28814,0
01/19/2026 06:00:00,01/19/2026 12:00:00,35391.953,12.000,26.900,36099.408,4880.260,6974.486,41006.6,543.697,28.363,-205.129,626.460,596,448,988,200,1413,620,703,64434,36480,27953,0
01/19/2026 07:00:00,01/19/2026 13:00:00,37932.381,12.000,106.960,37816.878,4481.800,5536.248,42405.6,270.646,36.575,-199.322,646.189,578,454,1080,200,1818,676,703,63538,37889,25649,0
01/19/2026 08:00:00,01/19/2026 14:00:00,39762.014,12.000,107.560,39087.703,4133.409,4557.094,43328.7,59.477,38.757,-224.686,715.450,611,453,918,200,2524,682,703,62621,39156,23465,0
01/19/2026 09:00:00,01/19/2026 15:00:00,40088.379,12.000,127.630,39270.681,3682.701,3789.757,43081.0,-234.418,39.391,-151.854,549.899,647,443,798,345,1658,638,703,61881,39159,22723,0
01/19/2026 10:00:00,01/19/2026 16:00:00,40195.142,12.000,228.310,38859.313,3694.345,3406.886,42782.0,-528.071,37.222,-77.236,316.477,552,448,697,257,1402,675,703,61579,38771,22808,0
01/19/2026 11:00:00,01/19/2026 17:00:00,39087.300,12.000,125.210,38286.552,2901.957,3048.840,41313.7,-458.187,35.723,-36.596,220.293,507,443,644,460,1763,703,703,60560,38213,22348,0
01/19/2026 12:00:00,01/19/2026 18:00:00,38084.210,0.000,137.090,37846.228,2124.074,3131.684,40107.4,-185.978,34.689,-15.004,140.994,504,423,559,513,1601,702,703,59684,38086,21598,0
01/19/2026 13:00:00,01/19/2026 19:00:00,37356.481,0.000,136.500,37161.021,2152.746,3164.821,39450.3,-199.942,33.698,-15.825,103.612,495,408,477,465,1350,703,703,58890,37377,21513,0
01/19/2026 14:00:00,01/19/2026 20:00:00,36748.449,0.000,135.400,36428.078,2223.195,3135.825,38786.7,-48.791,31.085,-14.574,95.572,439,399,376,395,1055,703,703,58229,36691,21538,0
01/19/2026 15:00:00,01/19/2026 21:00:00,35773.758,0.000,135.100,36000.179,2329.076,3747.879,38464.4,-32.965,30.503,1.729,81.195,421,383,449,414,724,703,703,57643,36262,21381,0
01/19/2026 16:00:00,01/19/2026 22:00:00,36103.929,0.000,134.900,35825.543,2127.309,2923.655,38087.8,-103.334,30.681,14.319,58.555,421,359,644,229,1158,703,703,57084,35975,21109,0
01/19/2026 17:00:00,01/19/2026 23:00:00,38140.395,8.268,122.100,36279.770,3448.451,2321.180,39850.3,282.860,43.169,16.378,67.555,575,354,914,200,1970,604,703,56060,36093,19967,0
01/19/2026 18:00:00,01/20/2026 00:00:00,39694.327,83.200,27.200,37372.855,4311.087,2671.207,41711.1,343.857,85.738,11.530,300.146,510,355,812,307,248,703,703,55121,37297,17824,0
01/19/2026 19:00:00,01/20/2026 01:00:00,40621.208,93.400,120.910,38397.475,4349.662,2655.664,42868.0,272.885,60.853,20.439,124.000,407,386,562,712,0,699,703,55286,38053,17232,0
01/19/2026 20:00:00,01/20/2026 02:00:00,40111.221,0.000,120.070,38330.543,5103.782,4197.997,43554.4,621.271,44.959,9.178,124.000,393,512,200,724,0,703,703,56532,38065,18468,0
01/19/2026 21:00:00,01/20/2026 03:00:00,38642.735,0.000,118.475,37850.756,5760.639,5894.253,43729.9,678.635,38.845,-0.190,156.386,401,554,200,879,0,698,703,57866,37574,20292,0
01/19/2026 22:00:00,01/20/2026 04:00:00,37121.160,0.000,106.500,37223.910,5890.592,7151.151,43221.0,595.029,35.664,-63.353,295.154,435,603,200,841,0,676,703,59376,37143,22233,0
01/19/2026 23:00:00,01/20/2026 05:00:00,36551.477,0.000,28.100,36276.118,5601.421,6885.123,41905.6,659.196,37.867,-131.897,417.974,443,588,200,892,0,676,703,61091,36669,24422,0
01/20/2026 00:00:00,01/20/2026 06:00:00,35767.749,0.000,27.900,35615.586,5647.105,7348.418,41290.6,626.168,35.088,-151.763,457.900,510,546,200,693,0,613,703,61584,36129,25455,0
