Interval,GMTIntervalEnd,Generation,Cleared DR, Cleared Demand Bid,Cleared Fixed Demand Bid,Cleared Virtual Bid, Cleared Virtual Offer,Total Demand,NSI,SMP,Min LMP,Max LMP,RegUP,RegDN,RampUP,RampDN,UncUP,Spin,Supp,Capacity Available, Fixed Obligation, Net Capacity, Curtailed Fixed Demand Bid
01/02/2026 01:00:00,01/02/2026 07:00:00,30915.575,24.200,27.700,28730.178,3127.600,2458.848,31885.5,460.457,35.443,-67.210,268.788,340,326,324,444,626,693,703,56858,29214,27644,0
01/02/2026 02:00:00,01/02/2026 08:00:00,30470.249,55.900,27.700,28350.857,3048.969,2511.893,31427.5,555.372,35.711,-66.949,292.769,317,311,380,357,225,693,703,56727,28820,27907,0
01/02/2026 03:00:00,01/02/2026 09:00:00,30260.768,55.900,27.700,28218.410,3311.894,2780.823,31558.0,455.625,34.508,-63.916,299.478,361,326,552,484,659,643,703,56982,28632,28349,0
01/02/2026 04:00:00,01/02/2026 10:00:00,30070.966,55.900,28.800,28299.388,3155.890,2936.797,31484.1,603.310,33.380,-51.457,253.217,319,335,431,386,505,689,703,57337,28735,28602,0
01/02/2026 05:00:00,01/02/2026 11:00:00,30919.550,55.900,28.800,28712.590,3565.773,2952.855,32307.2,662.214,32.479,-62.451,264.240,354,361,605,366,1792,675,703,57791,29200,28592,0
01/02/2026 06:00:00,01/02/2026 12:00:00,31945.389,55.900,92.400,29655.355,3605.914,2917.359,33353.7,684.164,36.948,-50.898,262.645,399,366,933,200,2022,673,703,58225,30071,28154,0
01/02/2026 07:00:00,01/02/2026 13:00:00,33557.339,59.900,107.000,31155.918,3581.118,2958.911,34844.0,812.667,40.268,-61.737,266.517,438,348,971,200,1423,669,703,58809,31692,27117,0
01/02/2026 08:00:00,01/02/2026 14:00:00,34302.380,59.900,110.100,32681.605,3449.441,3178.305,36241.1,346.955,43.646,-91.947,352.994,455,347,809,219,1689,669,703,58672,32849,25823,0
01/02/2026 09:00:00,01/02/2026 15:00:00,34586.227,59.900,147.500,33021.322,2820.478,2892.495,35989.3,533.820,42.714,-45.418,248.872,385,346,590,368,1154,703,703,58373,33345,25028,0
01/02/2026 10:00:00,01/02/2026 16:00:00,35421.400,59.900,141.400,33023.268,3100.820,2117.121,36265.5,213.445,46.088,-41.811,262.433,407,346,747,224,1714,703,703,57945,33315,24630,0
01/02/2026 11:00:00,01/02/2026 17:00:00,34952.613,59.900,148.400,32873.173,2607.652,1747.691,35629.2,-119.249,43.150,-48.866,267.163,440,339,698,466,1489,703,703,57002,32984,24018,0
01/02/2026 12:00:00,01/02/2026 18:00:00,34466.740,64.844,148.400,32698.520,2099.734,1830.301,34946.7,70.478,42.561,-31.309,241.798,419,329,494,663,746,666,703,56100,33129,22972,0
01/02/2026 13:00:00,01/02/2026 19:00:00,33952.060,55.900,140.900,32219.337,2079.143,1820.129,34439.4,-71.981,39.217,-29.519,222.047,342,324,310,550,914,690,703,55705,32614,23091,0
01/02/2026 14:00:00,01/02/2026 20:00:00,33772.194,24.200,140.700,32022.453,2098.601,1836.198,34261.8,20.455,36.267,-29.524,209.552,315,315,283,498,706,693,703,55522,32375,23147,0
01/02/2026 15:00:00,01/02/2026 21:00:00,33630.878,0.000,140.500,31835.073,2236.355,1995.261,34211.9,120.800,35.416,-40.934,235.322,307,314,296,526,536,693,703,55437,32241,23196,0
01/02/2026 16:00:00,01/02/2026 22:00:00,33353.257,0.000,138.000,31557.336,2702.982,2375.921,34398.3,47.795,34.461,-45.900,240.827,308,307,381,382,552,693,703,55390,31854,23535,0
01/02/2026 17:00:00,01/02/2026 23:00:00,34376.517,94.315,114.300,31734.457,3047.356,1757.139,34896.1,273.421,44.973,-31.198,251.923,317,310,516,315,643,701,703,55565,31960,23604,0
01/02/2026 18:00:00,01/03/2026 00:00:00,35238.147,144.000,178.700,32484.153,3335.043,2028.682,35997.9,302.022,54.784,-26.640,284.645,352,372,799,599,0,703,703,55994,33064,22930,0
01/02/2026 19:00:00,01/03/2026 01:00:00,34974.301,69.157,115.500,32610.167,3194.974,2619.128,35920.6,663.793,43.603,-36.879,259.767,358,436,270,676,0,685,703,56854,33484,23370,0
01/02/2026 20:00:00,01/03/2026 02:00:00,35031.710,55.900,118.900,32354.094,3331.505,2763.760,35804.5,920.875,38.571,-49.139,300.131,342,410,285,580,439,693,703,57626,33327,24299,0
01/02/2026 21:00:00,01/03/2026 03:00:00,34878.233,55.900,167.900,31995.685,3608.853,2754.411,35772.4,785.506,37.483,-44.633,367.670,343,359,303,488,569,693,703,57943,32895,25048,0
01/02/2026 22:00:00,01/03/2026 04:00:00,34657.424,24.200,99.800,31561.653,3899.677,2716.077,35561.1,726.084,35.773,-45.692,349.484,354,343,334,437,118,693,703,57832,32333,25500,0
01/02/2026 23:00:00,01/03/2026 05:00:00,34325.448,55.900,85.700,30975.593,4326.310,2675.905,35387.6,593.901,36.960,-51.779,266.347,364,350,260,550,219,693,703,57414,31481,25933,0
01/03/2026 00:00:00,01/03/2026 06:00:00,32412.821,14.000,27.300,30003.299,3621.767,2721.646,33652.4,347.374,32.524,-37.433,209.482,345,341,297,555,0,693,703,57253,30473,26780,0
