Interval,GMTIntervalEnd,Generation,Cleared DR, Cleared Demand Bid,Cleared Fixed Demand Bid,Cleared Virtual Bid, Cleared Virtual Offer,Total Demand,NSI,SMP,Min LMP,Max LMP,RegUP,RegDN,RampUP,RampDN,UncUP,Spin,Supp,Capacity Available, Fixed Obligation, Net Capacity, Curtailed Fixed Demand Bid
01/26/2026 01:00:00,01/26/2026 07:00:00,41311.258,348.600,62.100,41462.514,1114.096,2561.072,42638.7,423.134,253.079,226.275,295.775,435,412,430,425,1426,677,703,52810,41853,10957,0
01/26/2026 02:00:00,01/26/2026 08:00:00,40973.525,224.600,61.100,41423.586,1119.029,2839.486,42603.7,416.240,257.772,230.752,301.215,438,402,514,217,1206,703,703,52430,42147,10284,0
01/26/2026 03:00:00,01/26/2026 09:00:00,40967.448,224.600,52.044,41337.608,1073.255,2678.320,42462.9,360.556,277.584,248.844,323.566,444,399,740,315,1282,703,703,51954,42057,9897,0
01/26/2026 04:00:00,01/26/2026 10:00:00,41404.882,348.600,46.218,41684.922,1120.941,2657.563,42852.1,288.103,290.694,254.631,341.640,449,400,613,200,1301,698,703,51535,42405,9130,0
01/26/2026 05:00:00,01/26/2026 11:00:00,41999.968,360.600,109.830,42073.773,1498.737,2971.639,43682.3,245.613,296.947,250.137,355.104,467,403,723,200,1946,681,703,51790,42761,9030,0
01/26/2026 06:00:00,01/26/2026 12:00:00,43071.137,360.600,147.700,42966.725,1620.362,2642.243,44734.8,-42.452,327.185,122.006,587.176,470,411,951,200,1829,702,703,51839,43430,8410,0
01/26/2026 07:00:00,01/26/2026 13:00:00,44994.414,347.086,69.200,44377.682,1900.197,2594.618,46347.1,181.652,387.823,56.397,1355.126,498,439,926,202,1345,703,703,52104,44975,7130,0
01/26/2026 08:00:00,01/26/2026 14:00:00,45825.857,250.600,70.700,45414.192,2106.687,3044.402,47591.6,211.410,391.388,32.332,1476.402,492,501,629,644,0,703,703,52619,45943,6676,0
01/26/2026 09:00:00,01/26/2026 15:00:00,45897.473,242.358,284.016,45209.605,1665.860,2558.044,47159.5,4.514,337.371,15.072,1060.098,453,599,200,899,0,703,703,53551,45736,7815,0
01/26/2026 10:00:00,01/26/2026 16:00:00,43974.527,262.314,327.996,44202.851,1297.030,3180.230,45827.9,-455.276,325.364,-43.842,1350.711,458,626,207,765,0,703,703,53934,44819,9115,0
01/26/2026 11:00:00,01/26/2026 17:00:00,43014.674,250.600,213.200,43512.394,1013.987,2999.696,44739.6,-177.552,288.620,34.030,1269.062,475,588,200,904,0,686,703,54653,44099,10554,0
01/26/2026 12:00:00,01/26/2026 18:00:00,42532.849,267.518,77.000,42356.779,1482.001,2878.149,43915.8,249.143,222.290,11.014,1199.160,460,597,200,1054,0,703,703,55739,43054,12685,0
01/26/2026 13:00:00,01/26/2026 19:00:00,42265.598,310.679,85.600,41284.578,1840.664,2563.086,43210.8,457.509,170.136,-34.348,917.211,465,630,200,938,0,703,703,57296,42071,15225,0
01/26/2026 14:00:00,01/26/2026 20:00:00,41749.388,294.917,101.000,40330.912,2280.180,2531.463,42712.1,434.511,127.800,-103.346,911.612,474,651,200,868,0,703,703,58488,41072,17416,0
01/26/2026 15:00:00,01/26/2026 21:00:00,41011.451,227.500,124.800,39391.656,2880.699,2969.342,42397.2,792.248,98.532,-101.311,897.442,481,651,200,874,0,703,703,59452,40209,19244,0
01/26/2026 16:00:00,01/26/2026 22:00:00,41303.360,227.500,116.729,39016.564,3252.828,2686.933,42386.1,1066.578,91.839,-94.629,485.385,487,609,254,657,170,703,703,60437,39728,20709,0
01/26/2026 17:00:00,01/26/2026 23:00:00,41926.932,230.700,99.960,39433.988,3444.137,2669.053,42978.1,1096.123,104.223,-59.917,567.230,515,574,552,438,558,703,703,61008,40138,20870,0
01/26/2026 18:00:00,01/27/2026 00:00:00,43248.464,271.746,70.200,40782.134,3226.922,2711.104,44079.3,1117.568,139.214,-60.617,718.371,566,581,840,438,406,703,703,62209,41628,20580,0
01/26/2026 19:00:00,01/27/2026 01:00:00,44163.089,234.700,72.000,42144.162,3036.557,3094.824,45252.7,1135.246,153.797,-58.083,710.912,585,641,431,610,47,703,703,63451,43022,20429,0
01/26/2026 20:00:00,01/27/2026 02:00:00,44616.463,234.600,71.800,42451.420,3041.216,3006.160,45564.4,1168.536,155.144,-258.524,949.890,551,616,238,514,231,703,703,64466,43346,21120,0
01/26/2026 21:00:00,01/27/2026 03:00:00,44098.903,234.600,71.400,42164.885,3135.155,3250.402,45371.4,1075.626,147.627,-289.583,730.892,546,593,212,601,0,703,703,64607,42993,21614,0
01/26/2026 22:00:00,01/27/2026 04:00:00,43271.470,234.600,84.000,41612.540,3062.543,3329.836,44759.1,1019.181,129.458,-196.297,745.941,555,592,200,579,0,688,703,64814,42334,22480,0
01/26/2026 23:00:00,01/27/2026 05:00:00,41678.134,227.500,66.060,40831.749,2546.153,3745.554,43444.0,912.465,129.413,-183.607,1081.089,558,579,200,674,45,676,703,64528,41641,22887,0
01/27/2026 00:00:00,01/27/2026 06:00:00,40887.754,227.500,62.420,40056.411,2381.043,3751.815,42499.9,1063.206,131.574,-183.136,1255.115,562,566,321,530,0,676,703,63608,40914,22694,0
