Interval,GMTIntervalEnd,Constraint Name,Constraint Type,NERCID,State,Shadow Price,Monitored Facility,Contingent Facility, Contingency Name
01/12/2026 01:00:00,01/12/2026 07:00:00,CROFTON_BLMFLD_CROFTON_A_LN,MCE,,BINDING,-5.5464,LN CROFTON - BLMFLD,BASE,BASE
01/12/2026 01:00:00,01/12/2026 07:00:00,NASXFRNASHAW,FG,5577,BINDING,-23.7904,XFMR NASHUA - NASHUA,KCPL:NASHUA SHALE:345:1:11,25948
01/12/2026 01:00:00,01/12/2026 07:00:00,OSAWEBCLESOO,FG,5147,BINDING,-107.7207,LN OSAGE_OG - WEBBTAP4,GRDA OKGE:CLEVLND7 WHTETAIL:345:1:,33380
01/12/2026 01:00:00,01/12/2026 07:00:00,SMKSUMPOSAXT,FG,5695,BINDING,-4.2504,LN WR_SMKHL - SUMM,NPPD:MACON345 AXTELL1:345:1:13,6145
01/12/2026 01:00:00,01/12/2026 07:00:00,SOONER_SONR_SONR_PHSHFT_PS,MCE,,BINDING,-0.3674,PS SOONER - SOONER,BASE,BASE
01/12/2026 01:00:00,01/12/2026 07:00:00,TEMP76_32162,FG,32162,BINDING,-612.0529,XFMR DUNCAN - DUNCAN,WFEC:PAYNE_WF PAOLI2:138:1:9,19871
01/12/2026 01:00:00,01/12/2026 07:00:00,TMP128_29363,FG,29363,BINDING,-109.4373,LN RUSSETT - SBROWN,OKGE:BROWN2 BODLE CANEY1:138:7:34,333
01/12/2026 01:00:00,01/12/2026 07:00:00,TMP221_28668,FG,28668,BINDING,-39.7237,XFMR BELFELD - BELFELD,WAUE:BELFELD XF KU1A3:345 230 13.8,22236
01/12/2026 01:00:00,01/12/2026 07:00:00,TMP246_28141,FG,28141,BINDING,-830.7303,LN AUR1241 - RDSPG5,CSWS SPA:EUREKASP EURK_SPA BEAVER1,32502
01/12/2026 01:00:00,01/12/2026 07:00:00,TMP266_27514,FG,27514,BINDING,-31.1756,XFMR FRANKLN5 - FRANKLN5,WR:FRANKLN5 LITC:161:1:8,8767
01/12/2026 01:00:00,01/12/2026 07:00:00,TMP447_31060,FG,31060,BINDING,-24.9526,LN CRESCENT - CTNWD1,OKGE:MATHWSN7 REDGNTN7:345:1:12,7077
01/12/2026 01:00:00,01/12/2026 07:00:00,TMP667_32554,FG,32554,BINDING,-57.7622,LN LITC - ASB3491,EDE WR:RAM452 NSES:161:1:5,7054
01/12/2026 01:00:00,01/12/2026 07:00:00,TMP758_28735,FG,28735,BINDING,-165.6140,XFMR NSES - NSES,WR:N345 NSES:345 161 13.8:4:11,11820
01/12/2026 01:00:00,01/12/2026 07:00:00,TP1100_31918,FG,31918,BINDING,-21.8771,XFMR FTSMTH - FTSMTH,OKGE:FTSMTH XF T5_T:345 161:3:13,14462
01/12/2026 02:00:00,01/12/2026 08:00:00,FPLWDWCLEMEN,FG,5767,BINDING,-1.9861,LN FPLSWTCH - WDWRD1,OKGE:CLEOC1 IMO:138:5:25,4688
01/12/2026 02:00:00,01/12/2026 08:00:00,OSAWEBCLESOO,FG,5147,BINDING,-84.1411,LN OSAGE_OG - WEBBTAP4,GRDA OKGE:CLEVLND7 WHTETAIL:345:1:,33380
01/12/2026 02:00:00,01/12/2026 08:00:00,SMKSUMPOSAXT,FG,5695,BINDING,-3.6140,LN WR_SMKHL - SUMM,NPPD:MACON345 AXTELL1:345:1:13,6145
