Interval,GMTIntervalEnd,Constraint Name,Constraint Type,NERCID,State,Shadow Price,Monitored Facility,Contingent Facility, Contingency Name
01/01/2026 01:00:00,01/01/2026 07:00:00,JECHOYJECMOR,FG,5612,BINDING,-7.6643,LN JEFF - HOYT,WR:JEFF MORR:345:1:8,2326
01/01/2026 01:00:00,01/01/2026 07:00:00,NEBS56S40S55,FG,5508,BINDING,-31.9376,LN NEBRCTY - SUB3456,OPPD:SUB3740 SUB3455:345:1:9,32747
01/01/2026 01:00:00,01/01/2026 07:00:00,Ozrk_B-xfmr_A,MA,,BINDING,-12.4953,XFMR OZRK_B - OZRK_B,BASE,BASE
01/01/2026 01:00:00,01/01/2026 07:00:00,SOONER_SONR_SONR_PHSHFT_PS,MCE,,BINDING,0.1992,PS SOONER - SOONER,BASE,BASE
01/01/2026 01:00:00,01/01/2026 07:00:00,SUB993,MA,,BINDING,-37.7968,LN MGLN_TP - SUB993,BASE,BASE
01/01/2026 01:00:00,01/01/2026 07:00:00,TMP348_25258,FG,25258,BINDING,-226.8244,LN SNAKECK - ALIANCE,WAUE:WAYSID_W STEGALL:230:2:8,4543
01/01/2026 01:00:00,01/01/2026 07:00:00,TMP701_32243,FG,32243,BINDING,-116.5669,LN SUB1280 - SUB1263,NPPD OPPD:COOPER NEBRCTY:345:1:11,6600
01/01/2026 01:00:00,01/01/2026 07:00:00,TMP760_29357,FG,29357,BINDING,-22.5358,LN LEWSCLRK - YKNTJCT,WAUE:GAVINS SPIRITM:115:1:5,7213
01/01/2026 01:00:00,01/01/2026 07:00:00,TMP838_30201,FG,30201,BINDING,-10.6476,LN IATAN - EASTTOWN,KCPL:NASHUA IATAN:345:1:11,11456
01/01/2026 02:00:00,01/01/2026 08:00:00,DEVAUNSALE11_11_LN@DEVAUL<BASE>,MA,,BINDING,5.6324,LN DEVAUL - NSALEM,BASE,BASE
01/01/2026 02:00:00,01/01/2026 08:00:00,Ozrk_B-xfmr_A,MA,,BINDING,-8.0517,XFMR OZRK_B - OZRK_B,BASE,BASE
01/01/2026 02:00:00,01/01/2026 08:00:00,SOONER_SONR_SONR_PHSHFT_PS,MCE,,BINDING,0.0847,PS SOONER - SOONER,BASE,BASE
01/01/2026 02:00:00,01/01/2026 08:00:00,STEGALLXFMR,FG,5569,BINDING,-4.8777,XFMR STEGALL - STEGALL,BASE,BASE
01/01/2026 02:00:00,01/01/2026 08:00:00,SUB993,MA,,BINDING,-62.7010,LN MGLN_TP - SUB993,BASE,BASE
01/01/2026 02:00:00,01/01/2026 08:00:00,TMP348_25258,FG,25258,BINDING,-286.8802,LN SNAKECK - ALIANCE,WAUE:WAYSID_W STEGALL:230:2:8,4543
01/01/2026 02:00:00,01/01/2026 08:00:00,TMP701_32243,FG,32243,BINDING,-286.7540,LN SUB1280 - SUB1263,NPPD OPPD:COOPER NEBRCTY:345:1:11,6600
01/01/2026 02:00:00,01/01/2026 08:00:00,TMP838_30201,FG,30201,BINDING,-10.6788,LN IATAN - EASTTOWN,KCPL:NASHUA IATAN:345:1:11,11456
01/01/2026 03:00:00,01/01/2026 09:00:00,CRESTMAXBU16_11_LN@CRESTONW<23059>,MA,,BINDING,-55.0003,LN CRESTONW - MAXBURG,WAUE ALTW:CRESTONW ANITA EXIRAWA:1,23059
01/01/2026 03:00:00,01/01/2026 09:00:00,EASXFREASSTJ,FG,5496,BINDING,-1.4508,XFMR EASTTOWN - EASTTOWN,MPS:ST_JOE EASTTOWN:345:1:11,4707
01/01/2026 03:00:00,01/01/2026 09:00:00,EXIRAWA_TRG1_XF,MA,,BINDING,-4.6227,XFMR EXIRAWA - EXIRAWA,BASE,BASE
01/01/2026 03:00:00,01/01/2026 09:00:00,JECHOYJECMOR,FG,5612,BINDING,-9.4682,LN JEFF - HOYT,WR:JEFF MORR:345:1:8,2326
01/01/2026 03:00:00,01/01/2026 09:00:00,Ozrk_B-xfmr_A,MA,,BINDING,-8.7054,XFMR OZRK_B - OZRK_B,BASE,BASE
01/01/2026 03:00:00,01/01/2026 09:00:00,SOONER_SONR_SONR_PHSHFT_PS,MCE,,BINDING,0.1982,PS SOONER - SOONER,BASE,BASE
01/01/2026 03:00:00,01/01/2026 09:00:00,STEGALLXFMR,FG,5569,BINDING,-6.0077,XFMR STEGALL - STEGALL,BASE,BASE
01/01/2026 03:00:00,01/01/2026 09:00:00,SUB993,MA,,BINDING,-37.2032,LN MGLN_TP - SUB993,BASE,BASE
01/01/2026 03:00:00,01/01/2026 09:00:00,TMP348_25258,FG,25258,BINDING,-257.6001,LN SNAKECK - ALIANCE,WAUE:WAYSID_W STEGALL:230:2:8,4543
01/01/2026 03:00:00,01/01/2026 09:00:00,TMP701_32243,FG,32243,BINDING,-151.8055,LN SUB1280 - SUB1263,NPPD OPPD:COOPER NEBRCTY:345:1:11,6600
01/01/2026 03:00:00,01/01/2026 09:00:00,TMP838_30201,FG,30201,BINDING,-22.0536,LN IATAN - EASTTOWN,KCPL:NASHUA IATAN:345:1:11,11456
