Interval,GMTIntervalEnd,Constraint Name,Constraint Type,NERCID,State,Shadow Price,Monitored Facility,Contingent Facility, Contingency Name
01/02/2026 01:00:00,01/02/2026 07:00:00,120821_LN@SUB1280<10512>,MA,,BINDING,11.1967,LN SUB1280 - COOPER,WR OPPD:KELL SUB1399 TECH:161:2:11,10512
01/02/2026 01:00:00,01/02/2026 07:00:00,BOXBUALIAN11_11_LN@BOXBUTE<4543>,MA,,BINDING,43.3487,LN BOXBUTE - ALIANCE,WAUE:WAYSID_W STEGALL:230:2:8,4543
01/02/2026 01:00:00,01/02/2026 07:00:00,EASXFREASSTJ,FG,5496,BINDING,-2.0648,XFMR EASTTOWN - EASTTOWN,MPS:ST_JOE EASTTOWN:345:1:11,4707
01/02/2026 01:00:00,01/02/2026 07:00:00,JECHOYJECMOR,FG,5612,BINDING,-9.0525,LN JEFF - HOYT,WR:JEFF MORR:345:1:8,2326
01/02/2026 01:00:00,01/02/2026 07:00:00,KNOB_MARSHAL3A_LN@KNOB<10512>,MA,,BINDING,61.1529,LN KNOB - MARSHAL3,WR OPPD:KELL SUB1399 TECH:161:2:11,10512
01/02/2026 01:00:00,01/02/2026 07:00:00,SOONER_SONR_SONR_PHSHFT_PS,MCE,,BINDING,-0.5512,PS SOONER - SOONER,BASE,BASE
01/02/2026 01:00:00,01/02/2026 07:00:00,SUB993,MA,,BINDING,-37.0051,LN MGLN_TP - SUB993,BASE,BASE
01/02/2026 01:00:00,01/02/2026 07:00:00,TEMP48_30251,FG,30251,BINDING,-14.0965,XFMR TUCO - TUCO,SPS:TUCO XF TUC_230XFMR_S:345 230:,24620
01/02/2026 01:00:00,01/02/2026 07:00:00,TMP348_25258,FG,25258,BINDING,-395.2441,LN SNAKECK - ALIANCE,WAUE:WAYSID_W STEGALL:230:2:8,4543
01/02/2026 01:00:00,01/02/2026 07:00:00,TMP701_32243,FG,32243,BINDING,-49.7197,LN SUB1280 - SUB1263,NPPD OPPD:COOPER NEBRCTY:345:1:11,6600
01/02/2026 01:00:00,01/02/2026 07:00:00,TMP760_29357,FG,29357,BINDING,-66.7595,LN LEWSCLRK - YKNTJCT,WAUE:GAVINS SPIRITM:115:1:5,7213
01/02/2026 01:00:00,01/02/2026 07:00:00,TMP838_30201,FG,30201,BINDING,-39.2603,LN IATAN - EASTTOWN,KCPL:NASHUA IATAN:345:1:11,11456
01/02/2026 02:00:00,01/02/2026 08:00:00,120821_LN@SUB1280<10512>,MA,,BINDING,12.3393,LN SUB1280 - COOPER,WR OPPD:KELL SUB1399 TECH:161:2:11,10512
01/02/2026 02:00:00,01/02/2026 08:00:00,BOXBUALIAN11_11_LN@BOXBUTE<4543>,MA,,BINDING,19.2824,LN BOXBUTE - ALIANCE,WAUE:WAYSID_W STEGALL:230:2:8,4543
01/02/2026 02:00:00,01/02/2026 08:00:00,EASXFREASSTJ,FG,5496,BINDING,-26.7776,XFMR EASTTOWN - EASTTOWN,MPS:ST_JOE EASTTOWN:345:1:11,4707
01/02/2026 02:00:00,01/02/2026 08:00:00,JECHOYJECMOR,FG,5612,BINDING,-7.0028,LN JEFF - HOYT,WR:JEFF MORR:345:1:8,2326
01/02/2026 02:00:00,01/02/2026 08:00:00,KNOB_MARSHAL3A_LN@KNOB<10512>,MA,,BINDING,53.7352,LN KNOB - MARSHAL3,WR OPPD:KELL SUB1399 TECH:161:2:11,10512
01/02/2026 02:00:00,01/02/2026 08:00:00,NEBS56S40S55,FG,5508,BINDING,-49.3620,LN NEBRCTY - SUB3456,OPPD:SUB3740 SUB3455:345:1:9,32747
01/02/2026 02:00:00,01/02/2026 08:00:00,SOONER_SONR_SONR_PHSHFT_PS,MCE,,BINDING,-0.6190,PS SOONER - SOONER,BASE,BASE
01/02/2026 02:00:00,01/02/2026 08:00:00,SUB993,MA,,BINDING,-39.3357,LN MGLN_TP - SUB993,BASE,BASE
01/02/2026 02:00:00,01/02/2026 08:00:00,TEMP48_30251,FG,30251,BINDING,-13.7176,XFMR TUCO - TUCO,SPS:TUCO XF TUC_230XFMR_S:345 230:,24620
01/02/2026 02:00:00,01/02/2026 08:00:00,TMP348_25258,FG,25258,BINDING,-418.7705,LN SNAKECK - ALIANCE,WAUE:WAYSID_W STEGALL:230:2:8,4543
01/02/2026 02:00:00,01/02/2026 08:00:00,TMP701_32243,FG,32243,BINDING,-56.8698,LN SUB1280 - SUB1263,NPPD OPPD:COOPER NEBRCTY:345:1:11,6600
01/02/2026 02:00:00,01/02/2026 08:00:00,TMP760_29357,FG,29357,BINDING,-43.3434,LN LEWSCLRK - YKNTJCT,WAUE:GAVINS SPIRITM:115:1:5,7213
01/02/2026 02:00:00,01/02/2026 08:00:00,TMP838_30201,FG,30201,BINDING,-23.9297,LN IATAN - EASTTOWN,KCPL:NASHUA IATAN:345:1:11,11456
01/02/2026 03:00:00,01/02/2026 09:00:00,120821_LN@SUB1280<10512>,MA,,BINDING,43.9854,LN SUB1280 - COOPER,WR OPPD:KELL SUB1399 TECH:161:2:11,10512
01/02/2026 03:00:00,01/02/2026 09:00:00,BOXBUALIAN11_11_LN@BOXBUTE<4543>,MA,,BINDING,1.2170,LN BOXBUTE - ALIANCE,WAUE:WAYSID_W STEGALL:230:2:8,4543
01/02/2026 03:00:00,01/02/2026 09:00:00,EASXFREASSTJ,FG,5496,BINDING,-46.8442,XFMR EASTTOWN - EASTTOWN,MPS:ST_JOE EASTTOWN:345:1:11,4707
01/02/2026 03:00:00,01/02/2026 09:00:00,JECHOYJECMOR,FG,5612,BINDING,-7.6486,LN JEFF - HOYT,WR:JEFF MORR:345:1:8,2326
01/02/2026 03:00:00,01/02/2026 09:00:00,KNOB_MARSHAL3A_LN@KNOB<10512>,MA,,BINDING,50.1048,LN KNOB - MARSHAL3,WR OPPD:KELL SUB1399 TECH:161:2:11,10512
01/02/2026 03:00:00,01/02/2026 09:00:00,NEBS56S40S55,FG,5508,BINDING,-64.8153,LN NEBRCTY - SUB3456,OPPD:SUB3740 SUB3455:345:1:9,32747
01/02/2026 03:00:00,01/02/2026 09:00:00,SOONER_SONR_SONR_PHSHFT_PS,MCE,,BINDING,-0.3959,PS SOONER - SOONER,BASE,BASE
