Interval,GMTIntervalEnd,Constraint Name,Constraint Type,NERCID,State,Shadow Price,Monitored Facility,Contingent Facility, Contingency Name
01/15/2026 01:00:00,01/15/2026 07:00:00,NDEX,FG,6001,BINDING,-10.1501,Multi-Element Constraint,BASE,BASE
01/15/2026 01:00:00,01/15/2026 07:00:00,SOONER_SONR_SONR_PHSHFT_PS,MCE,,BREACHED,0.0000,PS SOONER - SOONER,BASE,BASE
01/15/2026 01:00:00,01/15/2026 07:00:00,TMP117_32157,FG,32157,BINDING,-66.9839,XFMR GRNDFKS - GRNDFKS,OTP:PRAIRIE2 LKARDOCH DRAYTON:230:,17261
01/15/2026 01:00:00,01/15/2026 07:00:00,TMP221_28668,FG,28668,BINDING,-10.3184,XFMR BELFELD - BELFELD,WAUE:BELFELD XF KU1A3:345 230 13.8,22236
01/15/2026 01:00:00,01/15/2026 07:00:00,TMP530_32597,FG,32597,BINDING,-11.8008,XFMR SUB3456 - SUB3456,OPPD:SUB3456 SUB3459:345:1:9,31860
01/15/2026 01:00:00,01/15/2026 07:00:00,TMP796_28794,FG,28794,BINDING,-1.1104,XFMR SUB975 - SUB975,OPPD:SUB1280 SUB1263:161:1:10,4870
01/15/2026 02:00:00,01/15/2026 08:00:00,NDEX,FG,6001,BINDING,-9.1149,Multi-Element Constraint,BASE,BASE
01/15/2026 02:00:00,01/15/2026 08:00:00,SOONER_SONR_SONR_PHSHFT_PS,MCE,,BREACHED,0.0000,PS SOONER - SOONER,BASE,BASE
01/15/2026 02:00:00,01/15/2026 08:00:00,TMP117_32157,FG,32157,BINDING,-65.8232,XFMR GRNDFKS - GRNDFKS,OTP:PRAIRIE2 LKARDOCH DRAYTON:230:,17261
01/15/2026 02:00:00,01/15/2026 08:00:00,TMP221_28668,FG,28668,BINDING,-22.0831,XFMR BELFELD - BELFELD,WAUE:BELFELD XF KU1A3:345 230 13.8,22236
01/15/2026 03:00:00,01/15/2026 09:00:00,70BS12WAGS34,FG,5749,BINDING,-115.7217,LN 70_BLUF - SUB1214,LES OPPD:WAGENER SUB3454:345:1:11,25296
01/15/2026 03:00:00,01/15/2026 09:00:00,NDEX,FG,6001,BINDING,-12.3175,Multi-Element Constraint,BASE,BASE
01/15/2026 03:00:00,01/15/2026 09:00:00,SOONER_SONR_SONR_PHSHFT_PS,MCE,,BREACHED,0.0000,PS SOONER - SOONER,BASE,BASE
01/15/2026 03:00:00,01/15/2026 09:00:00,TMP117_32157,FG,32157,BINDING,-83.8479,XFMR GRNDFKS - GRNDFKS,OTP:PRAIRIE2 LKARDOCH DRAYTON:230:,17261
01/15/2026 03:00:00,01/15/2026 09:00:00,TMP221_28668,FG,28668,BINDING,-25.4542,XFMR BELFELD - BELFELD,WAUE:BELFELD XF KU1A3:345 230 13.8,22236
01/15/2026 04:00:00,01/15/2026 10:00:00,70BS12WAGS34,FG,5749,BINDING,-117.2800,LN 70_BLUF - SUB1214,LES OPPD:WAGENER SUB3454:345:1:11,25296
01/15/2026 04:00:00,01/15/2026 10:00:00,NDEX,FG,6001,BINDING,-12.8816,Multi-Element Constraint,BASE,BASE
01/15/2026 04:00:00,01/15/2026 10:00:00,SOONER_SONR_SONR_PHSHFT_PS,MCE,,BREACHED,0.0000,PS SOONER - SOONER,BASE,BASE
01/15/2026 04:00:00,01/15/2026 10:00:00,TEMP76_32162,FG,32162,BINDING,-10.3928,XFMR DUNCAN - DUNCAN,WFEC:PAYNE_WF PAOLI2:138:1:9,19871
01/15/2026 04:00:00,01/15/2026 10:00:00,TMP122_26551,FG,26551,BINDING,-13.2262,LN WR_SMKHL - SUMM,SECI MIDW:MULGRE2 SHAYS:230:1:9,12487
01/15/2026 04:00:00,01/15/2026 10:00:00,TMP128_29363,FG,29363,BINDING,-7.7938,LN RUSSETT - SBROWN,OKGE:BROWN2 BODLE CANEY1:138:7:34,333
01/15/2026 04:00:00,01/15/2026 10:00:00,TMP221_28668,FG,28668,BINDING,-30.6259,XFMR BELFELD - BELFELD,WAUE:BELFELD XF KU1A3:345 230 13.8,22236
01/15/2026 04:00:00,01/15/2026 10:00:00,TMP825_32499,FG,32499,BINDING,-44.9751,XFMR KELLY - KELLY,NPPD:KELLY SHELLCRK:230:1:5,7042
01/15/2026 04:00:00,01/15/2026 10:00:00,TP1072_31891,FG,31891,BINDING,-21.1929,LN WDWRD1 - FPLSWTCH,OKGE:DGRASSE7 XF DGRASSE31:345 138,14334
01/15/2026 04:00:00,01/15/2026 10:00:00,TP1116_32581,FG,32581,BINDING,-57.7040,LN SPERVI1 - MULGRE2,SECI:CLARKCO SADDLE7:345:1:10,7250
01/15/2026 04:00:00,01/15/2026 10:00:00,TP1225_32595,FG,32595,BINDING,-31.6442,LN GRB_NIN3 - GRNBUR1,SECI:CLARKCO SADDLE7:345:1:10,7250
01/15/2026 05:00:00,01/15/2026 11:00:00,70BS12WAGS34,FG,5749,BINDING,-98.9762,LN 70_BLUF - SUB1214,LES OPPD:WAGENER SUB3454:345:1:11,25296
01/15/2026 05:00:00,01/15/2026 11:00:00,NDEX,FG,6001,BINDING,-6.0691,Multi-Element Constraint,BASE,BASE
01/15/2026 05:00:00,01/15/2026 11:00:00,SOONER_SONR_SONR_PHSHFT_PS,MCE,,BREACHED,0.0000,PS SOONER - SOONER,BASE,BASE
01/15/2026 05:00:00,01/15/2026 11:00:00,T2TUC_230XFMR_S_XF@TUCO<23134>,MA,,BINDING,17.4066,XFMR TUCO - TUCO,SPS:TUCO XF T1T:345 230 13:3:16,23134
01/15/2026 05:00:00,01/15/2026 11:00:00,TEMP76_32162,FG,32162,BINDING,-35.5166,XFMR DUNCAN - DUNCAN,WFEC:PAYNE_WF PAOLI2:138:1:9,19871
01/15/2026 05:00:00,01/15/2026 11:00:00,TMP117_32157,FG,32157,BINDING,-44.0351,XFMR GRNDFKS - GRNDFKS,OTP:PRAIRIE2 LKARDOCH DRAYTON:230:,17261
01/15/2026 05:00:00,01/15/2026 11:00:00,TMP122_26551,FG,26551,BINDING,-24.9699,LN WR_SMKHL - SUMM,SECI MIDW:MULGRE2 SHAYS:230:1:9,12487
01/15/2026 05:00:00,01/15/2026 11:00:00,TMP128_29363,FG,29363,BINDING,-15.1242,LN RUSSETT - SBROWN,OKGE:BROWN2 BODLE CANEY1:138:7:34,333
01/15/2026 05:00:00,01/15/2026 11:00:00,TMP221_28668,FG,28668,BINDING,-19.8653,XFMR BELFELD - BELFELD,WAUE:BELFELD XF KU1A3:345 230 13.8,22236
01/15/2026 05:00:00,01/15/2026 11:00:00,TMP601_28916,FG,28916,BINDING,-68.5459,XFMR ELK-CITY - ELK-CITY,CSWS OKGE:MATO GRACMONT:345:1:11,CON4276
01/15/2026 05:00:00,01/15/2026 11:00:00,TMP825_32499,FG,32499,BINDING,-41.1846,XFMR KELLY - KELLY,NPPD:KELLY SHELLCRK:230:1:5,7042
