Interval,GMTIntervalEnd,Constraint Name,Constraint Type,NERCID,State,Shadow Price,Monitored Facility,Contingent Facility, Contingency Name
01/21/2026 01:00:00,01/21/2026 07:00:00,1104T1_161/69_XF@LEX1611<27815>,MA,,BINDING,-52.3782,XFMR LEX1611 - LEX1611,MPS:ODESSA1 LEX1611:161:1:9,27815
01/21/2026 01:00:00,01/21/2026 07:00:00,70BS12WAGS34,FG,5749,BINDING,-216.9386,LN 70_BLUF - SUB1214,LES OPPD:WAGENER SUB3454:345:1:11,25296
01/21/2026 01:00:00,01/21/2026 07:00:00,OSAWEBCLESOO,FG,5147,BINDING,-142.5441,LN OSAGE_OG - WEBBTAP4,GRDA OKGE:CLEVLND7 WHTETAIL:345:1:,33380
01/21/2026 01:00:00,01/21/2026 07:00:00,Ozrk_B-xfmr_A,MA,,BINDING,-51.0189,XFMR OZRK_B - OZRK_B,BASE,BASE
01/21/2026 01:00:00,01/21/2026 07:00:00,SMKSUMPOSAXT,FG,5695,BINDING,-30.8193,LN WR_SMKHL - SUMM,NPPD:MACON345 AXTELL1:345:1:13,6145
01/21/2026 01:00:00,01/21/2026 07:00:00,SOONER_SONR_SONR_PHSHFT_PS,MCE,,BREACHED,0.0000,PS SOONER - SOONER,BASE,BASE
01/21/2026 01:00:00,01/21/2026 07:00:00,TEMP70_29435,FG,29435,BINDING,-11.1319,LN CRESCENT - CTNWD1,WFEC OKGE:DOVERS1 HENSY:138:3:15,3020
01/21/2026 01:00:00,01/21/2026 07:00:00,TEMP90_26027,FG,26027,BINDING,-90.9557,LN MONETT - AUR1241,AECI:JASPER7 BLACKBRY:345:1:12,17569
01/21/2026 01:00:00,01/21/2026 07:00:00,TMP128_29363,FG,29363,BINDING,-122.2351,LN RUSSETT - SBROWN,OKGE:BROWN2 BODLE CANEY1:138:7:34,333
01/21/2026 01:00:00,01/21/2026 07:00:00,TMP221_28668,FG,28668,BINDING,-30.6892,XFMR BELFELD - BELFELD,WAUE:BELFELD XF KU1A3:345 230 13.8,22236
01/21/2026 01:00:00,01/21/2026 07:00:00,TMP278_25759,FG,25759,BINDING,-124.6819,XFMR OVER - OVER,AECI AMRN:MCC2 OVER:345:1:8,17093
