Interval,GMTIntervalEnd,Constraint Name,Constraint Type,NERCID,State,Shadow Price,Monitored Facility,Contingent Facility, Contingency Name
01/27/2026 01:00:00,01/27/2026 07:00:00,AESBONAESTAR,FG,5741,BINDING,-166.1930,LN AES5 - BONTP,OKGE:AES5 TARBY1:161:1:9,33786
01/27/2026 01:00:00,01/27/2026 07:00:00,BUTLR-ARCHIEA_LN@ADRIAN5<17569>,MA,,BINDING,615.8980,LN ADRIAN5 - ARCHIE,AECI:JASPER7 BLACKBRY:345:1:12,17569
01/27/2026 01:00:00,01/27/2026 07:00:00,CIMXF2CIMXF3,FG,5136,BINDING,-1162.2500,XFMR CIMARRON - CIMARRON,OKGE:CIMARRON XF A31:345 138:5:17,10107
01/27/2026 01:00:00,01/27/2026 07:00:00,NASXFRNASHAW,FG,5577,BINDING,-966.9255,XFMR NASHUA - NASHUA,KCPL:NASHUA SHALE:345:1:11,25948
01/27/2026 01:00:00,01/27/2026 07:00:00,OSAWEBCLESOO,FG,5147,BINDING,-208.4135,LN OSAGE_OG - WEBBTAP4,GRDA OKGE:CLEVLND7 WHTETAIL:345:1:,33380
01/27/2026 01:00:00,01/27/2026 07:00:00,Ozrk_B-xfmr_A,MA,,BINDING,-71.8557,XFMR OZRK_B - OZRK_B,BASE,BASE
01/27/2026 01:00:00,01/27/2026 07:00:00,SOONER_SONR_SONR_PHSHFT_PS,MCE,,BREACHED,0.0000,PS SOONER - SOONER,BASE,BASE
01/27/2026 01:00:00,01/27/2026 07:00:00,TEMP11_29497,FG,29497,BINDING,-33.3081,LN WR_SMKHL - SUMM,SECI:CLARKCO SADDLE7:345:1:10,7250
01/27/2026 01:00:00,01/27/2026 07:00:00,TEMP89_22229,FG,22229,BINDING,-269.1201,LN GRACMONT - ANADARKO,WFEC CSWS:WASHIT1 SW_STA:138:1:8,27405
01/27/2026 01:00:00,01/27/2026 07:00:00,TMP266_27514,FG,27514,BINDING,-87.0998,XFMR FRANKLN5 - FRANKLN5,WR:FRANKLN5 LITC:161:1:8,8767
01/27/2026 01:00:00,01/27/2026 07:00:00,TMP595_32603,FG,32603,BINDING,-598.5948,LN CARTR2 - CKSAW1,OKGE:RKYPT1 SUNNYSDE:138:1:11,20029
