Interval,GMTIntervalEnd,Constraint Name,Constraint Type,NERCID,State,Shadow Price,Monitored Facility,Contingent Facility, Contingency Name
01/17/2026 01:00:00,01/17/2026 07:00:00,11043A_LN@LEX1611<12128>,MA,,BINDING,172.5809,LN LEX1611 - RICHMN2,MPS AMRN:SIBLEY OVER:345:2:9,12128
01/17/2026 01:00:00,01/17/2026 07:00:00,1104T1_161/69_XF@LEX1611<27815>,MA,,BINDING,-145.1493,XFMR LEX1611 - LEX1611,MPS:ODESSA1 LEX1611:161:1:9,27815
01/17/2026 01:00:00,01/17/2026 07:00:00,KETCHEM_KETCH_OSBORN_A_LN,MCE,,BINDING,2.7845,LN KETCHEM - OSBORNWF,BASE,BASE
01/17/2026 01:00:00,01/17/2026 07:00:00,NASXFRNASHAW,FG,5577,BINDING,-242.6239,XFMR NASHUA - NASHUA,KCPL:NASHUA SHALE:345:1:11,25948
01/17/2026 01:00:00,01/17/2026 07:00:00,SOONER_SONR_SONR_PHSHFT_PS,MCE,,BREACHED,0.0000,PS SOONER - SOONER,BASE,BASE
01/17/2026 01:00:00,01/17/2026 07:00:00,SPPSPSTIES,FG,5247,BINDING,-0.7987,Multi-Element Constraint,BASE,BASE
01/17/2026 01:00:00,01/17/2026 07:00:00,SUMMIT_ROBERTS1_LN@SUMMITW<CON4559>,MA,,BINDING,-17.6552,LN SUMMITW - BOBS_CO,WAUE:JAMESTN VALLEYC:115:1:4,CON4559
01/17/2026 01:00:00,01/17/2026 07:00:00,TEMP53_32291,FG,32291,BINDING,-49.2850,LN WEMP - VAUG,WR:BUTL OTTERCRK:138:1:7,5782
01/17/2026 01:00:00,01/17/2026 07:00:00,TEMP89_22229,FG,22229,BINDING,-2.5165,LN GRACMONT - ANADARKO,WFEC CSWS:WASHIT1 SW_STA:138:1:8,27405
01/17/2026 01:00:00,01/17/2026 07:00:00,TMP122_26551,FG,26551,BINDING,-16.5682,LN WR_SMKHL - SUMM,SECI MIDW:MULGRE2 SHAYS:230:1:9,12487
01/17/2026 01:00:00,01/17/2026 07:00:00,TMP128_29363,FG,29363,BINDING,-106.4126,LN RUSSETT - SBROWN,OKGE:BROWN2 BODLE CANEY1:138:7:34,333
01/17/2026 01:00:00,01/17/2026 07:00:00,TMP200_25341,FG,25341,BINDING,-5.7888,XFMR POTTER_S - POTTER_S,SPS:HITCH MOORE_CO:230:1:10,13134
01/17/2026 01:00:00,01/17/2026 07:00:00,TMP221_28668,FG,28668,BINDING,-39.7218,XFMR BELFELD - BELFELD,WAUE:BELFELD XF KU1A3:345 230 13.8,22236
01/17/2026 01:00:00,01/17/2026 07:00:00,TMP266_27514,FG,27514,BINDING,-30.6476,XFMR FRANKLN5 - FRANKLN5,WR:FRANKLN5 LITC:161:1:8,8767
01/17/2026 01:00:00,01/17/2026 07:00:00,TMP447_31060,FG,31060,BINDING,-42.4944,LN CRESCENT - CTNWD1,OKGE:MATHWSN7 REDGNTN7:345:1:12,7077
01/17/2026 01:00:00,01/17/2026 07:00:00,TMP667_32554,FG,32554,BINDING,-113.7674,LN LITC - ASB3491,EDE WR:RAM452 NSES:161:1:5,7054
01/17/2026 01:00:00,01/17/2026 07:00:00,TMP677_28355,FG,28355,BINDING,-35.3305,XFMR N345 - N345,WR:N345 NSES:345 161 13.8:4:11,11820
01/17/2026 01:00:00,01/17/2026 07:00:00,TMP758_28735,FG,28735,BINDING,-141.5378,XFMR NSES - NSES,WR:N345 NSES:345 161 13.8:4:11,11820
01/17/2026 01:00:00,01/17/2026 07:00:00,TMP815_32602,FG,32602,BINDING,-931.4603,LN AUR1241 - RDSPG5,AECI SPA:5WASHBR BEAVER1:161:1:5,CON1057
01/17/2026 01:00:00,01/17/2026 07:00:00,TP1090_31933,FG,31933,BINDING,-116.2144,XFMR FTSMTH - FTSMTH,EES:ARK_NU XF T2:500:2:8,BB8089
01/17/2026 01:00:00,01/17/2026 07:00:00,TP1134_32007,FG,32007,BINDING,-105.8732,LN WEAV - TALLGRAS,WR:BENT MIDI:138:1:5,25918
01/17/2026 01:00:00,01/17/2026 07:00:00,TP1214_32539,FG,32539,BINDING,-229.1001,XFMR DUNCAN - DUNCAN,OKGE CSWS:SUNNYSDE TERRY_RD:345:2:,2909
01/17/2026 02:00:00,01/17/2026 08:00:00,11043A_LN@LEX1611<12128>,MA,,BINDING,302.9368,LN LEX1611 - RICHMN2,MPS AMRN:SIBLEY OVER:345:2:9,12128
01/17/2026 02:00:00,01/17/2026 08:00:00,KETCHEM_KETCH_OSBORN_A_LN,MCE,,BINDING,1.4939,LN KETCHEM - OSBORNWF,BASE,BASE
01/17/2026 02:00:00,01/17/2026 08:00:00,NASXFRNASHAW,FG,5577,BINDING,-259.8235,XFMR NASHUA - NASHUA,KCPL:NASHUA SHALE:345:1:11,25948
