Interval,GMTIntervalEnd,Constraint Name,Constraint Type,NERCID,State,Shadow Price,Monitored Facility,Contingent Facility, Contingency Name
01/18/2026 01:00:00,01/18/2026 07:00:00,1104T1_161/69_XF@LEX1611<6107>,MA,,BINDING,-23.3786,XFMR LEX1611 - LEX1611,KCPL:NORTON MALTABN5:161:2:11,6107
01/18/2026 01:00:00,01/18/2026 07:00:00,70BS12WAGS34,FG,5749,BINDING,-508.5676,LN 70_BLUF - SUB1214,LES OPPD:WAGENER SUB3454:345:1:11,25296
01/18/2026 01:00:00,01/18/2026 07:00:00,OZRK_B-OMAHA_5A_LN@OMAHA<35699>,MA,,BINDING,-4.2426,LN OMAHA - OZRK_B,EDE:RVS4385 HOL478:161:1:3,35699
01/18/2026 01:00:00,01/18/2026 07:00:00,SHAM_S_ID_115_69_XF,MCE,,BINDING,-11.2764,XFMR SHAM - SHAM,BASE,BASE
01/18/2026 01:00:00,01/18/2026 07:00:00,SOONER_SONR_SONR_PHSHFT_PS,MCE,,BREACHED,0.0000,PS SOONER - SOONER,BASE,BASE
01/18/2026 01:00:00,01/18/2026 07:00:00,TEMP76_32162,FG,32162,BINDING,-29.6453,XFMR DUNCAN - DUNCAN,WFEC:PAYNE_WF PAOLI2:138:1:9,19871
01/18/2026 01:00:00,01/18/2026 07:00:00,TMP117_32157,FG,32157,BINDING,-12.2092,XFMR GRNDFKS - GRNDFKS,OTP:PRAIRIE2 LKARDOCH DRAYTON:230:,17261
01/18/2026 01:00:00,01/18/2026 07:00:00,TMP221_28668,FG,28668,BINDING,-25.4193,XFMR BELFELD - BELFELD,WAUE:BELFELD XF KU1A3:345 230 13.8,22236
01/18/2026 01:00:00,01/18/2026 07:00:00,TMP601_28916,FG,28916,BINDING,-73.3098,XFMR ELK-CITY - ELK-CITY,CSWS OKGE:MATO GRACMONT:345:1:11,CON4276
01/18/2026 01:00:00,01/18/2026 07:00:00,TMP673_32311,FG,32311,BINDING,-52.0869,LN AUBU - SWIS,WR:HOYT JEFF:345:1:6,17670
01/18/2026 01:00:00,01/18/2026 07:00:00,TMP706_32482,FG,32482,BINDING,-16.5665,LN CRAIG - LENEXA,KCPL:WOODLAN CRAIG:161:1:10,15934
01/18/2026 01:00:00,01/18/2026 07:00:00,TMP741_32587,FG,32587,BINDING,-1285.2697,XFMR MCLEODN - MCLEODN,NSP:SCOTTCO HELENAMN:345:1:9,11769
01/18/2026 01:00:00,01/18/2026 07:00:00,TMP790_32607,FG,32607,BINDING,-2.0296,XFMR TUCO - TUCO,SPS:TUCO XF T1T:345 230 13:3:16,23134
01/18/2026 02:00:00,01/18/2026 08:00:00,1104T1_161/69_XF@LEX1611<27815>,MA,,BINDING,-51.1624,XFMR LEX1611 - LEX1611,MPS:ODESSA1 LEX1611:161:1:9,27815
01/18/2026 02:00:00,01/18/2026 08:00:00,11590A_LN@MAIN1<25650>,MA,,BINDING,2.3146,LN MAIN1 - BATFLD5,SPRM AECI:JUNCTN5 BROOK_LN:161:1:1,25650
01/18/2026 02:00:00,01/18/2026 08:00:00,70BS12WAGS34,FG,5749,BINDING,-466.6549,LN 70_BLUF - SUB1214,LES OPPD:WAGENER SUB3454:345:1:11,25296
01/18/2026 02:00:00,01/18/2026 08:00:00,BLMFLD_CROFTONA_LN@CROFTON<BASE>,MA,,BINDING,-12.3056,LN CROFTON - BLMFLD,BASE,BASE
01/18/2026 02:00:00,01/18/2026 08:00:00,NASXFRNASHAW,FG,5577,BINDING,-5.1485,XFMR NASHUA - NASHUA,KCPL:NASHUA SHALE:345:1:11,25948
01/18/2026 02:00:00,01/18/2026 08:00:00,OZRK_B-OMAHA_5A_LN@OMAHA<35699>,MA,,BINDING,-12.2865,LN OMAHA - OZRK_B,EDE:RVS4385 HOL478:161:1:3,35699
01/18/2026 02:00:00,01/18/2026 08:00:00,SMKSUMPOSAXT,FG,5695,BINDING,-32.3715,LN WR_SMKHL - SUMM,NPPD:MACON345 AXTELL1:345:1:13,6145
01/18/2026 02:00:00,01/18/2026 08:00:00,SOONER_SONR_SONR_PHSHFT_PS,MCE,,BREACHED,0.0000,PS SOONER - SOONER,BASE,BASE
01/18/2026 02:00:00,01/18/2026 08:00:00,TMP109_22593,FG,22593,BINDING,-6.5634,LN STONEWSW - TUPELO2,OKGE CSWS:SEMINOLE PITTSB9:345:1:1,714
01/18/2026 02:00:00,01/18/2026 08:00:00,TMP117_32157,FG,32157,BINDING,-7.4944,XFMR GRNDFKS - GRNDFKS,OTP:PRAIRIE2 LKARDOCH DRAYTON:230:,17261
01/18/2026 02:00:00,01/18/2026 08:00:00,TMP221_28668,FG,28668,BINDING,-35.9352,XFMR BELFELD - BELFELD,WAUE:BELFELD XF KU1A3:345 230 13.8,22236
01/18/2026 02:00:00,01/18/2026 08:00:00,TMP601_28916,FG,28916,BINDING,-93.6138,XFMR ELK-CITY - ELK-CITY,CSWS OKGE:MATO GRACMONT:345:1:11,CON4276
01/18/2026 02:00:00,01/18/2026 08:00:00,TMP673_32311,FG,32311,BINDING,-16.6601,LN AUBU - SWIS,WR:HOYT JEFF:345:1:6,17670
01/18/2026 02:00:00,01/18/2026 08:00:00,TMP706_32482,FG,32482,BINDING,-94.7249,LN CRAIG - LENEXA,KCPL:WOODLAN CRAIG:161:1:10,15934
01/18/2026 02:00:00,01/18/2026 08:00:00,TMP741_32587,FG,32587,BINDING,-1249.5996,XFMR MCLEODN - MCLEODN,NSP:SCOTTCO HELENAMN:345:1:9,11769
01/18/2026 02:00:00,01/18/2026 08:00:00,TMP790_32607,FG,32607,BINDING,-42.5742,XFMR TUCO - TUCO,SPS:TUCO XF T1T:345 230 13:3:16,23134
01/18/2026 02:00:00,01/18/2026 08:00:00,TMP969_30549,FG,30549,BINDING,-1.9032,XFMR EDDY_CO - EDDY_CO,SPS:EDDY_CO KIOWASPS:345:1:9,32631
01/18/2026 02:00:00,01/18/2026 08:00:00,TP1005_31469,FG,31469,BINDING,-64.9861,LN BOYD - CDRLN,OKGE:PLVAL NORMHLL:138:1:8,4475
01/18/2026 02:00:00,01/18/2026 08:00:00,TP1116_32581,FG,32581,BINDING,-13.6917,LN SPERVI1 - MULGRE2,SECI:CLARKCO SADDLE7:345:1:10,7250
01/18/2026 02:00:00,01/18/2026 08:00:00,TP1214_32539,FG,32539,BINDING,-17.6305,XFMR DUNCAN - DUNCAN,OKGE CSWS:SUNNYSDE TERRY_RD:345:2:,2909
01/18/2026 02:00:00,01/18/2026 08:00:00,TP1225_32595,FG,32595,BINDING,-26.5004,LN GRB_NIN3 - GRNBUR1,SECI:CLARKCO SADDLE7:345:1:10,7250
01/18/2026 03:00:00,01/18/2026 09:00:00,1104T1_161/69_XF@LEX1611<27815>,MA,,BINDING,-86.9370,XFMR LEX1611 - LEX1611,MPS:ODESSA1 LEX1611:161:1:9,27815
01/18/2026 03:00:00,01/18/2026 09:00:00,11590A_LN@MAIN1<25650>,MA,,BINDING,11.3325,LN MAIN1 - BATFLD5,SPRM AECI:JUNCTN5 BROOK_LN:161:1:1,25650
01/18/2026 03:00:00,01/18/2026 09:00:00,70BS12WAGS34,FG,5749,BINDING,-423.8784,LN 70_BLUF - SUB1214,LES OPPD:WAGENER SUB3454:345:1:11,25296
01/18/2026 03:00:00,01/18/2026 09:00:00,BLMFLD_CROFTONA_LN@CROFTON<BASE>,MA,,BINDING,-11.4194,LN CROFTON - BLMFLD,BASE,BASE
01/18/2026 03:00:00,01/18/2026 09:00:00,FTRANKELLY23_1A_LN@MEADW_GR<422>,MA,,BINDING,-5.7762,LN MEADW_GR - FTRANDL,NPPD:MEADW_GR KELLY:230:1:6,422
01/18/2026 03:00:00,01/18/2026 09:00:00,NASXFRNASHAW,FG,5577,BINDING,-1.2163,XFMR NASHUA - NASHUA,KCPL:NASHUA SHALE:345:1:11,25948
01/18/2026 03:00:00,01/18/2026 09:00:00,OZRK_B-OMAHA_5A_LN@OMAHA<35699>,MA,,BINDING,-4.1675,LN OMAHA - OZRK_B,EDE:RVS4385 HOL478:161:1:3,35699
01/18/2026 03:00:00,01/18/2026 09:00:00,SMKSUMPOSAXT,FG,5695,BINDING,-31.6303,LN WR_SMKHL - SUMM,NPPD:MACON345 AXTELL1:345:1:13,6145
01/18/2026 03:00:00,01/18/2026 09:00:00,SOONER_SONR_SONR_PHSHFT_PS,MCE,,BREACHED,0.0000,PS SOONER - SOONER,BASE,BASE
01/18/2026 03:00:00,01/18/2026 09:00:00,TEMP53_32291,FG,32291,BINDING,-51.3174,LN WEMP - VAUG,WR:BUTL OTTERCRK:138:1:7,5782
01/18/2026 03:00:00,01/18/2026 09:00:00,TEMP89_22229,FG,22229,BINDING,-72.4205,LN GRACMONT - ANADARKO,WFEC CSWS:WASHIT1 SW_STA:138:1:8,27405
01/18/2026 03:00:00,01/18/2026 09:00:00,TMP109_22593,FG,22593,BINDING,-17.6790,LN STONEWSW - TUPELO2,OKGE CSWS:SEMINOLE PITTSB9:345:1:1,714
01/18/2026 03:00:00,01/18/2026 09:00:00,TMP117_32157,FG,32157,BINDING,-3.6495,XFMR GRNDFKS - GRNDFKS,OTP:PRAIRIE2 LKARDOCH DRAYTON:230:,17261
01/18/2026 03:00:00,01/18/2026 09:00:00,TMP221_28668,FG,28668,BINDING,-37.2507,XFMR BELFELD - BELFELD,WAUE:BELFELD XF KU1A3:345 230 13.8,22236
01/18/2026 03:00:00,01/18/2026 09:00:00,TMP227_28272,FG,28272,BINDING,-51.1212,LN AUR1241 - RDSPG5,EDE SPA:RVS4385 TABLE_RK:161:1:4,35013
01/18/2026 03:00:00,01/18/2026 09:00:00,TMP601_28916,FG,28916,BINDING,-77.2382,XFMR ELK-CITY - ELK-CITY,CSWS OKGE:MATO GRACMONT:345:1:11,CON4276
01/18/2026 03:00:00,01/18/2026 09:00:00,TMP667_32554,FG,32554,BINDING,-37.8538,LN LITC - ASB3491,EDE WR:RAM452 NSES:161:1:5,7054
01/18/2026 03:00:00,01/18/2026 09:00:00,TMP706_32482,FG,32482,BINDING,-120.4763,LN CRAIG - LENEXA,KCPL:WOODLAN CRAIG:161:1:10,15934
01/18/2026 03:00:00,01/18/2026 09:00:00,TMP741_32587,FG,32587,BINDING,-1031.3486,XFMR MCLEODN - MCLEODN,NSP:SCOTTCO HELENAMN:345:1:9,11769
01/18/2026 03:00:00,01/18/2026 09:00:00,TMP758_28735,FG,28735,BINDING,-6.9009,XFMR NSES - NSES,WR:N345 NSES:345 161 13.8:4:11,11820
